                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  213414527 |  218967568 |  220675858 |  220721754 |  171646767 |  181221074 |  177511359 |  175925245 |  224046143 |  213121716 |  224318862 |  215764662
  Cycles                             |  234959160 |  234959160 |  234959160 |  234959160 |  178244880 |  178244880 |  178244880 |  178244880 |  234959160 |  178244880 |  234959160 |  178244880
  IPC                                |       0.91 |       0.93 |       0.94 |       0.94 |       0.96 |       1.02 |       1.00 |       0.99 |       0.95 |       1.20 |       0.95 |       1.21
  Time (ns)                          |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400 |   81020400
  Idle time (ns)                     |    1960929 |    2425400 |    2517413 |    2580219 |     885858 |     880155 |     881301 |     881006 |   20148338 |   13203450 |   19603615 |   12452532
  Idle time (%)                      |       2.4% |       3.0% |       3.1% |       3.2% |       1.1% |       1.1% |       1.1% |       1.1% |      24.9% |      16.3% |      24.2% |      15.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22384494 |   24184656 |   24675211 |   24688535 |   11388759 |   14504119 |   13451903 |   12998816 |   29757533 |   26740673 |   29961844 |   27518029
  num incorrect                      |      35616 |      19486 |      19253 |      19473 |      18094 |      17927 |      17685 |      17673 |      17227 |      16822 |      16337 |      16371
  misprediction rate                 |      0.16% |      0.08% |      0.08% |      0.08% |      0.16% |      0.12% |      0.13% |      0.14% |      0.06% |      0.06% |      0.05% |      0.06%
  mpki                               |       0.17 |       0.09 |       0.09 |       0.09 |       0.11 |       0.10 |       0.10 |       0.10 |       0.08 |       0.08 |       0.07 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   17787992 |   17624615 |   17624076 |   17623786 |   17306616 |   17118183 |   17114590 |   17114791 |   15733402 |   15682049 |   15674639 |   15676034
    num misses                       |        293 |         35 |         35 |         35 |         35 |         35 |         28 |         35 |         28 |         30 |         35 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   98028113 |   98317211 |   98557479 |   98565241 |   90275852 |   91102013 |   90555707 |   90328772 |   91900321 |   90184104 |   91732289 |   90509369
    num misses                       |      53870 |      50802 |      50731 |      50763 |      51028 |      49545 |      49326 |      49313 |      45848 |      45650 |      45353 |      45212
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.23 |       0.23 |       0.23 |       0.30 |       0.27 |       0.28 |       0.28 |       0.20 |       0.21 |       0.20 |       0.21
