                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  227189137 |  220157348 |  221548792 |  221790609 |  174668871 |  176779795 |  174591594 |  179893557 |          0 |          0 |          0 |          0 |  224058196 |  230377130 |  228397531 |  226270846
  Cycles                             |  239792010 |  239792010 |  239792010 |  239792010 |  181911180 |  181911180 |  181911180 |  181911180 |  239792010 |  239792010 |  239792010 |  239792010 |  181911180 |  181911180 |  181911180 |  181911180
  IPC                                |       0.95 |       0.92 |       0.92 |       0.92 |       0.96 |       0.97 |       0.96 |       0.99 |       0.00 |       0.00 |       0.00 |       0.00 |       1.23 |       1.27 |       1.26 |       1.24
  Time (ns)                          |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900 |   82686900
  Idle time (ns)                     |    8329064 |    8443556 |    7881750 |    8646666 |      54429 |    1106381 |    1108364 |     817260 |   82686900 |   82686900 |   82686900 |   82686900 |    4248646 |    6054491 |    4112129 |    4724883
  Idle time (%)                      |      10.1% |      10.2% |       9.5% |      10.5% |       0.1% |       1.3% |       1.3% |       1.0% |     100.0% |     100.0% |     100.0% |     100.0% |       5.1% |       7.3% |       5.0% |       5.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   30655716 |   28750592 |   29170787 |   29239828 |   11313850 |   12131160 |   11508382 |   13023563 |          0 |          0 |          0 |          0 |   26363726 |   28548707 |   27990617 |   27383151
  num incorrect                      |      17191 |      16886 |      16245 |      16295 |      35970 |      19367 |      19134 |      19307 |          0 |          0 |          0 |          0 |      18038 |      17917 |      17764 |      17721
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.32% |      0.16% |      0.17% |      0.15% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.08 |       0.08 |       0.07 |       0.07 |       0.21 |       0.11 |       0.11 |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.08 |       0.08 |       0.08 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15734939 |   15682409 |   15677758 |   15677888 |   17789181 |   17624866 |   17624138 |   17621918 |          0 |          0 |          0 |          0 |   17307737 |   17119687 |   17116768 |   17116331
    num misses                       |         28 |         35 |         28 |         31 |        303 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |         35 |         28 |         35 |         35
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
