                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21412573 |    3700949 |    3989543 |    3949868 |    3585176 |    3873181 |    3990634 |    3768023 |    3719931 |    3632769 |    3104001 |    3697214
  Cycles                             |   57649200 |   57649200 |   57649200 |   57649200 |   14412300 |   14412300 |   57649200 |   57649200 |   57649200 |   57649200 |   14412300 |   14412300
  IPC                                |       0.37 |       0.06 |       0.07 |       0.07 |       0.25 |       0.27 |       0.07 |       0.07 |       0.06 |       0.06 |       0.22 |       0.26
  Time (ns)                          |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300 |   14412300
  Idle time (ns)                     |       1470 |   12518337 |   12519025 |   12519207 |   12488831 |   12489380 |   12519399 |   12519691 |   12520098 |   12520241 |   12490769 |   12491169
  Idle time (%)                      |       0.0% |      86.9% |      86.9% |      86.9% |      86.7% |      86.7% |      86.9% |      86.9% |      86.9% |      86.9% |      86.7% |      86.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2414701 |    1127461 |    1248117 |    1234208 |    1089225 |    1210821 |    1250007 |    1156884 |    1136867 |    1101588 |     880911 |    1132118
  num incorrect                      |     157819 |      10672 |       6838 |       7215 |      10923 |       6823 |       6893 |       9844 |      10688 |      11831 |      18762 |      10338
  misprediction rate                 |      6.13% |      0.94% |      0.54% |      0.58% |      0.99% |      0.56% |      0.55% |      0.84% |      0.93% |      1.06% |      2.09% |      0.90%
  mpki                               |       7.37 |       2.88 |       1.71 |       1.83 |       3.05 |       1.76 |       1.73 |       2.61 |       2.87 |       3.26 |       6.04 |       2.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3269272 |      39776 |      35488 |      35424 |      40569 |      34935 |      34988 |      38620 |      39794 |      41336 |      47965 |      38838
    num misses                       |        176 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.06% |      0.05% |      0.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5001050 |     757889 |     788423 |     782724 |     741484 |     767159 |     788310 |     764950 |     761196 |     752012 |     696543 |     755544
    num misses                       |       2181 |        683 |        654 |        728 |        715 |        642 |        699 |        722 |        701 |        667 |        672 |        663
    miss rate                        |      0.04% |      0.09% |      0.08% |      0.09% |      0.10% |      0.08% |      0.09% |      0.09% |      0.09% |      0.09% |      0.10% |      0.09%
    mpki                             |       0.10 |       0.18 |       0.16 |       0.18 |       0.20 |       0.17 |       0.18 |       0.19 |       0.19 |       0.18 |       0.22 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2357 |        709 |        680 |        754 |        743 |        668 |        725 |        748 |        727 |        693 |        698 |        689
    num misses                       |        683 |        185 |        180 |        182 |        174 |        184 |        172 |        174 |        181 |        171 |        180 |        179
    miss rate                        |     28.98% |     26.09% |     26.47% |     24.14% |     23.42% |     27.54% |     23.72% |     23.26% |     24.90% |     24.68% |     25.79% |     25.98%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3269272 |      39776 |      35488 |      35424 |      40569 |      34935 |      34988 |      38620 |      39794 |      41336 |      47965 |      38838
