                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   24252821 |    6364946 |    6474007 |    6483200 |    6188084 |    6418169 |    6566806 |    6510024 |    6451760 |    6329782 |    5602749 |    6373942
  Cycles                             |   62286800 |   62286800 |   62286800 |   62286800 |   15571700 |   15571700 |   62286800 |   62286800 |   62286800 |   62286800 |   15571700 |   15571700
  IPC                                |       0.39 |       0.10 |       0.10 |       0.10 |       0.40 |       0.41 |       0.11 |       0.10 |       0.10 |       0.10 |       0.36 |       0.41
  Time (ns)                          |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700 |   15571700
  Idle time (ns)                     |       2597 |   12746689 |   12817283 |   12800146 |   12687930 |   12725829 |   12812271 |   12748686 |   12748595 |   12749271 |   12690488 |   12689888
  Idle time (%)                      |       0.0% |      81.9% |      82.3% |      82.2% |      81.5% |      81.7% |      82.3% |      81.9% |      81.9% |      81.9% |      81.5% |      81.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2843640 |    1972933 |    2049992 |    2050427 |    1911136 |    2033452 |    2080831 |    2030886 |    2004450 |    1950853 |    1624410 |    1981441
  num incorrect                      |     167895 |      11713 |       6833 |       7337 |      11866 |       6941 |       6951 |      10564 |      11212 |      12996 |      22574 |      11056
  misprediction rate                 |      5.58% |      0.59% |      0.33% |      0.36% |      0.62% |      0.34% |      0.33% |      0.52% |      0.56% |      0.66% |      1.37% |      0.55%
  mpki                               |       6.92 |       1.84 |       1.06 |       1.13 |       1.92 |       1.08 |       1.06 |       1.62 |       1.74 |       2.05 |       4.03 |       1.73
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3150669 |      66501 |      45990 |      48577 |      68210 |      44217 |      47169 |      61250 |      63553 |      69622 |     118506 |      62681
