                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  127311571 |   96574639 |  273825001 |  292536920 |  258990554 |  251541073 |  240017359 |  243925877 |  257534597 |   42402131 |   24953189 |  222429707
  Cycles                             |  351276420 |  266485560 |  351276420 |  351276420 |  266485560 |  266485560 |  351276420 |  266485560 |  351276420 |  351276420 |  351276420 |  266485560
  IPC                                |       0.36 |       0.36 |       0.78 |       0.83 |       0.97 |       0.94 |       0.68 |       0.92 |       0.73 |       0.12 |       0.07 |       0.83
  Time (ns)                          |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800 |  121129800
  Idle time (ns)                     |   84603252 |   85100422 |   12555930 |   26502847 |   28265772 |   17717963 |   29371660 |   24476744 |   45992272 |  114294557 |  116117858 |   28732887
  Idle time (%)                      |      69.8% |      70.3% |      10.4% |      21.9% |      23.3% |      14.6% |      24.2% |      20.2% |      38.0% |      94.4% |      95.9% |      23.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11893093 |    8077910 |   21704364 |   28163491 |   23914771 |   18448798 |   17210624 |   17816742 |   23962565 |      62249 |     206276 |   17432105
  num incorrect                      |     805718 |     597938 |    1796351 |    2893021 |    3064163 |    1493119 |    1007696 |    1009958 |    1806635 |       1810 |       2932 |     994210
  misprediction rate                 |      6.34% |      6.89% |      7.64% |      9.32% |     11.36% |      7.49% |      5.53% |      5.36% |      7.01% |      2.83% |      1.40% |      5.40%
  mpki                               |       6.33 |       6.19 |       6.56 |       9.89 |      11.83 |       5.94 |       4.20 |       4.14 |       7.02 |       0.04 |       0.12 |       4.47
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14129112 |   10032547 |   29182780 |   32498582 |   28636709 |   25913451 |   24130217 |   24916719 |   27809305 |    2424942 |    1579233 |   23585318
    num misses                       |        147 |         58 |         54 |         53 |         56 |         52 |         52 |         52 |         52 |         41 |         43 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   59854581 |   45278245 |  143697660 |  133365904 |  110168799 |  129663276 |  125767893 |  130639796 |  123259299 |    9639222 |    7096652 |  124827425
    num misses                       |      21726 |       9905 |      14743 |      15401 |      18386 |       9456 |       8846 |       9539 |      13638 |        969 |        575 |       9264
