metric,value
timestamp,2026-07-07T10:36:23
workload,dedup
strategy,AKARIN_a055_6
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/dedup_W_AKARIN_a055_6_12TH_20260706_200005
cpu_map,"[12, 1, 6, 15, 11, 13, 8, 5, 2, 14, 9, 10]"
p_core_count,6
e_core_count,6
node0_threads,4
node1_threads,8
sim_time_ms,113.586
total_instructions,2355826821
avg_ipc,1.2082
avg_ipc_p,0.4193
avg_ipc_e,1.9972
total_power_W,13.7609
dynamic_W,9.5251
leakage_W,4.2
dram_W,0.0358
energy_J,1.563042
node0_reads,274536
node1_reads,274437
node0_pct,50.009
node0_writes,60924
node1_writes,60855
dram_local,149512
dram_remote,299028
dram_remote_pct,66.667
l1d_miss_pct,1.0404
l2_miss_pct,7.8868
l3_miss_pct,69.2133
l1d_mpki,3.4879
l2_mpki,0.2751
l3_mpki,0.1904
l3_miss_count,448540
cpi_base_frac,0.7626
cpi_branch_frac,0.2158
cpi_l2_frac,0.0001
cpi_l3_frac,0.0016
cpi_dram_local_frac,0.0037
cpi_dram_remote_frac,0.0163
futex_wake_count,424
futex_wait_count,380
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.7335
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,49679714
L1-D.access-mru-0.c1,6474667
L1-D.access-mru-0.c10,120866059
L1-D.access-mru-0.c11,54192911
L1-D.access-mru-0.c2,112921346
L1-D.access-mru-0.c3,120447545
L1-D.access-mru-0.c4,107810210
L1-D.access-mru-0.c5,82330326
L1-D.access-mru-0.c6,101402771
L1-D.access-mru-0.c7,112973316
L1-D.access-mru-0.c8,107572261
L1-D.access-mru-0.c9,121877333
L1-D.access-mru-0.node0,339941590
L1-D.access-mru-0.node1,758606869
L1-D.access-mru-0.total,1098548459
L1-D.access-mru-1.c0,1042073
L1-D.access-mru-1.c1,410749
L1-D.access-mru-1.c10,1815789
L1-D.access-mru-1.c11,1215735
L1-D.access-mru-1.c2,2996652
L1-D.access-mru-1.c3,2154677
L1-D.access-mru-1.c4,3959265
L1-D.access-mru-1.c5,3144702
L1-D.access-mru-1.c6,1228714
L1-D.access-mru-1.c7,3777613
L1-D.access-mru-1.c8,2610136
L1-D.access-mru-1.c9,3037169
L1-D.access-mru-1.node0,9795150
L1-D.access-mru-1.node1,17598124
L1-D.access-mru-1.total,27393274
L1-D.access-mru-2.c0,116578
