                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  200125865 |   24021927 |  274489981 |  122557566 |  264544036 |  197790557 |  115088033 |  229843372 |  264303481 |  247555122 |  205790290 |  185801598
  Cycles                             |  335173880 |  335173880 |  335173880 |  335173880 |  254269840 |  254269840 |  254269840 |  254269840 |  335173880 |  335173880 |  335173880 |  335173880
  IPC                                |       0.60 |       0.07 |       0.82 |       0.37 |       1.04 |       0.78 |       0.45 |       0.90 |       0.79 |       0.74 |       0.61 |       0.55
  Time (ns)                          |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200 |  115577200
  Idle time (ns)                     |   55231887 |  101567856 |   22598303 |   61633018 |   27105823 |   35666248 |   83629976 |   23553379 |   37678269 |   16826957 |   22381392 |   59258920
  Idle time (%)                      |      47.8% |      87.9% |      19.6% |      53.3% |      23.5% |      30.9% |      72.4% |      20.4% |      32.6% |      14.6% |      19.4% |      51.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   19858575 |     188841 |   26896957 |    4281898 |   25244211 |   11352199 |    8559917 |   16243047 |   25236742 |   17052137 |   16019235 |   17956270
  num incorrect                      |    1427241 |       2860 |    3020218 |       4436 |    2589492 |     535016 |     638280 |     899582 |    1904639 |    1472885 |    1637512 |    1341864
  misprediction rate                 |      6.71% |      1.49% |     10.10% |      0.10% |      9.30% |      4.50% |      6.94% |      5.25% |      7.02% |      7.95% |      9.27% |      6.95%
  mpki                               |       7.13 |       0.12 |      11.00 |       0.04 |       9.79 |       2.70 |       5.55 |       3.91 |       7.21 |       5.95 |       7.96 |       7.22
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   22685294 |    1581876 |   31091858 |   10632558 |   29013151 |   18876907 |   11279136 |   23174615 |   28794355 |   25099882 |   22179866 |   20420081
    num misses                       |        145 |         47 |         53 |         41 |         54 |         54 |         52 |         52 |         52 |         54 |         54 |         54
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   98339736 |    7309671 |  125693113 |   65440208 |  120634405 |  102019184 |   49419549 |  122729210 |  127827672 |  123463810 |  108310174 |   91927953
    num misses                       |      27027 |       5858 |      16780 |       1485 |      14065 |       6168 |       5504 |       8261 |      16011 |      12855 |       6639 |       9545
    miss rate                        |      0.03% |      0.08% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.14 |       0.24 |       0.06 |       0.01 |       0.05 |       0.03 |       0.05 |       0.04 |       0.06 |       0.05 |       0.03 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      27172 |       5905 |      16833 |       1526 |      14119 |       6222 |       5556 |       8313 |      16063 |      12909 |       6693 |       9599
    num misses                       |      10850 |       5789 |       2487 |       1239 |       1879 |       1918 |       1246 |       1628 |       2614 |       4424 |       1401 |       1365
    miss rate                        |     39.93% |     98.04% |     14.77% |     81.19% |     13.31% |     30.83% |     22.43% |     19.58% |     16.27% |     34.27% |     20.93% |     14.22%
    mpki                             |       0.05 |       0.24 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   22685294 |    1581876 |   31091858 |   10632558 |   29013151 |   18876907 |   11279136 |   23174615 |   28794355 |   25099882 |   22179866 |   20420081
    num cache misses                 |      14489 |        861 |      22014 |       1168 |      26305 |      10204 |       9087 |      13848 |      17986 |      16647 |      13429 |      12162
    miss rate                        |      0.06% |      0.05% |      0.07% |      0.01% |      0.09% |      0.05% |      0.08% |      0.06% |      0.06% |      0.07% |      0.06% |      0.06%
    mpki                             |       0.07 |       0.04 |       0.08 |       0.01 |       0.10 |       0.05 |       0.08 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   98339736 |    7309671 |  125693113 |   65440208 |  120634405 |  102019184 |   49419549 |  122729210 |  127827672 |  123463810 |  108310174 |   91927953
    num cache misses                 |    1426216 |     344844 |    1515619 |      54963 |    1878189 |     658125 |     735082 |    1073079 |    1682304 |     763252 |     598242 |    1195582
    miss rate                        |      1.45% |      4.72% |      1.21% |      0.08% |      1.56% |      0.65% |      1.49% |      0.87% |      1.32% |      0.62% |      0.55% |      1.30%
    mpki                             |       7.13 |      14.36 |       5.52 |       0.45 |       7.10 |       3.33 |       6.39 |       4.67 |       6.37 |       3.08 |       2.91 |       6.43
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1507283 |     383294 |    1538880 |      56837 |    1905755 |     669521 |     745000 |    1088138 |    1701835 |     786599 |     613016 |    1209216
    num cache misses                 |     221456 |     345367 |      78343 |      48159 |      88801 |      89419 |      52405 |      86247 |      76415 |      93315 |      62063 |      60050
    miss rate                        |     14.69% |     90.10% |      5.09% |     84.73% |      4.66% |     13.36% |      7.03% |      7.93% |      4.49% |     11.86% |     10.12% |      4.97%
    mpki                             |       1.11 |      14.38 |       0.29 |       0.39 |       0.34 |       0.45 |       0.46 |       0.38 |       0.29 |       0.38 |       0.30 |       0.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     288092 |     382959 |      79690 |      48874 |      90166 |      90626 |      53239 |      87546 |      78007 |     100059 |      63538 |      61585
    num cache misses                 |     196284 |     342993 |      37411 |       7639 |      27428 |      54053 |      23824 |      56839 |      45865 |      83442 |      59902 |      31061
    miss rate                        |     68.13% |     89.56% |     46.95% |     15.63% |     30.42% |     59.64% |     44.75% |     64.92% |     58.80% |     83.39% |     94.28% |     50.44%
    mpki                             |       0.98 |      14.28 |       0.14 |       0.06 |       0.10 |       0.27 |       0.21 |       0.25 |       0.17 |       0.34 |       0.29 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     566227 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     564797 |          0 |          0 |          0
  average dram access latency (ns)   |      61.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.10 |       0.00 |       0.00 |       0.00
