metric,value
timestamp,2026-07-07T06:44:19
workload,x264
strategy,AKARIN_a050_1
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/x264_W_AKARIN_a050_1_12TH_20260706_200005
cpu_map,"[8, 4, 0, 6, 1, 15, 9, 5, 11, 2, 10, 13]"
p_core_count,7
e_core_count,5
node0_threads,6
node1_threads,6
sim_time_ms,157.5612
total_instructions,2416512638
avg_ipc,1.2176
avg_ipc_p,0.6118
avg_ipc_e,2.0658
total_power_W,16.8419
dynamic_W,12.3265
leakage_W,4.5
dram_W,0.0154
energy_J,2.653629
node0_reads,166317
node1_reads,166329
node0_pct,49.9982
node0_writes,32253
node1_writes,32289
dram_local,35764
dram_remote,34617
dram_remote_pct,49.1851
l1d_miss_pct,0.6005
l2_miss_pct,20.9438
l3_miss_pct,8.8296
l1d_mpki,1.575
l2_mpki,0.3299
l3_mpki,0.0291
l3_miss_count,70381
cpi_base_frac,0.8985
cpi_branch_frac,0.0944
cpi_l2_frac,0.0027
cpi_l3_frac,0.0037
cpi_dram_local_frac,0.0003
cpi_dram_remote_frac,0.0004
futex_wake_count,130
futex_wait_count,118
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7225
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,61840722
L1-D.access-mru-0.c1,85006981
L1-D.access-mru-0.c10,74990424
L1-D.access-mru-0.c11,3886
L1-D.access-mru-0.c2,71894347
L1-D.access-mru-0.c3,6021
L1-D.access-mru-0.c4,44494600
L1-D.access-mru-0.c5,206697904
L1-D.access-mru-0.c6,53584531
L1-D.access-mru-0.c7,137310377
L1-D.access-mru-0.c8,64592543
L1-D.access-mru-0.c9,2805
L1-D.access-mru-0.node0,338715131
L1-D.access-mru-0.node1,461710010
L1-D.access-mru-0.total,800425141
L1-D.access-mru-1.c0,1635404
L1-D.access-mru-1.c1,4323229
L1-D.access-mru-1.c10,3592601
L1-D.access-mru-1.c11,139
L1-D.access-mru-1.c2,2941251
L1-D.access-mru-1.c3,141
L1-D.access-mru-1.c4,1208026
L1-D.access-mru-1.c5,9039060
L1-D.access-mru-1.c6,2384726
L1-D.access-mru-1.c7,8086412
L1-D.access-mru-1.c8,3125004
L1-D.access-mru-1.c9,84
L1-D.access-mru-1.node0,16559143
L1-D.access-mru-1.node1,19776934
L1-D.access-mru-1.total,36336077
L1-D.access-mru-2.c0,259524
L1-D.access-mru-2.c1,410116
L1-D.access-mru-2.c10,315679
L1-D.access-mru-2.c11,65
L1-D.access-mru-2.c2,421331
L1-D.access-mru-2.c3,61
L1-D.access-mru-2.c4,204968
L1-D.access-mru-2.c5,824818
L1-D.access-mru-2.c6,247640
L1-D.access-mru-2.c7,1656724
L1-D.access-mru-2.c8,296804
L1-D.access-mru-2.c9,12
L1-D.access-mru-2.node0,2693212
L1-D.access-mru-2.node1,1944530
L1-D.access-mru-2.total,4637742
L1-D.access-mru-3.c0,108919
L1-D.access-mru-3.c1,123494
L1-D.access-mru-3.c10,113886
L1-D.access-mru-3.c11,7
L1-D.access-mru-3.c2,123679
L1-D.access-mru-3.c3,17
L1-D.access-mru-3.c4,92144
L1-D.access-mru-3.c5,238866
L1-D.access-mru-3.c6,118783
L1-D.access-mru-3.c7,287689
L1-D.access-mru-3.c8,116636
L1-D.access-mru-3.c9,3
L1-D.access-mru-3.node0,627026
L1-D.access-mru-3.node1,697097
L1-D.access-mru-3.total,1324123
L1-D.access-mru-4.c0,40667
L1-D.access-mru-4.c1,74338
L1-D.access-mru-4.c10,88457
L1-D.access-mru-4.c11,5
L1-D.access-mru-4.c2,82561
L1-D.access-mru-4.c3,4
L1-D.access-mru-4.c4,68931
L1-D.access-mru-4.c5,108836
L1-D.access-mru-4.c6,99824
L1-D.access-mru-4.c7,139672
L1-D.access-mru-4.c8,95324
L1-D.access-mru-4.node0,365506
L1-D.access-mru-4.node1,433113
L1-D.access-mru-4.total,798619
L1-D.access-mru-5.c0,12439
L1-D.access-mru-5.c1,73047
L1-D.access-mru-5.c10,87071
L1-D.access-mru-5.c2,56040
L1-D.access-mru-5.c4,62025
L1-D.access-mru-5.c5,61293
L1-D.access-mru-5.c6,84607
L1-D.access-mru-5.c7,88375
L1-D.access-mru-5.c8,94596
L1-D.access-mru-5.node0,279487
L1-D.access-mru-5.node1,340006
L1-D.access-mru-5.total,619493
L1-D.access-mru-6.c0,4068
L1-D.access-mru-6.c1,81360
L1-D.access-mru-6.c10,89015
L1-D.access-mru-6.c2,38132
L1-D.access-mru-6.c4,55879
L1-D.access-mru-6.c5,36815
L1-D.access-mru-6.c6,60472
L1-D.access-mru-6.c7,57188
L1-D.access-mru-6.c8,87092
L1-D.access-mru-6.node0,232559
L1-D.access-mru-6.node1,277462
L1-D.access-mru-6.total,510021
L1-D.access-mru-7.c0,2126
L1-D.access-mru-7.c1,88581
L1-D.access-mru-7.c10,84995
L1-D.access-mru-7.c2,24742
L1-D.access-mru-7.c4,46211
L1-D.access-mru-7.c5,24925
L1-D.access-mru-7.c6,36749
L1-D.access-mru-7.c7,35694
L1-D.access-mru-7.c8,66331
L1-D.access-mru-7.node0,195228
L1-D.access-mru-7.node1,215126
L1-D.access-mru-7.total,410354
L1-D.backinval-M.c0,67
L1-D.backinval-M.c1,23
L1-D.backinval-M.c10,9
L1-D.backinval-M.c2,100
L1-D.backinval-M.c3,4
L1-D.backinval-M.c4,88
L1-D.backinval-M.c5,320
L1-D.backinval-M.c6,10
L1-D.backinval-M.c7,811
L1-D.backinval-M.c8,8
L1-D.backinval-M.node0,1026
L1-D.backinval-M.node1,414
L1-D.backinval-M.total,1440
L1-D.backinval-S.c0,7
L1-D.backinval-S.c1,65
L1-D.backinval-S.c10,2
L1-D.backinval-S.c11,201
L1-D.backinval-S.c2,8
L1-D.backinval-S.c3,182
L1-D.backinval-S.c4,4
L1-D.backinval-S.c5,81
L1-D.backinval-S.c6,4
L1-D.backinval-S.c7,219
L1-D.backinval-S.c8,5
L1-D.backinval-S.c9,91
L1-D.backinval-S.node0,569
L1-D.backinval-S.node1,300
L1-D.backinval-S.total,869
L1-D.coherency-downgrades.c0,427
L1-D.coherency-downgrades.c1,1316
L1-D.coherency-downgrades.c10,413
L1-D.coherency-downgrades.c11,227
L1-D.coherency-downgrades.c2,307
L1-D.coherency-downgrades.c3,735
L1-D.coherency-downgrades.c4,212
L1-D.coherency-downgrades.c5,1353
L1-D.coherency-downgrades.c6,626
L1-D.coherency-downgrades.c7,382
L1-D.coherency-downgrades.c8,349
L1-D.coherency-downgrades.c9,167
L1-D.coherency-downgrades.node0,3119
L1-D.coherency-downgrades.node1,3395
L1-D.coherency-downgrades.total,6514
L1-D.coherency-invalidates.c0,57
L1-D.coherency-invalidates.c1,259
L1-D.coherency-invalidates.c10,30
L1-D.coherency-invalidates.c11,14
L1-D.coherency-invalidates.c2,2
L1-D.coherency-invalidates.c3,101
L1-D.coherency-invalidates.c4,51
L1-D.coherency-invalidates.c5,216
L1-D.coherency-invalidates.c6,91
L1-D.coherency-invalidates.c7,114
L1-D.coherency-invalidates.c8,33
L1-D.coherency-invalidates.c9,59
L1-D.coherency-invalidates.node0,586
L1-D.coherency-invalidates.node1,441
L1-D.coherency-invalidates.total,1027
L1-D.coherency-upgrades.c0,6
L1-D.coherency-upgrades.c1,6
L1-D.coherency-upgrades.c10,15
L1-D.coherency-upgrades.c2,1
L1-D.coherency-upgrades.c3,5
L1-D.coherency-upgrades.c4,27
L1-D.coherency-upgrades.c5,10
L1-D.coherency-upgrades.c6,11
L1-D.coherency-upgrades.c7,173
L1-D.coherency-upgrades.c8,22
L1-D.coherency-upgrades.node0,212
L1-D.coherency-upgrades.node1,64
L1-D.coherency-upgrades.total,276
L1-D.coherency-writebacks.c0,151
L1-D.coherency-writebacks.c1,42
L1-D.coherency-writebacks.c10,55
L1-D.coherency-writebacks.c11,11
L1-D.coherency-writebacks.c2,35
L1-D.coherency-writebacks.c3,24
L1-D.coherency-writebacks.c4,81
L1-D.coherency-writebacks.c5,86
L1-D.coherency-writebacks.c6,55
L1-D.coherency-writebacks.c7,60
L1-D.coherency-writebacks.c8,77
L1-D.coherency-writebacks.c9,11
L1-D.coherency-writebacks.node0,253
L1-D.coherency-writebacks.node1,435
L1-D.coherency-writebacks.total,688
L1-D.evict-E.c0,47686
L1-D.evict-E.c1,914
L1-D.evict-E.c10,6729
L1-D.evict-E.c2,2254
L1-D.evict-E.c4,3892
L1-D.evict-E.c5,10088
L1-D.evict-E.c6,159
L1-D.evict-E.c7,13532
L1-D.evict-E.c8,1453
L1-D.evict-E.node0,20592
L1-D.evict-E.node1,66115
L1-D.evict-E.total,86707
L1-D.evict-M.c0,217383
L1-D.evict-M.c1,161472
L1-D.evict-M.c10,180935
L1-D.evict-M.c2,58738
L1-D.evict-M.c4,135310
L1-D.evict-M.c5,441145
L1-D.evict-M.c6,50794
L1-D.evict-M.c7,226222
L1-D.evict-M.c8,98263
L1-D.evict-M.node0,581742
L1-D.evict-M.node1,988520
L1-D.evict-M.total,1570262
L1-D.evict-S.c0,1426
L1-D.evict-S.c1,335388
L1-D.evict-S.c10,158549
L1-D.evict-S.c2,10123
L1-D.evict-S.c4,17178
L1-D.evict-S.c5,1118166
L1-D.evict-S.c6,73677
L1-D.evict-S.c7,1203895
L1-D.evict-S.c8,110837
L1-D.evict-S.node0,1566584
L1-D.evict-S.node1,1462655
L1-D.evict-S.total,3029239
L1-D.load-misses-E.c0,3
L1-D.load-misses-E.c2,1
L1-D.load-misses-E.c4,1
L1-D.load-misses-E.c7,1
L1-D.load-misses-E.node0,3
L1-D.load-misses-E.node1,3
L1-D.load-misses-E.total,6
L1-D.load-misses-I.c0,149572
L1-D.load-misses-I.c1,409295
L1-D.load-misses-I.c10,280536
L1-D.load-misses-I.c11,102
L1-D.load-misses-I.c2,37382
L1-D.load-misses-I.c3,117
L1-D.load-misses-I.c4,99181
L1-D.load-misses-I.c5,1430805
L1-D.load-misses-I.c6,90025
L1-D.load-misses-I.c7,1292577
L1-D.load-misses-I.c8,163465
L1-D.load-misses-I.c9,103
L1-D.load-misses-I.node0,1838655
L1-D.load-misses-I.node1,2114505
L1-D.load-misses-I.total,3953160
L1-D.load-misses-S.c0,11
L1-D.load-misses-S.c1,67
L1-D.load-misses-S.c10,69
L1-D.load-misses-S.c2,18
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.c4,53
L1-D.load-misses-S.c5,71
L1-D.load-misses-S.c6,45
L1-D.load-misses-S.c7,47
L1-D.load-misses-S.c8,61
L1-D.load-misses-S.node0,186
L1-D.load-misses-S.node1,257
L1-D.load-misses-S.total,443
L1-D.load-misses.c0,149586
L1-D.load-misses.c1,409362
L1-D.load-misses.c10,280605
L1-D.load-misses.c11,102
L1-D.load-misses.c2,37401
L1-D.load-misses.c3,118
L1-D.load-misses.c4,99235
L1-D.load-misses.c5,1430876
L1-D.load-misses.c6,90070
L1-D.load-misses.c7,1292625
L1-D.load-misses.c8,163526
L1-D.load-misses.c9,103
L1-D.load-misses.node0,1838844
L1-D.load-misses.node1,2114765
L1-D.load-misses.total,3953609
L1-D.loads-E.c0,471228
L1-D.loads-E.c1,2998
L1-D.loads-E.c10,4105
L1-D.loads-E.c2,1303806
L1-D.loads-E.c3,1171
L1-D.loads-E.c4,197362
L1-D.loads-E.c5,3488
L1-D.loads-E.c6,731
L1-D.loads-E.c7,251387
L1-D.loads-E.c8,2484
L1-D.loads-E.node0,1756724
L1-D.loads-E.node1,482036
L1-D.loads-E.total,2238760
L1-D.loads-I.c0,149572
L1-D.loads-I.c1,409295
L1-D.loads-I.c10,280536
L1-D.loads-I.c11,102
L1-D.loads-I.c2,37382
L1-D.loads-I.c3,117
L1-D.loads-I.c4,99181
L1-D.loads-I.c5,1430805
L1-D.loads-I.c6,90025
L1-D.loads-I.c7,1292577
L1-D.loads-I.c8,163465
L1-D.loads-I.c9,103
L1-D.loads-I.node0,1838655
L1-D.loads-I.node1,2114505
L1-D.loads-I.total,3953160
L1-D.loads-M.c0,46751311
L1-D.loads-M.c1,49671993
L1-D.loads-M.c10,50790849
