metric,value
timestamp,2026-07-07T06:44:35
workload,x264
strategy,MPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/x264_W_MPO_12TH_20260706_200005
cpu_map,"[0, 1, 9, 2, 12, 3, 11, 5, 10, 6, 8, 4]"
p_core_count,8
e_core_count,4
node0_threads,7
node1_threads,5
sim_time_ms,172.0858
total_instructions,2416530950
avg_ipc,0.9007
avg_ipc_p,0.7156
avg_ipc_e,1.2709
total_power_W,18.1711
dynamic_W,13.3567
leakage_W,4.8
dram_W,0.0144
energy_J,3.126985
node0_reads,166894
node1_reads,167005
node0_pct,49.9834
node0_writes,37140
node1_writes,37169
dram_local,31572
dram_remote,31682
dram_remote_pct,50.087
l1d_miss_pct,0.6473
l2_miss_pct,18.7674
l3_miss_pct,8.2143
l1d_mpki,1.6979
l2_mpki,0.3187
l3_mpki,0.0262
l3_miss_count,63254
cpi_base_frac,0.8995
cpi_branch_frac,0.0935
cpi_l2_frac,0.0027
cpi_l3_frac,0.0036
cpi_dram_local_frac,0.0003
cpi_dram_remote_frac,0.0004
futex_wake_count,115
futex_wait_count,104
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.639
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,59875368
L1-D.access-mru-0.c1,84868693
L1-D.access-mru-0.c10,74976219
L1-D.access-mru-0.c11,3962
L1-D.access-mru-0.c2,72625396
L1-D.access-mru-0.c3,5975
L1-D.access-mru-0.c4,44494619
L1-D.access-mru-0.c5,206566997
L1-D.access-mru-0.c6,53233891
L1-D.access-mru-0.c7,138548865
L1-D.access-mru-0.c8,65395519
L1-D.access-mru-0.c9,2783
L1-D.access-mru-0.node0,489872643
L1-D.access-mru-0.node1,310725644
L1-D.access-mru-0.total,800598287
L1-D.access-mru-1.c0,3579504
L1-D.access-mru-1.c1,4469811
L1-D.access-mru-1.c10,3574229
L1-D.access-mru-1.c11,70
L1-D.access-mru-1.c2,2485827
L1-D.access-mru-1.c3,123
L1-D.access-mru-1.c4,1208030
L1-D.access-mru-1.c5,8630140
L1-D.access-mru-1.c6,2586291
L1-D.access-mru-1.c7,8220558
L1-D.access-mru-1.c8,2190586
L1-D.access-mru-1.c9,60
L1-D.access-mru-1.node0,24900266
L1-D.access-mru-1.node1,12044963
L1-D.access-mru-1.total,36945229
L1-D.access-mru-2.c0,307560
L1-D.access-mru-2.c1,408346
L1-D.access-mru-2.c10,341390
L1-D.access-mru-2.c11,60
L1-D.access-mru-2.c2,299997
L1-D.access-mru-2.c3,119
L1-D.access-mru-2.c4,204970
L1-D.access-mru-2.c5,1057405
L1-D.access-mru-2.c6,273259
L1-D.access-mru-2.c7,558094
L1-D.access-mru-2.c8,288397
L1-D.access-mru-2.c9,47
L1-D.access-mru-2.node0,2331631
L1-D.access-mru-2.node1,1408013
L1-D.access-mru-2.total,3739644
L1-D.access-mru-3.c0,86747
L1-D.access-mru-3.c1,124185
L1-D.access-mru-3.c10,122239
L1-D.access-mru-3.c11,8
L1-D.access-mru-3.c2,103413
L1-D.access-mru-3.c3,20
L1-D.access-mru-3.c4,92149
L1-D.access-mru-3.c5,327300
L1-D.access-mru-3.c6,105952
L1-D.access-mru-3.c7,217073
L1-D.access-mru-3.c8,123612
L1-D.access-mru-3.c9,12
L1-D.access-mru-3.node0,755345
L1-D.access-mru-3.node1,547365
L1-D.access-mru-3.total,1302710
L1-D.access-mru-4.c0,37786
L1-D.access-mru-4.c1,71943
L1-D.access-mru-4.c10,88165
L1-D.access-mru-4.c11,1
L1-D.access-mru-4.c2,51502
L1-D.access-mru-4.c3,6
L1-D.access-mru-4.c4,68921
L1-D.access-mru-4.c5,165142
L1-D.access-mru-4.c6,69728
L1-D.access-mru-4.c7,102200
L1-D.access-mru-4.c8,71741
L1-D.access-mru-4.c9,2
L1-D.access-mru-4.node0,377080
L1-D.access-mru-4.node1,350057
L1-D.access-mru-4.total,727137
L1-D.access-mru-5.c0,17602
L1-D.access-mru-5.c1,67313
L1-D.access-mru-5.c10,83354
L1-D.access-mru-5.c11,1
L1-D.access-mru-5.c2,26028
L1-D.access-mru-5.c3,1
L1-D.access-mru-5.c4,62056
L1-D.access-mru-5.c5,106968
L1-D.access-mru-5.c6,61781
L1-D.access-mru-5.c7,52546
L1-D.access-mru-5.c8,55823
L1-D.access-mru-5.c9,1
L1-D.access-mru-5.node0,244432
L1-D.access-mru-5.node1,289042
L1-D.access-mru-5.total,533474
L1-D.access-mru-6.c0,8367
L1-D.access-mru-6.c1,75333
L1-D.access-mru-6.c10,84825
L1-D.access-mru-6.c2,10565
L1-D.access-mru-6.c4,55869
L1-D.access-mru-6.c5,71260
L1-D.access-mru-6.c6,62951
L1-D.access-mru-6.c7,30327
L1-D.access-mru-6.c8,54978
L1-D.access-mru-6.node0,185287
L1-D.access-mru-6.node1,269188
L1-D.access-mru-6.total,454475
L1-D.access-mru-7.c0,4213
L1-D.access-mru-7.c1,80872
L1-D.access-mru-7.c10,81373
L1-D.access-mru-7.c2,3972
L1-D.access-mru-7.c4,46216
L1-D.access-mru-7.c5,43139
L1-D.access-mru-7.c6,62181
L1-D.access-mru-7.c7,22426
L1-D.access-mru-7.c8,57044
L1-D.access-mru-7.node0,150650
L1-D.access-mru-7.node1,250786
L1-D.access-mru-7.total,401436
L1-D.backinval-E.c0,3
L1-D.backinval-E.c1,7
L1-D.backinval-E.node0,10
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,10
L1-D.backinval-M.c0,91
L1-D.backinval-M.c1,49
L1-D.backinval-M.c10,12
L1-D.backinval-M.c2,79
L1-D.backinval-M.c3,4
L1-D.backinval-M.c4,102
L1-D.backinval-M.c5,1188
L1-D.backinval-M.c6,114
L1-D.backinval-M.c7,187
L1-D.backinval-M.c8,48
L1-D.backinval-M.node0,1519
L1-D.backinval-M.node1,355
L1-D.backinval-M.total,1874
L1-D.backinval-S.c0,7
L1-D.backinval-S.c1,1
L1-D.backinval-S.c10,8
L1-D.backinval-S.c11,20
L1-D.backinval-S.c2,6
L1-D.backinval-S.c3,198
L1-D.backinval-S.c4,6
L1-D.backinval-S.c5,116
L1-D.backinval-S.c6,2
L1-D.backinval-S.c7,41
L1-D.backinval-S.c8,16
L1-D.backinval-S.c9,28
L1-D.backinval-S.node0,411
L1-D.backinval-S.node1,38
L1-D.backinval-S.total,449
L1-D.coherency-downgrades.c0,574
L1-D.coherency-downgrades.c1,1282
L1-D.coherency-downgrades.c10,397
L1-D.coherency-downgrades.c11,227
L1-D.coherency-downgrades.c2,682
L1-D.coherency-downgrades.c3,732
L1-D.coherency-downgrades.c4,315
L1-D.coherency-downgrades.c5,1030
L1-D.coherency-downgrades.c6,374
L1-D.coherency-downgrades.c7,351
L1-D.coherency-downgrades.c8,162
L1-D.coherency-downgrades.c9,167
L1-D.coherency-downgrades.node0,4363
L1-D.coherency-downgrades.node1,1930
L1-D.coherency-downgrades.total,6293
L1-D.coherency-invalidates.c0,53
L1-D.coherency-invalidates.c1,253
L1-D.coherency-invalidates.c10,31
L1-D.coherency-invalidates.c11,14
L1-D.coherency-invalidates.c2,2
L1-D.coherency-invalidates.c3,102
L1-D.coherency-invalidates.c4,13
L1-D.coherency-invalidates.c5,207
L1-D.coherency-invalidates.c6,30
L1-D.coherency-invalidates.c7,125
L1-D.coherency-invalidates.c8,46
L1-D.coherency-invalidates.c9,58
L1-D.coherency-invalidates.node0,812
L1-D.coherency-invalidates.node1,122
L1-D.coherency-invalidates.total,934
L1-D.coherency-upgrades.c0,6
L1-D.coherency-upgrades.c1,7
L1-D.coherency-upgrades.c10,6
