                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  179955199 |  261526276 |  215970745 |       6322 |  132282275 |  621825093 |  163124471 |  414182142 |  197861553 |       3094 |  229787576 |       3283
  Cycles                             |  497538210 |  497538210 |  497538210 |  497538210 |  377442780 |  377442780 |  497538210 |  497538210 |  497538210 |  497538210 |  377442780 |  377442780
  IPC                                |       0.36 |       0.53 |       0.43 |       0.00 |       0.35 |       1.65 |       0.33 |       0.83 |       0.40 |       0.00 |       0.61 |       0.00
  Time (ns)                          |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900 |  171564900
  Idle time (ns)                     |  146735126 |  128054010 |  126246051 |  171561917 |  141723181 |   46988064 |  141031647 |   92930009 |  136540606 |  171563220 |  125670500 |  171562855
  Idle time (%)                      |      85.5% |      74.6% |      73.6% |     100.0% |      82.6% |      27.4% |      82.2% |      54.2% |      79.6% |     100.0% |      73.2% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4790622 |   10280132 |    6938502 |        633 |    4945350 |   24006719 |    6357790 |   14377602 |    7771992 |        297 |    9012246 |        269
  num incorrect                      |      26652 |     302640 |     632680 |         84 |     275361 |    1005501 |     289764 |     870111 |     291307 |         49 |     293991 |         42
  misprediction rate                 |      0.55% |      2.86% |      8.36% |     11.72% |      5.27% |      4.02% |      4.36% |      5.71% |      3.61% |     14.16% |      3.16% |     13.50%
  mpki                               |       0.15 |       1.16 |       2.93 |      13.29 |       2.08 |       1.62 |       1.78 |       2.10 |       1.47 |      15.84 |       1.28 |      12.79
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15901339 |   25608294 |   20807855 |        648 |   12469783 |   61559834 |   15761116 |   39108049 |   19272222 |        345 |   22430631 |        270
    num misses                       |        222 |        260 |         87 |         21 |        252 |        304 |        252 |        306 |        242 |         21 |        245 |         21
    miss rate                        |      0.00% |      0.00% |      0.00% |      3.24% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.09% |      0.00% |      7.78%
    mpki                             |       0.00 |       0.00 |       0.00 |       3.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.79 |       0.00 |       6.40
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   64182477 |   90680229 |   75653937 |       6697 |   46390024 |  218603492 |   56742879 |  149138566 |   68685637 |       3176 |   79709042 |       4437
    num misses                       |       8209 |     141109 |      18366 |         28 |      40841 |     242538 |      72948 |     225299 |      97910 |         22 |     118400 |         23
    miss rate                        |      0.01% |      0.16% |      0.02% |      0.42% |      0.09% |      0.11% |      0.13% |      0.15% |      0.14% |      0.69% |      0.15% |      0.52%
    mpki                             |       0.05 |       0.54 |       0.09 |       4.43 |       0.31 |       0.39 |       0.45 |       0.54 |       0.49 |       7.11 |       0.52 |       7.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
