metric,value
timestamp,2026-07-01T18:02:40
workload,BFS
strategy,EPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/BFS_W_EPO_16TH_20260630_224009
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,13.7529
total_instructions,70946946
avg_ipc,0.2332
avg_ipc_p,0.0595
avg_ipc_e,0.4069
total_power_W,7.7857
dynamic_W,2.1725
leakage_W,5.6
dram_W,0.0133
energy_J,0.107077
node0_reads,14256
node1_reads,14168
node0_pct,50.1548
dram_local,6193
dram_remote,6158
dram_remote_pct,49.8583
l1d_miss_pct,1.1077
l2_miss_pct,81.7524
l3_miss_pct,10.8638
l1d_mpki,1.9601
l2_mpki,1.6025
l3_mpki,0.1741
l3_miss_count,12351
cpi_base_frac,0.7631
cpi_branch_frac,0.1742
cpi_l2_frac,0.0001
cpi_l3_frac,0.05
cpi_dram_local_frac,0.0058
cpi_dram_remote_frac,0.0069
L1-D.access-mru-0.c0,4553406
L1-D.access-mru-0.c1,655274
L1-D.access-mru-0.c10,651656
L1-D.access-mru-0.c11,629461
L1-D.access-mru-0.c12,642160
L1-D.access-mru-0.c13,601026
L1-D.access-mru-0.c14,603664
L1-D.access-mru-0.c15,652699
L1-D.access-mru-0.c2,615968
L1-D.access-mru-0.c3,645999
L1-D.access-mru-0.c4,655742
L1-D.access-mru-0.c5,639341
L1-D.access-mru-0.c6,653947
L1-D.access-mru-0.c7,662192
L1-D.access-mru-0.c8,651128
L1-D.access-mru-0.c9,624340
L1-D.access-mru-0.node0,9027232
L1-D.access-mru-0.node1,5110771
L1-D.access-mru-0.total,14138003
L1-D.access-mru-1.c0,176455
L1-D.access-mru-1.c1,5117
L1-D.access-mru-1.c10,5296
L1-D.access-mru-1.c11,5606
L1-D.access-mru-1.c12,5358
L1-D.access-mru-1.c13,6312
L1-D.access-mru-1.c14,6229
L1-D.access-mru-1.c15,5276
L1-D.access-mru-1.c2,5898
L1-D.access-mru-1.c3,5206
L1-D.access-mru-1.c4,5031
L1-D.access-mru-1.c5,5463
L1-D.access-mru-1.c6,5353
L1-D.access-mru-1.c7,5265
L1-D.access-mru-1.c8,4971
L1-D.access-mru-1.c9,5559
L1-D.access-mru-1.node0,214108
L1-D.access-mru-1.node1,44287
L1-D.access-mru-1.total,258395
L1-D.access-mru-2.c0,76863
L1-D.access-mru-2.c1,1177
L1-D.access-mru-2.c10,1039
L1-D.access-mru-2.c11,1204
L1-D.access-mru-2.c12,1089
L1-D.access-mru-2.c13,1337
L1-D.access-mru-2.c14,1217
L1-D.access-mru-2.c15,1053
L1-D.access-mru-2.c2,1196
L1-D.access-mru-2.c3,1091
L1-D.access-mru-2.c4,1049
L1-D.access-mru-2.c5,1131
L1-D.access-mru-2.c6,1035
L1-D.access-mru-2.c7,1137
L1-D.access-mru-2.c8,1060
L1-D.access-mru-2.c9,1206
L1-D.access-mru-2.node0,84836
L1-D.access-mru-2.node1,9048
L1-D.access-mru-2.total,93884
L1-D.access-mru-3.c0,16863
L1-D.access-mru-3.c1,528
L1-D.access-mru-3.c10,565
L1-D.access-mru-3.c11,488
L1-D.access-mru-3.c12,556
L1-D.access-mru-3.c13,659
L1-D.access-mru-3.c14,524
L1-D.access-mru-3.c15,513
L1-D.access-mru-3.c2,512
L1-D.access-mru-3.c3,524
L1-D.access-mru-3.c4,517
L1-D.access-mru-3.c5,533
L1-D.access-mru-3.c6,544
L1-D.access-mru-3.c7,518
L1-D.access-mru-3.c8,512
L1-D.access-mru-3.c9,552
L1-D.access-mru-3.node0,20544
L1-D.access-mru-3.node1,4364
L1-D.access-mru-3.total,24908
L1-D.access-mru-4.c0,4479
L1-D.access-mru-4.c1,196
L1-D.access-mru-4.c10,213
L1-D.access-mru-4.c11,174
L1-D.access-mru-4.c12,200
L1-D.access-mru-4.c13,326
L1-D.access-mru-4.c14,208
L1-D.access-mru-4.c15,210
L1-D.access-mru-4.c2,226
L1-D.access-mru-4.c3,208
L1-D.access-mru-4.c4,244
L1-D.access-mru-4.c5,222
L1-D.access-mru-4.c6,191
L1-D.access-mru-4.c7,201
L1-D.access-mru-4.c8,208
L1-D.access-mru-4.c9,213
L1-D.access-mru-4.node0,5917
L1-D.access-mru-4.node1,1802
L1-D.access-mru-4.total,7719
L1-D.access-mru-5.c0,2249
L1-D.access-mru-5.c1,71
L1-D.access-mru-5.c10,51
L1-D.access-mru-5.c11,46
L1-D.access-mru-5.c12,63
L1-D.access-mru-5.c13,362
L1-D.access-mru-5.c14,54
L1-D.access-mru-5.c15,56
L1-D.access-mru-5.c2,52
L1-D.access-mru-5.c3,66
L1-D.access-mru-5.c4,63
L1-D.access-mru-5.c5,50
L1-D.access-mru-5.c6,60
L1-D.access-mru-5.c7,62
L1-D.access-mru-5.c8,44
L1-D.access-mru-5.c9,48
L1-D.access-mru-5.node0,2627
L1-D.access-mru-5.node1,770
L1-D.access-mru-5.total,3397
L1-D.access-mru-6.c0,1415
L1-D.access-mru-6.c1,50
L1-D.access-mru-6.c10,31
L1-D.access-mru-6.c11,25
L1-D.access-mru-6.c12,22
L1-D.access-mru-6.c13,165
L1-D.access-mru-6.c14,22
L1-D.access-mru-6.c15,19
L1-D.access-mru-6.c2,25
L1-D.access-mru-6.c3,33
L1-D.access-mru-6.c4,33
L1-D.access-mru-6.c5,18
L1-D.access-mru-6.c6,29
L1-D.access-mru-6.c7,28
L1-D.access-mru-6.c8,25
L1-D.access-mru-6.c9,23
L1-D.access-mru-6.node0,1627
L1-D.access-mru-6.node1,336
L1-D.access-mru-6.total,1963
L1-D.access-mru-7.c0,977
L1-D.access-mru-7.c1,63
L1-D.access-mru-7.c10,47
L1-D.access-mru-7.c11,24
L1-D.access-mru-7.c12,26
L1-D.access-mru-7.c13,47
L1-D.access-mru-7.c14,31
L1-D.access-mru-7.c15,48
L1-D.access-mru-7.c2,34
L1-D.access-mru-7.c3,54
L1-D.access-mru-7.c4,36
L1-D.access-mru-7.c5,31
L1-D.access-mru-7.c6,42
L1-D.access-mru-7.c7,52
L1-D.access-mru-7.c8,32
L1-D.access-mru-7.c9,35
L1-D.access-mru-7.node0,1266
L1-D.access-mru-7.node1,313
L1-D.access-mru-7.total,1579
L1-D.backinval-E,3
L1-D.backinval-M,103
L1-D.backinval-S,2
L1-D.coherency-downgrades.c0,1310
L1-D.coherency-downgrades.c1,644
L1-D.coherency-downgrades.c10,53
L1-D.coherency-downgrades.c11,46
L1-D.coherency-downgrades.c12,47
L1-D.coherency-downgrades.c13,50
