                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   20845607 |    3523393 |    3145205 |    3433070 |    3475954 |    3324042 |    3459920 |    3560803 |    3472584 |    3209778 |    3485708 |    3272051 |    3344209 |    2965657 |    2974474 |    3451976
  Cycles                             |   13752900 |   13752900 |   13752900 |   13752900 |   55011600 |   55011600 |   55011600 |   55011600 |   13752900 |   13752900 |   13752900 |   13752900 |   55011600 |   55011600 |   55011600 |   55011600
  IPC                                |       1.52 |       0.26 |       0.23 |       0.25 |       0.06 |       0.06 |       0.06 |       0.06 |       0.25 |       0.23 |       0.25 |       0.24 |       0.06 |       0.05 |       0.05 |       0.06
  Time (ns)                          |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900 |   13752900
  Idle time (ns)                     |       1246 |   12097453 |   12098324 |   12098782 |   12128933 |   12129340 |   12129398 |   12129814 |   12099872 |   12100110 |   12100583 |   12100842 |   12130965 |   12131803 |   12131931 |   12132350
  Idle time (%)                      |       0.0% |      88.0% |      88.0% |      88.0% |      88.2% |      88.2% |      88.2% |      88.2% |      88.0% |      88.0% |      88.0% |      88.0% |      88.2% |      88.2% |      88.2% |      88.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2242874 |    1117044 |     958506 |    1080296 |    1091990 |    1030260 |    1085465 |    1128283 |    1095596 |     985619 |    1100128 |    1012948 |    1037329 |     874603 |     883658 |    1082260
  num incorrect                      |     158225 |       4446 |       9762 |       5445 |       6044 |       8025 |       6265 |       4907 |       5287 |       9243 |       5190 |       8080 |       8090 |      13131 |      12974 |       6555
  misprediction rate                 |      6.59% |      0.40% |      1.01% |      0.50% |      0.55% |      0.77% |      0.57% |      0.43% |      0.48% |      0.93% |      0.47% |      0.79% |      0.77% |      1.48% |      1.45% |      0.60%
  mpki                               |       7.59 |       1.26 |       3.10 |       1.59 |       1.74 |       2.41 |       1.81 |       1.38 |       1.52 |       2.88 |       1.49 |       2.47 |       2.42 |       4.43 |       4.36 |       1.90
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2507623 |      46492 |      80983 |      53893 |      56529 |      67792 |      58251 |      46965 |      51814 |      75678 |      50638 |      68586 |      68057 |     109609 |     101040 |      58015
    num misses                       |        177 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         29 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.06% |      0.03% |      0.05% |      0.05% |      0.04% |      0.05% |      0.06% |      0.05% |      0.04% |      0.05% |      0.04% |      0.04% |      0.02% |      0.03% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4877250 |     676484 |     638292 |     667148 |     676892 |     661134 |     675338 |     683318 |     672352 |     646511 |     673182 |     651536 |     664010 |     624942 |     626819 |     674124
    num misses                       |       1933 |        507 |        531 |        511 |        524 |        573 |        509 |        539 |        539 |        555 |        544 |        757 |        507 |        540 |        532 |        474
    miss rate                        |      0.04% |      0.07% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.08% |      0.08% |      0.09% |      0.08% |      0.12% |      0.08% |      0.09% |      0.08% |      0.07%
    mpki                             |       0.09 |       0.14 |       0.17 |       0.15 |       0.15 |       0.17 |       0.15 |       0.15 |       0.16 |       0.17 |       0.16 |       0.23 |       0.15 |       0.18 |       0.18 |       0.14
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2110 |        534 |        558 |        538 |        551 |        600 |        536 |        566 |        566 |        582 |        571 |        784 |        536 |        567 |        559 |        501
    num misses                       |        696 |        180 |        180 |        174 |        187 |        183 |        180 |        177 |        167 |        172 |        168 |        167 |        173 |        173 |        168 |        168
    miss rate                        |     32.99% |     33.71% |     32.26% |     32.34% |     33.94% |     30.50% |     33.58% |     31.27% |     29.51% |     29.55% |     29.42% |     21.30% |     32.28% |     30.51% |     30.05% |     33.53%
    mpki                             |       0.03 |       0.05 |       0.06 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2507623 |      46492 |      80983 |      53893 |      56529 |      67792 |      58251 |      46965 |      51814 |      75678 |      50638 |      68586 |      68057 |     109609 |     101040 |      58015
    num cache misses                 |       3224 |        172 |        172 |        172 |        172 |        170 |        170 |        172 |        170 |        170 |        170 |        171 |        177 |        171 |        170 |        171
    miss rate                        |      0.13% |      0.37% |      0.21% |      0.32% |      0.30% |      0.25% |      0.29% |      0.37% |      0.33% |      0.22% |      0.34% |      0.25% |      0.26% |      0.16% |      0.17% |      0.29%
    mpki                             |       0.15 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
