metric,value
timestamp,2026-07-12T04:27:36
workload,BT
strategy,AKARIN
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/BT_W_AKARIN_16TH_20260712_013602
cpu_map,"[8, 9, 10, 11, 0, 4, 1, 3, 5, 14, 6, 2, 7, 12, 13, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,298.267
total_instructions,28978042354
avg_ipc,3.6141
avg_ipc_p,3.1293
avg_ipc_e,4.099
total_power_W,55.3259
dynamic_W,49.7247
leakage_W,5.6
dram_W,0.0012
energy_J,16.501887
node0_reads,19914
node1_reads,37579
node0_pct,34.6373
node0_writes,0
node1_writes,17
dram_local,9160
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,0.7581
l2_miss_pct,17.8994
l3_miss_pct,0.0958
l1d_mpki,1.8443
l2_mpki,0.3301
l3_mpki,0.0003
l3_miss_count,9160
cpi_base_frac,0.9813
cpi_branch_frac,0.0007
cpi_l2_frac,0.0003
cpi_l3_frac,0.0177
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2840
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.4453
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,767155022
L1-D.access-mru-0.c1,547730548
L1-D.access-mru-0.c10,767920656
L1-D.access-mru-0.c11,768618569
L1-D.access-mru-0.c12,494818445
L1-D.access-mru-0.c13,495174749
L1-D.access-mru-0.c14,494253272
L1-D.access-mru-0.c15,494225844
L1-D.access-mru-0.c2,545442325
L1-D.access-mru-0.c3,547056432
L1-D.access-mru-0.c4,714343619
L1-D.access-mru-0.c5,493843774
L1-D.access-mru-0.c6,495653591
L1-D.access-mru-0.c7,493851799
L1-D.access-mru-0.c8,759655873
L1-D.access-mru-0.c9,769046805
L1-D.access-mru-0.node0,4605077110
L1-D.access-mru-0.node1,5043714213
L1-D.access-mru-0.total,9648791323
L1-D.access-mru-1.c0,21370544
L1-D.access-mru-1.c1,10511739
L1-D.access-mru-1.c10,20708757
L1-D.access-mru-1.c11,20729827
L1-D.access-mru-1.c12,13420673
L1-D.access-mru-1.c13,13499695
L1-D.access-mru-1.c14,13573969
L1-D.access-mru-1.c15,13557647
L1-D.access-mru-1.c2,10753653
L1-D.access-mru-1.c3,10900318
L1-D.access-mru-1.c4,26867284
L1-D.access-mru-1.c5,13591023
L1-D.access-mru-1.c6,13565509
L1-D.access-mru-1.c7,13489837
L1-D.access-mru-1.c8,30269464
L1-D.access-mru-1.c9,21206461
L1-D.access-mru-1.node0,121049907
L1-D.access-mru-1.node1,146966493
L1-D.access-mru-1.total,268016400
L1-D.access-mru-2.c0,5992764
L1-D.access-mru-2.c1,2894418
L1-D.access-mru-2.c10,5638323
L1-D.access-mru-2.c11,5796686
L1-D.access-mru-2.c12,1170871
L1-D.access-mru-2.c13,1094950
L1-D.access-mru-2.c14,1166318
L1-D.access-mru-2.c15,1154274
L1-D.access-mru-2.c2,2969266
L1-D.access-mru-2.c3,2812281
L1-D.access-mru-2.c4,2305630
L1-D.access-mru-2.c5,1176272
L1-D.access-mru-2.c6,1147993
L1-D.access-mru-2.c7,1186227
L1-D.access-mru-2.c8,6453220
L1-D.access-mru-2.c9,5762890
L1-D.access-mru-2.node0,20484851
L1-D.access-mru-2.node1,28237532
L1-D.access-mru-2.total,48722383
L1-D.access-mru-3.c0,7436379
L1-D.access-mru-3.c1,3479822
L1-D.access-mru-3.c10,7373166
L1-D.access-mru-3.c11,7185104
L1-D.access-mru-3.c12,1538315
L1-D.access-mru-3.c13,1574259
L1-D.access-mru-3.c14,1559383
L1-D.access-mru-3.c15,1567422
L1-D.access-mru-3.c2,3678876
L1-D.access-mru-3.c3,3666315
L1-D.access-mru-3.c4,3082939
L1-D.access-mru-3.c5,1527823
L1-D.access-mru-3.c6,1565911
L1-D.access-mru-3.c7,1541102
L1-D.access-mru-3.c8,6962586
L1-D.access-mru-3.c9,7267203
L1-D.access-mru-3.node0,25979167
