metric,value
timestamp,2026-07-12T02:44:12
workload,BT
strategy,HPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/BT_W_HPO_16TH_20260712_013602
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,257.8909
total_instructions,25026248955
avg_ipc,3.6017
avg_ipc_p,3.6016
avg_ipc_e,3.6018
total_power_W,59.2138
dynamic_W,53.6124
leakage_W,5.6
dram_W,0.0014
energy_J,15.270703
node0_reads,37544
node1_reads,19952
node0_pct,65.2985
node0_writes,17
node1_writes,0
dram_local,9267
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,0.8294
l2_miss_pct,18.0365
l3_miss_pct,0.0969
l1d_mpki,2.1181
l2_mpki,0.382
l3_mpki,0.0004
l3_miss_count,9267
cpi_base_frac,0.9774
cpi_branch_frac,0.0008
cpi_l2_frac,0.0003
cpi_l3_frac,0.0215
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2840
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.6842
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,725936191
L1-D.access-mru-0.c1,724671064
L1-D.access-mru-0.c10,503015755
L1-D.access-mru-0.c11,503189253
L1-D.access-mru-0.c12,456787637
L1-D.access-mru-0.c13,457430681
L1-D.access-mru-0.c14,455848855
L1-D.access-mru-0.c15,455838814
L1-D.access-mru-0.c2,723837771
L1-D.access-mru-0.c3,724738634
L1-D.access-mru-0.c4,456598449
L1-D.access-mru-0.c5,457166009
L1-D.access-mru-0.c6,455588948
L1-D.access-mru-0.c7,455669861
L1-D.access-mru-0.c8,722816693
L1-D.access-mru-0.c9,725061517
L1-D.access-mru-0.node0,4724206927
L1-D.access-mru-0.node1,4279989205
L1-D.access-mru-0.total,9004196132
L1-D.access-mru-1.c0,20927331
L1-D.access-mru-1.c1,21713685
L1-D.access-mru-1.c10,10795115
L1-D.access-mru-1.c11,10575055
L1-D.access-mru-1.c12,13516131
L1-D.access-mru-1.c13,13443206
L1-D.access-mru-1.c14,13526012
L1-D.access-mru-1.c15,13583570
L1-D.access-mru-1.c2,20773106
L1-D.access-mru-1.c3,20709929
L1-D.access-mru-1.c4,13616136
L1-D.access-mru-1.c5,13598322
L1-D.access-mru-1.c6,13590054
L1-D.access-mru-1.c7,13514597
L1-D.access-mru-1.c8,21392085
L1-D.access-mru-1.c9,21045747
L1-D.access-mru-1.node0,138443160
L1-D.access-mru-1.node1,117876921
L1-D.access-mru-1.total,256320081
L1-D.access-mru-2.c0,5702559
L1-D.access-mru-2.c1,5732955
L1-D.access-mru-2.c10,3035531
L1-D.access-mru-2.c11,2868789
L1-D.access-mru-2.c12,1182205
L1-D.access-mru-2.c13,1167454
L1-D.access-mru-2.c14,1090125
L1-D.access-mru-2.c15,1149449
L1-D.access-mru-2.c2,5615276
L1-D.access-mru-2.c3,5831063
L1-D.access-mru-2.c4,1174060
L1-D.access-mru-2.c5,1165917
L1-D.access-mru-2.c6,1146789
L1-D.access-mru-2.c7,1099260
L1-D.access-mru-2.c8,5982108
L1-D.access-mru-2.c9,5596708
L1-D.access-mru-2.node0,27467879
L1-D.access-mru-2.node1,22072369
L1-D.access-mru-2.total,49540248
L1-D.access-mru-3.c0,6556982
L1-D.access-mru-3.c1,7155784
L1-D.access-mru-3.c10,3642542
L1-D.access-mru-3.c11,3589923
L1-D.access-mru-3.c12,1538690
L1-D.access-mru-3.c13,1539521
L1-D.access-mru-3.c14,1574458
L1-D.access-mru-3.c15,1566015
L1-D.access-mru-3.c2,7379699
L1-D.access-mru-3.c3,7152377
L1-D.access-mru-3.c4,1527020
L1-D.access-mru-3.c5,1557375
L1-D.access-mru-3.c6,1564103
L1-D.access-mru-3.c7,1568010
L1-D.access-mru-3.c8,7457804
L1-D.access-mru-3.c9,7303061
L1-D.access-mru-3.node0,34461350
L1-D.access-mru-3.node1,28212014
L1-D.access-mru-3.total,62673364
L1-D.access-mru-4.c0,5153701
