                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1954156903 |  1957230073 |  1966755578 |  1966815282 |  1686311128 |  1686534836 |  1680324912 |  1680029726 |  1948480370 |  1953315104 |  1941620767 |  1939677454 |  1662558415 |  1663209516 |  1661183940 |  1664043635
  Cycles                             |   868841740 |   868841740 |   868841740 |   868841740 |   659121320 |   659121320 |   659121320 |   659121320 |   868841740 |   868841740 |   868841740 |   868841740 |   659121320 |   659121320 |   659121320 |   659121320
  IPC                                |        2.25 |        2.25 |        2.26 |        2.26 |        2.56 |        2.56 |        2.55 |        2.55 |        2.24 |        2.25 |        2.23 |        2.23 |        2.52 |        2.52 |        2.52 |        2.52
  Time (ns)                          |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600 |   299600600
  Idle time (ns)                     |         354 |      291890 |      293837 |      295639 |      297371 |      299102 |      300833 |      302564 |      304295 |      306027 |      307758 |      309489 |      311220 |      312970 |      314702 |      316433
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    98358211 |   100077392 |   106907178 |   106927082 |    13424293 |    13498483 |   282030562 |   281932231 |   373279875 |   374891450 |   370993136 |   370345568 |   277972530 |   278189562 |   277514372 |   278467600
  num incorrect                      |       42038 |       32220 |       27968 |       27968 |       26979 |       27714 |       18723 |       18670 |       18255 |       18256 |       18458 |       18257 |       18255 |       18255 |       18254 |       18257
  misprediction rate                 |       0.04% |       0.03% |       0.03% |       0.03% |       0.20% |       0.20% |       0.01% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.01 |        0.01 |        0.02 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   158385579 |   157995643 |   157003432 |   157003430 |   157003538 |   157003432 |    79676210 |    79676208 |    79017828 |    79017830 |    79017828 |    79017828 |    79017828 |    79017828 |    79017828 |    79017829
    num misses                       |         260 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
