                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   20911815 |    3530071 |    3149886 |    3438132 |    3335827 |    3197736 |    3325153 |    3413824 |    3479747 |    3220807 |    3489466 |    3267159 |    3243311 |    2844957 |    2873352 |    3328447
  Cycles                             |   57411600 |   57411600 |   57411600 |   57411600 |   14352900 |   14352900 |   14352900 |   14352900 |   57411600 |   57411600 |   57411600 |   57411600 |   14352900 |   14352900 |   14352900 |   14352900
  IPC                                |       0.36 |       0.06 |       0.05 |       0.06 |       0.23 |       0.22 |       0.23 |       0.24 |       0.06 |       0.06 |       0.06 |       0.06 |       0.23 |       0.20 |       0.20 |       0.23
  Time (ns)                          |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900 |   14352900
  Idle time (ns)                     |       1361 |   12747406 |   12748428 |   12748891 |   12719167 |   12718431 |   12718977 |   12719267 |   12749398 |   12749770 |   12750018 |   12750413 |   12720764 |   12720975 |   12721236 |   12721420
  Idle time (%)                      |       0.0% |      88.8% |      88.8% |      88.8% |      88.6% |      88.6% |      88.6% |      88.6% |      88.8% |      88.8% |      88.8% |      88.8% |      88.6% |      88.6% |      88.6% |      88.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2263362 |    1119372 |     960116 |    1081873 |    1045341 |     987667 |    1040560 |    1079142 |    1098166 |     988999 |    1102270 |    1011514 |    1003387 |     834797 |     850296 |    1041027
  num incorrect                      |     160744 |       4541 |       9718 |       5485 |       6194 |       8151 |       6248 |       4832 |       5432 |       8995 |       5247 |       8183 |       8006 |      13612 |      13186 |       6608
  misprediction rate                 |      6.63% |      0.40% |      1.00% |      0.50% |      0.59% |      0.82% |      0.60% |      0.45% |      0.49% |      0.90% |      0.47% |      0.80% |      0.79% |      1.60% |      1.53% |      0.63%
  mpki                               |       7.69 |       1.29 |       3.09 |       1.60 |       1.86 |       2.55 |       1.88 |       1.42 |       1.56 |       2.79 |       1.50 |       2.50 |       2.47 |       4.78 |       4.59 |       1.99
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2768217 |      46282 |      81138 |      54322 |      56179 |      69494 |      58107 |      48029 |      50858 |      77198 |      49403 |      68425 |      69439 |     106945 |      99436 |      57976
    num misses                       |        171 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.03% |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05% |      0.03% |      0.06% |      0.04% |      0.04% |      0.02% |      0.03% |      0.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4888233 |     677286 |     638931 |     667952 |     653022 |     640135 |     652797 |     658795 |     673702 |     648656 |     673841 |     650858 |     646649 |     605422 |     610110 |     653455
    num misses                       |       2159 |        638 |        619 |        547 |        620 |        580 |        550 |        524 |        599 |        602 |        583 |        547 |        584 |        598 |        576 |        555
    miss rate                        |      0.04% |      0.09% |      0.10% |      0.08% |      0.09% |      0.09% |      0.08% |      0.08% |      0.09% |      0.09% |      0.09% |      0.08% |      0.09% |      0.10% |      0.09% |      0.08%
    mpki                             |       0.10 |       0.18 |       0.20 |       0.16 |       0.19 |       0.18 |       0.17 |       0.15 |       0.17 |       0.19 |       0.17 |       0.17 |       0.18 |       0.21 |       0.20 |       0.17
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2330 |        664 |        645 |        573 |        646 |        606 |        576 |        550 |        625 |        628 |        611 |        573 |        610 |        624 |        602 |        581
    num misses                       |        695 |        182 |        185 |        182 |        171 |        168 |        184 |        167 |        168 |        167 |        168 |        166 |        160 |        163 |        170 |        164
    miss rate                        |     29.83% |     27.41% |     28.68% |     31.76% |     26.47% |     27.72% |     31.94% |     30.36% |     26.88% |     26.59% |     27.50% |     28.97% |     26.23% |     26.12% |     28.24% |     28.23%
    mpki                             |       0.03 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2768217 |      46282 |      81138 |      54322 |      56179 |      69494 |      58107 |      48029 |      50858 |      77198 |      49403 |      68425 |      69439 |     106945 |      99436 |      57976
    num cache misses                 |       2711 |        170 |        170 |        172 |        169 |        170 |        169 |        169 |        169 |        170 |        175 |        169 |        169 |        170 |        169 |        170
    miss rate                        |      0.10% |      0.37% |      0.21% |      0.32% |      0.30% |      0.24% |      0.29% |      0.35% |      0.33% |      0.22% |      0.35% |      0.25% |      0.24% |      0.16% |      0.17% |      0.29%
    mpki                             |       0.13 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4888233 |     677286 |     638931 |     667952 |     653022 |     640135 |     652797 |     658795 |     673702 |     648656 |     673841 |     650858 |     646649 |     605422 |     610110 |     653455
    num cache misses                 |      42146 |      13866 |      14284 |      13987 |      13972 |      14164 |      14081 |      13740 |      13979 |      14153 |      13936 |      14112 |      13974 |      14295 |      14386 |      13909
    miss rate                        |      0.86% |      2.05% |      2.24% |      2.09% |      2.14% |      2.21% |      2.16% |      2.09% |      2.07% |      2.18% |      2.07% |      2.17% |      2.16% |      2.36% |      2.36% |      2.13%
    mpki                             |       2.02 |       3.93 |       4.53 |       4.07 |       4.19 |       4.43 |       4.23 |       4.02 |       4.02 |       4.39 |       3.99 |       4.32 |       4.31 |       5.02 |       5.01 |       4.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
