metric,value
timestamp,2026-07-12T15:00:43
workload,GUPS
strategy,EPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/GUPS_W_EPO_16TH_20260712_013602
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,295.6627
total_instructions,3133938288
avg_ipc,0.3549
avg_ipc_p,0.3374
avg_ipc_e,0.3724
total_power_W,13.6354
dynamic_W,6.5153
leakage_W,5.6
dram_W,1.5201
energy_J,4.03147
node0_reads,52294215
node1_reads,269
node0_pct,99.9995
node0_writes,25497698
node1_writes,168
dram_local,38846285
dram_remote,12395482
dram_remote_pct,24.1902
l1d_miss_pct,87.148
l2_miss_pct,98.5642
l3_miss_pct,80.6937
l1d_mpki,20.5577
l2_mpki,20.2626
l3_mpki,16.3506
l3_miss_count,51241767
cpi_base_frac,0.7531
cpi_branch_frac,0.0066
cpi_l2_frac,0.0007
cpi_l3_frac,0.0155
cpi_dram_local_frac,0.1717
cpi_dram_remote_frac,0.0524
futex_wake_count,6
futex_wait_count,30
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.034
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1022905
L1-D.access-mru-0.c1,1025581
L1-D.access-mru-0.c10,1010029
L1-D.access-mru-0.c11,735417
L1-D.access-mru-0.c12,1003042
L1-D.access-mru-0.c13,1009953
L1-D.access-mru-0.c14,1007384
L1-D.access-mru-0.c15,1019548
L1-D.access-mru-0.c2,1012417
L1-D.access-mru-0.c3,1009533
L1-D.access-mru-0.c4,4190841
L1-D.access-mru-0.c5,1074955
L1-D.access-mru-0.c6,1041263
L1-D.access-mru-0.c7,1016798
L1-D.access-mru-0.c8,989050
L1-D.access-mru-0.c9,1004514
L1-D.access-mru-0.node0,11394293
L1-D.access-mru-0.node1,7778937
L1-D.access-mru-0.total,19173230
L1-D.access-mru-1.c0,1492
L1-D.access-mru-1.c1,649
L1-D.access-mru-1.c10,249
L1-D.access-mru-1.c11,897
L1-D.access-mru-1.c12,639
L1-D.access-mru-1.c13,245
L1-D.access-mru-1.c14,260
L1-D.access-mru-1.c15,766
L1-D.access-mru-1.c2,540
L1-D.access-mru-1.c3,393
L1-D.access-mru-1.c4,39920
L1-D.access-mru-1.c5,2310
L1-D.access-mru-1.c6,1341
L1-D.access-mru-1.c7,532
L1-D.access-mru-1.c8,217
L1-D.access-mru-1.c9,193
L1-D.access-mru-1.node0,47177
L1-D.access-mru-1.node1,3466
L1-D.access-mru-1.total,50643
L1-D.access-mru-2.c0,1041
L1-D.access-mru-2.c1,582
L1-D.access-mru-2.c10,244
L1-D.access-mru-2.c11,671
L1-D.access-mru-2.c12,447
L1-D.access-mru-2.c13,222
L1-D.access-mru-2.c14,315
L1-D.access-mru-2.c15,661
L1-D.access-mru-2.c2,381
L1-D.access-mru-2.c3,321
L1-D.access-mru-2.c4,16922
L1-D.access-mru-2.c5,1744
L1-D.access-mru-2.c6,674
L1-D.access-mru-2.c7,413
L1-D.access-mru-2.c8,224
L1-D.access-mru-2.c9,181
L1-D.access-mru-2.node0,22078
L1-D.access-mru-2.node1,2965
L1-D.access-mru-2.total,25043
L1-D.access-mru-3.c0,913
L1-D.access-mru-3.c1,510
L1-D.access-mru-3.c10,200
L1-D.access-mru-3.c11,470
L1-D.access-mru-3.c12,406
L1-D.access-mru-3.c13,197
L1-D.access-mru-3.c14,341
L1-D.access-mru-3.c15,523
L1-D.access-mru-3.c2,278
L1-D.access-mru-3.c3,298
L1-D.access-mru-3.c4,13345
L1-D.access-mru-3.c5,1932
L1-D.access-mru-3.c6,391
L1-D.access-mru-3.c7,377
L1-D.access-mru-3.c8,238
L1-D.access-mru-3.c9,217
L1-D.access-mru-3.node0,18044
L1-D.access-mru-3.node1,2592
L1-D.access-mru-3.total,20636
L1-D.access-mru-4.c0,884
L1-D.access-mru-4.c1,487
L1-D.access-mru-4.c10,191
L1-D.access-mru-4.c11,429
L1-D.access-mru-4.c12,364
L1-D.access-mru-4.c13,211
L1-D.access-mru-4.c14,304
L1-D.access-mru-4.c15,371
L1-D.access-mru-4.c2,280
L1-D.access-mru-4.c3,297
L1-D.access-mru-4.c4,12306
L1-D.access-mru-4.c5,2014
L1-D.access-mru-4.c6,487
L1-D.access-mru-4.c7,437
L1-D.access-mru-4.c8,231
L1-D.access-mru-4.c9,217
L1-D.access-mru-4.node0,17192
L1-D.access-mru-4.node1,2318
L1-D.access-mru-4.total,19510
L1-D.access-mru-5.c0,813
L1-D.access-mru-5.c1,437
L1-D.access-mru-5.c10,204
L1-D.access-mru-5.c11,440
L1-D.access-mru-5.c12,339
L1-D.access-mru-5.c13,175
L1-D.access-mru-5.c14,287
L1-D.access-mru-5.c15,319
L1-D.access-mru-5.c2,272
L1-D.access-mru-5.c3,303
L1-D.access-mru-5.c4,11149
L1-D.access-mru-5.c5,1720
L1-D.access-mru-5.c6,490
L1-D.access-mru-5.c7,432
L1-D.access-mru-5.c8,229
L1-D.access-mru-5.c9,189
L1-D.access-mru-5.node0,15616
L1-D.access-mru-5.node1,2182
L1-D.access-mru-5.total,17798
L1-D.access-mru-6.c0,763
L1-D.access-mru-6.c1,399
L1-D.access-mru-6.c10,219
L1-D.access-mru-6.c11,384
L1-D.access-mru-6.c12,296
L1-D.access-mru-6.c13,161
L1-D.access-mru-6.c14,261
L1-D.access-mru-6.c15,287
L1-D.access-mru-6.c2,256
L1-D.access-mru-6.c3,335
L1-D.access-mru-6.c4,10066
L1-D.access-mru-6.c5,1508
L1-D.access-mru-6.c6,617
L1-D.access-mru-6.c7,420
L1-D.access-mru-6.c8,225
L1-D.access-mru-6.c9,183
L1-D.access-mru-6.node0,14364
L1-D.access-mru-6.node1,2016
L1-D.access-mru-6.total,16380
L1-D.access-mru-7.c0,672
L1-D.access-mru-7.c1,370
L1-D.access-mru-7.c10,223
L1-D.access-mru-7.c11,373
L1-D.access-mru-7.c12,287
L1-D.access-mru-7.c13,175
L1-D.access-mru-7.c14,205
L1-D.access-mru-7.c15,223
L1-D.access-mru-7.c2,253
L1-D.access-mru-7.c3,281
L1-D.access-mru-7.c4,9631
L1-D.access-mru-7.c5,1278
L1-D.access-mru-7.c6,632
L1-D.access-mru-7.c7,421
L1-D.access-mru-7.c8,227
L1-D.access-mru-7.c9,186
L1-D.access-mru-7.node0,13538
L1-D.access-mru-7.node1,1899
L1-D.access-mru-7.total,15437
L1-D.backinval-E.c0,2
L1-D.backinval-E.c1,2
L1-D.backinval-E.c14,4
L1-D.backinval-E.c2,2
L1-D.backinval-E.c3,8
L1-D.backinval-E.c4,3732
L1-D.backinval-E.c5,3
L1-D.backinval-E.c6,6
L1-D.backinval-E.c7,53
L1-D.backinval-E.node0,3808
L1-D.backinval-E.node1,4
L1-D.backinval-E.total,3812
L1-D.backinval-M.c0,763
L1-D.backinval-M.c1,650
L1-D.backinval-M.c10,642
L1-D.backinval-M.c11,54
L1-D.backinval-M.c12,810
L1-D.backinval-M.c13,456
L1-D.backinval-M.c14,300
L1-D.backinval-M.c15,203
L1-D.backinval-M.c2,569
L1-D.backinval-M.c3,38
L1-D.backinval-M.c4,3255
L1-D.backinval-M.c5,660
L1-D.backinval-M.c6,499
L1-D.backinval-M.c7,170
L1-D.backinval-M.c8,688
L1-D.backinval-M.c9,645
L1-D.backinval-M.node0,6604
L1-D.backinval-M.node1,3798
L1-D.backinval-M.total,10402
L1-D.backinval-S.c0,253
L1-D.backinval-S.c1,230
L1-D.backinval-S.c10,206
L1-D.backinval-S.c11,71
L1-D.backinval-S.c12,108
L1-D.backinval-S.c13,190
L1-D.backinval-S.c14,111
L1-D.backinval-S.c15,67
L1-D.backinval-S.c2,177
L1-D.backinval-S.c3,72
L1-D.backinval-S.c4,1639
L1-D.backinval-S.c5,182
L1-D.backinval-S.c6,155
L1-D.backinval-S.c7,71
L1-D.backinval-S.c8,178
L1-D.backinval-S.c9,210
L1-D.backinval-S.node0,2779
L1-D.backinval-S.node1,1141
L1-D.backinval-S.total,3920
L1-D.coherency-downgrades.c0,2413
L1-D.coherency-downgrades.c1,2005
L1-D.coherency-downgrades.c10,1686
L1-D.coherency-downgrades.c11,1573
L1-D.coherency-downgrades.c12,1870
L1-D.coherency-downgrades.c13,1788
L1-D.coherency-downgrades.c14,2329
L1-D.coherency-downgrades.c15,2586
L1-D.coherency-downgrades.c2,1824
L1-D.coherency-downgrades.c3,2243
L1-D.coherency-downgrades.c4,1223
L1-D.coherency-downgrades.c5,1764
L1-D.coherency-downgrades.c6,1925
L1-D.coherency-downgrades.c7,2300
L1-D.coherency-downgrades.c8,1514
L1-D.coherency-downgrades.c9,1786
L1-D.coherency-downgrades.node0,15697
L1-D.coherency-downgrades.node1,15132
L1-D.coherency-downgrades.total,30829
L1-D.coherency-invalidates.c0,1313
L1-D.coherency-invalidates.c1,351
L1-D.coherency-invalidates.c10,9
L1-D.coherency-invalidates.c11,13
L1-D.coherency-invalidates.c12,933
L1-D.coherency-invalidates.c13,255
L1-D.coherency-invalidates.c14,657
L1-D.coherency-invalidates.c15,1757
L1-D.coherency-invalidates.c2,155
L1-D.coherency-invalidates.c3,1514
L1-D.coherency-invalidates.c4,20
L1-D.coherency-invalidates.c5,4
L1-D.coherency-invalidates.c6,447
L1-D.coherency-invalidates.c7,1370
L1-D.coherency-invalidates.c8,738
L1-D.coherency-invalidates.c9,10
L1-D.coherency-invalidates.node0,5174
L1-D.coherency-invalidates.node1,4372
L1-D.coherency-invalidates.total,9546
L1-D.coherency-upgrades.c0,7
L1-D.coherency-upgrades.c1,7
L1-D.coherency-upgrades.c10,4
L1-D.coherency-upgrades.c11,2
L1-D.coherency-upgrades.c12,4
L1-D.coherency-upgrades.c13,11
L1-D.coherency-upgrades.c14,3
L1-D.coherency-upgrades.c15,5
L1-D.coherency-upgrades.c2,9
L1-D.coherency-upgrades.c3,7
L1-D.coherency-upgrades.c4,6
L1-D.coherency-upgrades.c5,11
L1-D.coherency-upgrades.c6,8
L1-D.coherency-upgrades.c7,8
L1-D.coherency-upgrades.c8,2
L1-D.coherency-upgrades.c9,5
L1-D.coherency-upgrades.node0,63
L1-D.coherency-upgrades.node1,36
L1-D.coherency-upgrades.total,99
L1-D.coherency-writebacks.c0,28
L1-D.coherency-writebacks.c1,62
L1-D.coherency-writebacks.c10,61
L1-D.coherency-writebacks.c11,24
L1-D.coherency-writebacks.c12,25
L1-D.coherency-writebacks.c13,29
L1-D.coherency-writebacks.c14,31
L1-D.coherency-writebacks.c15,22
L1-D.coherency-writebacks.c2,35
L1-D.coherency-writebacks.c3,33
L1-D.coherency-writebacks.c4,101
L1-D.coherency-writebacks.c5,32
L1-D.coherency-writebacks.c6,40
L1-D.coherency-writebacks.c7,23
L1-D.coherency-writebacks.c8,24
L1-D.coherency-writebacks.c9,67
L1-D.coherency-writebacks.node0,354
L1-D.coherency-writebacks.node1,283
L1-D.coherency-writebacks.total,637
L1-D.evict-E,26902509
L1-D.evict-M.c0,2083328
L1-D.evict-M.c1,2089788
L1-D.evict-M.c10,2093121
L1-D.evict-M.c11,2090377
L1-D.evict-M.c12,2090223
L1-D.evict-M.c13,2093276
L1-D.evict-M.c14,2092395
L1-D.evict-M.c15,2089373
L1-D.evict-M.c2,2091793
L1-D.evict-M.c3,2092386
L1-D.evict-M.c4,3102351
L1-D.evict-M.c5,2076005
L1-D.evict-M.c6,2087296
L1-D.evict-M.c7,2090942
L1-D.evict-M.c8,2093196
L1-D.evict-M.c9,2093208
L1-D.evict-M.node0,17713889
L1-D.evict-M.node1,16735169
L1-D.evict-M.total,34449058
L1-D.evict-S.c0,783
L1-D.evict-S.c1,1452
L1-D.evict-S.c10,1460
L1-D.evict-S.c11,779
L1-D.evict-S.c12,877
L1-D.evict-S.c13,1375
L1-D.evict-S.c14,1554
