                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   42744214 |   42893063 |   43939382 |   43254590 |   37581856 |   37857893 |   37927875 |   38409075 |   43235805 |   43562168 |   43837732 |   43321155 |   38181803 |   37570878 |   37840554 |   37719302
  Cycles                             |   51621450 |   51621450 |   51621450 |   51621450 |   39161100 |   39161100 |   39161100 |   39161100 |   51621450 |   51621450 |   51621450 |   51621450 |   39161100 |   39161100 |   39161100 |   39161100
  IPC                                |       0.83 |       0.83 |       0.85 |       0.84 |       0.96 |       0.97 |       0.97 |       0.98 |       0.84 |       0.84 |       0.85 |       0.84 |       0.97 |       0.96 |       0.97 |       0.96
  Time (ns)                          |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500 |   17800500
  Idle time (ns)                     |     386224 |     391555 |     356911 |     383562 |     378232 |     364885 |     362222 |        255 |     388862 |     370244 |     359584 |     380924 |     352772 |     375545 |     367523 |     372882
  Idle time (%)                      |       2.2% |       2.2% |       2.0% |       2.2% |       2.1% |       2.0% |       2.0% |       0.0% |       2.2% |       2.1% |       2.0% |       2.1% |       2.0% |       2.1% |       2.1% |       2.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4563370 |    4635986 |    4856271 |    4709758 |    3137672 |    3197613 |    3213838 |    3218076 |    4704575 |    4780076 |    4838328 |    4725848 |    3266246 |    3139306 |    3192509 |    3167563
  num incorrect                      |       5158 |       5549 |       2881 |       5022 |       3296 |       2708 |       2661 |      12676 |       5251 |       3343 |       2988 |       4834 |       2526 |       2988 |       2831 |       2973
  misprediction rate                 |      0.11% |      0.12% |      0.06% |      0.11% |      0.10% |      0.08% |      0.08% |      0.39% |      0.11% |      0.07% |      0.06% |      0.10% |      0.08% |      0.10% |      0.09% |      0.09%
  mpki                               |       0.12 |       0.13 |       0.07 |       0.12 |       0.09 |       0.07 |       0.07 |       0.33 |       0.12 |       0.08 |       0.07 |       0.11 |       0.07 |       0.08 |       0.07 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5297777 |    5271869 |    5190986 |    5272056 |    5129418 |    5075771 |    5061535 |    5112861 |    5320418 |    5219557 |    5188242 |    5262505 |    5050631 |    5093449 |    5092803 |    5109947
    num misses                       |         23 |         21 |         21 |         23 |         21 |         23 |         23 |        131 |         21 |         21 |         23 |         23 |         21 |         23 |         23 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14793927 |   14718741 |   15098687 |   14856018 |   13882066 |   13970843 |   13984503 |   14390841 |   14871829 |   14957729 |   15052506 |   14877115 |   14078501 |   13855524 |   13970587 |   13928556
    num misses                       |     644927 |     642971 |     642330 |     642891 |     643334 |     643656 |     642658 |     647534 |     641202 |     643427 |     642166 |     642321 |     642965 |     641512 |     642217 |     641882
    miss rate                        |      4.36% |      4.37% |      4.25% |      4.33% |      4.63% |      4.61% |      4.60% |      4.50% |      4.31% |      4.30% |      4.27% |      4.32% |      4.57% |      4.63% |      4.60% |      4.61%
    mpki                             |      15.09 |      14.99 |      14.62 |      14.86 |      17.12 |      17.00 |      16.94 |      16.86 |      14.83 |      14.77 |      14.65 |      14.83 |      16.84 |      17.07 |      16.97 |      17.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     644950 |     642992 |     642351 |     642914 |     643355 |     643679 |     642681 |     647665 |     641223 |     643448 |     642189 |     642344 |     642986 |     641535 |     642240 |     641905
    num misses                       |     263659 |     260567 |     260213 |     265369 |     263823 |     261943 |     263012 |     264248 |     261186 |     265838 |     262443 |     263797 |     263043 |     260442 |     263870 |     263355
    miss rate                        |     40.88% |     40.52% |     40.51% |     41.28% |     41.01% |     40.69% |     40.92% |     40.80% |     40.73% |     41.31% |     40.87% |     41.07% |     40.91% |     40.60% |     41.09% |     41.03%
    mpki                             |       6.17 |       6.07 |       5.92 |       6.14 |       7.02 |       6.92 |       6.93 |       6.88 |       6.04 |       6.10 |       5.99 |       6.09 |       6.89 |       6.93 |       6.97 |       6.98
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5297777 |    5271869 |    5190986 |    5272056 |    5129418 |    5075771 |    5061535 |    5112861 |    5320418 |    5219557 |    5188242 |    5262505 |    5050631 |    5093449 |    5092803 |    5109947
    num cache misses                 |        203 |        267 |        227 |        271 |        773 |        780 |        791 |       4127 |        220 |        165 |        218 |        201 |        799 |        827 |        773 |        755
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.01% |      0.02% |      0.02% |      0.02% |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.11 |       0.01 |       0.00 |       0.00 |       0.00 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14793927 |   14718741 |   15098687 |   14856018 |   13882066 |   13970843 |   13984503 |   14390841 |   14871829 |   14957729 |   15052506 |   14877115 |   14078501 |   13855524 |   13970587 |   13928556
    num cache misses                 |     406585 |     403734 |     411924 |     402962 |     520026 |     520339 |     519386 |     528372 |     403859 |     406660 |     408721 |     404014 |     521476 |     520065 |     525100 |     519350
