metric,value
timestamp,2026-07-12T15:30:05
workload,IS
strategy,Scatter
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/IS_W_Scatter_16TH_20260712_013602
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13, 6, 14, 7, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,17.8266
total_instructions,658560569
avg_ipc,1.3755
avg_ipc_p,1.3762
avg_ipc_e,1.3748
total_power_W,31.7966
dynamic_W,26.1435
leakage_W,5.6
dram_W,0.0531
energy_J,0.566825
node0_reads,79343
node1_reads,68440
node0_pct,53.6889
node0_writes,35
node1_writes,39
dram_local,7301
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.4765
l2_miss_pct,47.6278
l3_miss_pct,0.6308
l1d_mpki,3.69
l2_mpki,1.7574
l3_mpki,0.0111
l3_miss_count,7301
cpi_base_frac,0.9656
cpi_branch_frac,0.0018
cpi_l2_frac,0.0011
cpi_l3_frac,0.0312
cpi_dram_local_frac,0.0004
cpi_dram_remote_frac,0.0
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.2273
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,13828366
L1-D.access-mru-0.c1,13667189
L1-D.access-mru-0.c10,13616542
L1-D.access-mru-0.c11,13602247
L1-D.access-mru-0.c12,12144242
L1-D.access-mru-0.c13,12135724
L1-D.access-mru-0.c14,12095163
L1-D.access-mru-0.c15,12078910
L1-D.access-mru-0.c2,13639011
L1-D.access-mru-0.c3,13542881
L1-D.access-mru-0.c4,12144763
L1-D.access-mru-0.c5,12149376
L1-D.access-mru-0.c6,12138620
L1-D.access-mru-0.c7,12107960
L1-D.access-mru-0.c8,13742996
L1-D.access-mru-0.c9,13605692
L1-D.access-mru-0.node0,103218166
L1-D.access-mru-0.node1,103021516
L1-D.access-mru-0.total,206239682
L1-D.access-mru-1.c0,652250
L1-D.access-mru-1.c1,556341
L1-D.access-mru-1.c10,542535
L1-D.access-mru-1.c11,513314
L1-D.access-mru-1.c12,539770
L1-D.access-mru-1.c13,551949
L1-D.access-mru-1.c14,557658
L1-D.access-mru-1.c15,553636
L1-D.access-mru-1.c2,541544
L1-D.access-mru-1.c3,575512
L1-D.access-mru-1.c4,548810
L1-D.access-mru-1.c5,538330
L1-D.access-mru-1.c6,554963
L1-D.access-mru-1.c7,552063
L1-D.access-mru-1.c8,565421
L1-D.access-mru-1.c9,591969
L1-D.access-mru-1.node0,4519813
L1-D.access-mru-1.node1,4416252
L1-D.access-mru-1.total,8936065
L1-D.access-mru-2.c0,153150
L1-D.access-mru-2.c1,142621
L1-D.access-mru-2.c10,140897
L1-D.access-mru-2.c11,139345
L1-D.access-mru-2.c12,162146
L1-D.access-mru-2.c13,163582
L1-D.access-mru-2.c14,149034
L1-D.access-mru-2.c15,151832
L1-D.access-mru-2.c2,140488
L1-D.access-mru-2.c3,141221
L1-D.access-mru-2.c4,164430
L1-D.access-mru-2.c5,161805
L1-D.access-mru-2.c6,165759
L1-D.access-mru-2.c7,152126
L1-D.access-mru-2.c8,143135
L1-D.access-mru-2.c9,141930
L1-D.access-mru-2.node0,1221600
L1-D.access-mru-2.node1,1191901
L1-D.access-mru-2.total,2413501
L1-D.access-mru-3.c0,98958
L1-D.access-mru-3.c1,97066
L1-D.access-mru-3.c10,98851
L1-D.access-mru-3.c11,97955
L1-D.access-mru-3.c12,212532
L1-D.access-mru-3.c13,196912
L1-D.access-mru-3.c14,191039
L1-D.access-mru-3.c15,196927
L1-D.access-mru-3.c2,99203
L1-D.access-mru-3.c3,96325
L1-D.access-mru-3.c4,222180
L1-D.access-mru-3.c5,204289
L1-D.access-mru-3.c6,184918
L1-D.access-mru-3.c7,193761
L1-D.access-mru-3.c8,98710
L1-D.access-mru-3.c9,97843
L1-D.access-mru-3.node0,1196700
L1-D.access-mru-3.node1,1190769
L1-D.access-mru-3.total,2387469
L1-D.access-mru-4.c0,78839
L1-D.access-mru-4.c1,77828
L1-D.access-mru-4.c10,79557
L1-D.access-mru-4.c11,79005
L1-D.access-mru-4.c12,118964
L1-D.access-mru-4.c13,114160
L1-D.access-mru-4.c14,112488
L1-D.access-mru-4.c15,105827
L1-D.access-mru-4.c2,79320
L1-D.access-mru-4.c3,78118
L1-D.access-mru-4.c4,121240
L1-D.access-mru-4.c5,116230
L1-D.access-mru-4.c6,114619
L1-D.access-mru-4.c7,108338
L1-D.access-mru-4.c8,78912
L1-D.access-mru-4.c9,79576
L1-D.access-mru-4.node0,774532
L1-D.access-mru-4.node1,768489
L1-D.access-mru-4.total,1543021
L1-D.access-mru-5.c0,63722
L1-D.access-mru-5.c1,62634
L1-D.access-mru-5.c10,65756
L1-D.access-mru-5.c11,64484
L1-D.access-mru-5.c12,63015
L1-D.access-mru-5.c13,63488
L1-D.access-mru-5.c14,63677
L1-D.access-mru-5.c15,63480
L1-D.access-mru-5.c2,64475
L1-D.access-mru-5.c3,62777
L1-D.access-mru-5.c4,62863
L1-D.access-mru-5.c5,62839
L1-D.access-mru-5.c6,64102
L1-D.access-mru-5.c7,63007
L1-D.access-mru-5.c8,63864
L1-D.access-mru-5.c9,64597
L1-D.access-mru-5.node0,506419
L1-D.access-mru-5.node1,512361
L1-D.access-mru-5.total,1018780
L1-D.access-mru-6.c0,51434
L1-D.access-mru-6.c1,51468
L1-D.access-mru-6.c10,52320
L1-D.access-mru-6.c11,52248
L1-D.access-mru-6.c12,53030
L1-D.access-mru-6.c13,53800
L1-D.access-mru-6.c14,54875
L1-D.access-mru-6.c15,55141
L1-D.access-mru-6.c2,51851
L1-D.access-mru-6.c3,51688
L1-D.access-mru-6.c4,54215
L1-D.access-mru-6.c5,54509
L1-D.access-mru-6.c6,54432
L1-D.access-mru-6.c7,54369
L1-D.access-mru-6.c8,51096
L1-D.access-mru-6.c9,51113
L1-D.access-mru-6.node0,423966
L1-D.access-mru-6.node1,423623
L1-D.access-mru-6.total,847589
L1-D.access-mru-7.c0,40800
L1-D.access-mru-7.c1,40073
L1-D.access-mru-7.c10,40600
L1-D.access-mru-7.c11,41205
L1-D.access-mru-7.c12,47301
L1-D.access-mru-7.c13,47467
L1-D.access-mru-7.c14,47693
L1-D.access-mru-7.c15,47948
L1-D.access-mru-7.c2,40510
L1-D.access-mru-7.c3,40813
L1-D.access-mru-7.c4,48652
L1-D.access-mru-7.c5,48295
L1-D.access-mru-7.c6,47745
L1-D.access-mru-7.c7,48092
L1-D.access-mru-7.c8,40571
L1-D.access-mru-7.c9,40171
L1-D.access-mru-7.node0,354980
L1-D.access-mru-7.node1,352956
L1-D.access-mru-7.total,707936
L1-D.backinval-M.c0,1
L1-D.backinval-M.c1,1
L1-D.backinval-M.c10,1
L1-D.backinval-M.c12,126
L1-D.backinval-M.c13,303
L1-D.backinval-M.c14,226
L1-D.backinval-M.c15,215
L1-D.backinval-M.c3,1
L1-D.backinval-M.c4,385
L1-D.backinval-M.c5,250
L1-D.backinval-M.c6,249
L1-D.backinval-M.c7,247
L1-D.backinval-M.c8,1
L1-D.backinval-M.node0,1134
L1-D.backinval-M.node1,872
L1-D.backinval-M.total,2006
L1-D.backinval-S.c0,1
L1-D.backinval-S.c1,2
L1-D.backinval-S.c11,4
L1-D.backinval-S.c12,18
L1-D.backinval-S.c13,19
L1-D.backinval-S.c14,23
L1-D.backinval-S.c15,20
L1-D.backinval-S.c3,1
L1-D.backinval-S.c4,12
L1-D.backinval-S.c5,20
L1-D.backinval-S.c6,31
L1-D.backinval-S.c7,21
L1-D.backinval-S.node0,88
L1-D.backinval-S.node1,84
L1-D.backinval-S.total,172
L1-D.coherency-downgrades.c0,62988
L1-D.coherency-downgrades.c1,56739
L1-D.coherency-downgrades.c10,58399
L1-D.coherency-downgrades.c11,58788
L1-D.coherency-downgrades.c12,52223
L1-D.coherency-downgrades.c13,54590
L1-D.coherency-downgrades.c14,56587
L1-D.coherency-downgrades.c15,57180
L1-D.coherency-downgrades.c2,56034
L1-D.coherency-downgrades.c3,58156
L1-D.coherency-downgrades.c4,51147
L1-D.coherency-downgrades.c5,51576
L1-D.coherency-downgrades.c6,57152
L1-D.coherency-downgrades.c7,57488
L1-D.coherency-downgrades.c8,60261
L1-D.coherency-downgrades.c9,57688
L1-D.coherency-downgrades.node0,451280
L1-D.coherency-downgrades.node1,455716
L1-D.coherency-downgrades.total,906996
L1-D.coherency-invalidates.c0,29663
L1-D.coherency-invalidates.c1,28832
L1-D.coherency-invalidates.c10,30367
L1-D.coherency-invalidates.c11,30011
L1-D.coherency-invalidates.c12,27606
L1-D.coherency-invalidates.c13,28511
L1-D.coherency-invalidates.c14,31023
L1-D.coherency-invalidates.c15,31362
L1-D.coherency-invalidates.c2,27261
L1-D.coherency-invalidates.c3,30056
L1-D.coherency-invalidates.c4,27640
L1-D.coherency-invalidates.c5,27154
L1-D.coherency-invalidates.c6,30867
L1-D.coherency-invalidates.c7,32250
L1-D.coherency-invalidates.c8,28181
L1-D.coherency-invalidates.c9,28700
L1-D.coherency-invalidates.node0,233723
L1-D.coherency-invalidates.node1,235761
L1-D.coherency-invalidates.total,469484
L1-D.coherency-upgrades.c0,23
L1-D.coherency-upgrades.c1,67
L1-D.coherency-upgrades.c10,19
L1-D.coherency-upgrades.c11,21
L1-D.coherency-upgrades.c12,19
L1-D.coherency-upgrades.c13,17
L1-D.coherency-upgrades.c14,15
L1-D.coherency-upgrades.c15,7
L1-D.coherency-upgrades.c2,66
L1-D.coherency-upgrades.c3,67
L1-D.coherency-upgrades.c4,66
L1-D.coherency-upgrades.c5,65
L1-D.coherency-upgrades.c6,64
L1-D.coherency-upgrades.c7,71
L1-D.coherency-upgrades.c8,18
L1-D.coherency-upgrades.c9,20
L1-D.coherency-upgrades.node0,489
L1-D.coherency-upgrades.node1,136
L1-D.coherency-upgrades.total,625
L1-D.coherency-writebacks.c0,28002
L1-D.coherency-writebacks.c1,31958
L1-D.coherency-writebacks.c10,31046
L1-D.coherency-writebacks.c11,31058
L1-D.coherency-writebacks.c12,29078
L1-D.coherency-writebacks.c13,28490
L1-D.coherency-writebacks.c14,26988
L1-D.coherency-writebacks.c15,25801
