                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  158289780 |  127689479 |  170146538 |  128033872 |  166818536 |  167121782 |  128439743 |  129867885 |  168436345 |  128609599 |  127659750 |  168299730 |  167008602 |  128744671 |  167247474 |  126675334
  Cycles                             |  169153810 |  128323580 |  169153810 |  128323580 |  169153810 |  169153810 |  128323580 |  128323580 |  169153810 |  128323580 |  128323580 |  169153810 |  169153810 |  128323580 |  169153810 |  128323580
  IPC                                |       0.94 |       1.00 |       1.01 |       1.00 |       0.99 |       0.99 |       1.00 |       1.01 |       1.00 |       1.00 |       0.99 |       0.99 |       0.99 |       1.00 |       0.99 |       0.99
  Time (ns)                          |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900 |   58328900
  Idle time (ns)                     |    1679654 |     427062 |    1205012 |     421222 |     981863 |    1051176 |     423416 |     437892 |    1298312 |     425593 |     445081 |    1346174 |    1026474 |     428503 |    1356898 |     448723
  Idle time (%)                      |       2.9% |       0.7% |       2.1% |       0.7% |       1.7% |       1.8% |       0.7% |       0.8% |       2.2% |       0.7% |       0.8% |       2.3% |       1.8% |       0.7% |       2.3% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17016671 |    8981238 |   21143411 |    9113082 |   20200126 |   20290020 |    9238446 |    9646518 |   20683191 |    9312088 |    9041389 |   20651201 |   20283954 |    9352321 |   20352459 |    8760773
  num incorrect                      |      32081 |      15519 |      14951 |      14843 |      14663 |      14672 |      14537 |      14567 |      14219 |      14239 |      14007 |      14324 |      14150 |      13995 |      14120 |      14006
  misprediction rate                 |      0.19% |      0.17% |      0.07% |      0.16% |      0.07% |      0.07% |      0.16% |      0.15% |      0.07% |      0.15% |      0.15% |      0.07% |      0.07% |      0.15% |      0.07% |      0.16%
  mpki                               |       0.20 |       0.12 |       0.09 |       0.12 |       0.09 |       0.09 |       0.11 |       0.11 |       0.08 |       0.11 |       0.11 |       0.09 |       0.08 |       0.11 |       0.08 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13036217 |   12628131 |   12616963 |   12618272 |   12617663 |   12615780 |   12614967 |   12615009 |   12608377 |   12603255 |   12603468 |   12604527 |   12603680 |   12602415 |   12603333 |   12602031
    num misses                       |        293 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         28 |         35 |         28 |         35 |         28 |         35 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   71946886 |   66338632 |   72331247 |   66311881 |   71845240 |   71883168 |   66356690 |   66560497 |   72040960 |   66338952 |   66202666 |   72012862 |   71823407 |   66354765 |   71856914 |   66059874
    num misses                       |      40206 |      37506 |      36329 |      36323 |      36243 |      36252 |      37149 |      36247 |      36226 |      36282 |      36196 |      36226 |      36263 |      36170 |      37170 |      36131
    miss rate                        |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
