metric,value
timestamp,2026-07-01T18:03:02
workload,PR
strategy,EPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/PR_W_EPO_16TH_20260630_224009
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,13.6586
total_instructions,70680985
avg_ipc,0.2341
avg_ipc_p,0.0596
avg_ipc_e,0.4086
total_power_W,7.7922
dynamic_W,2.1789
leakage_W,5.6
dram_W,0.0133
energy_J,0.106431
node0_reads,14222
node1_reads,14146
node0_pct,50.134
dram_local,6187
dram_remote,6166
dram_remote_pct,49.915
l1d_miss_pct,1.1127
l2_miss_pct,81.6583
l3_miss_pct,10.8657
l1d_mpki,1.9698
l2_mpki,1.6085
l3_mpki,0.1748
l3_miss_count,12353
cpi_base_frac,0.7635
cpi_branch_frac,0.1734
cpi_l2_frac,0.0001
cpi_l3_frac,0.0503
cpi_dram_local_frac,0.0058
cpi_dram_remote_frac,0.0069
L1-D.access-mru-0.c0,4531061
L1-D.access-mru-0.c1,651343
L1-D.access-mru-0.c10,647353
L1-D.access-mru-0.c11,629445
L1-D.access-mru-0.c12,637754
L1-D.access-mru-0.c13,595216
L1-D.access-mru-0.c14,602380
L1-D.access-mru-0.c15,647334
L1-D.access-mru-0.c2,616046
L1-D.access-mru-0.c3,643110
L1-D.access-mru-0.c4,651365
L1-D.access-mru-0.c5,634569
L1-D.access-mru-0.c6,649099
L1-D.access-mru-0.c7,658924
L1-D.access-mru-0.c8,650119
L1-D.access-mru-0.c9,622796
L1-D.access-mru-0.node0,8991273
L1-D.access-mru-0.node1,5076641
L1-D.access-mru-0.total,14067914
L1-D.access-mru-1.c0,197136
L1-D.access-mru-1.c1,5380
L1-D.access-mru-1.c10,5310
L1-D.access-mru-1.c11,5804
L1-D.access-mru-1.c12,5855
L1-D.access-mru-1.c13,6782
L1-D.access-mru-1.c14,6600
L1-D.access-mru-1.c15,5541
L1-D.access-mru-1.c2,6285
L1-D.access-mru-1.c3,5469
L1-D.access-mru-1.c4,5313
L1-D.access-mru-1.c5,5733
L1-D.access-mru-1.c6,5599
L1-D.access-mru-1.c7,5210
L1-D.access-mru-1.c8,5611
L1-D.access-mru-1.c9,5742
L1-D.access-mru-1.node0,236737
L1-D.access-mru-1.node1,46633
L1-D.access-mru-1.total,283370
L1-D.access-mru-2.c0,78028
L1-D.access-mru-2.c1,1141
L1-D.access-mru-2.c10,1112
L1-D.access-mru-2.c11,1201
L1-D.access-mru-2.c12,1092
L1-D.access-mru-2.c13,1307
L1-D.access-mru-2.c14,1275
L1-D.access-mru-2.c15,1145
L1-D.access-mru-2.c2,1195
L1-D.access-mru-2.c3,1073
L1-D.access-mru-2.c4,1149
L1-D.access-mru-2.c5,1218
L1-D.access-mru-2.c6,1072
L1-D.access-mru-2.c7,1116
L1-D.access-mru-2.c8,1040
L1-D.access-mru-2.c9,1264
L1-D.access-mru-2.node0,86054
L1-D.access-mru-2.node1,9374
L1-D.access-mru-2.total,95428
L1-D.access-mru-3.c0,19073
L1-D.access-mru-3.c1,552
L1-D.access-mru-3.c10,510
L1-D.access-mru-3.c11,522
L1-D.access-mru-3.c12,537
L1-D.access-mru-3.c13,665
L1-D.access-mru-3.c14,495
L1-D.access-mru-3.c15,474
L1-D.access-mru-3.c2,510
L1-D.access-mru-3.c3,533
L1-D.access-mru-3.c4,547
L1-D.access-mru-3.c5,563
L1-D.access-mru-3.c6,550
L1-D.access-mru-3.c7,560
L1-D.access-mru-3.c8,566
L1-D.access-mru-3.c9,529
L1-D.access-mru-3.node0,22795
L1-D.access-mru-3.node1,4391
L1-D.access-mru-3.total,27186
L1-D.access-mru-4.c0,5361
L1-D.access-mru-4.c1,227
L1-D.access-mru-4.c10,234
L1-D.access-mru-4.c11,180
L1-D.access-mru-4.c12,210
L1-D.access-mru-4.c13,325
L1-D.access-mru-4.c14,201
L1-D.access-mru-4.c15,233
L1-D.access-mru-4.c2,190
L1-D.access-mru-4.c3,202
L1-D.access-mru-4.c4,208
L1-D.access-mru-4.c5,202
L1-D.access-mru-4.c6,205
L1-D.access-mru-4.c7,195
L1-D.access-mru-4.c8,188
L1-D.access-mru-4.c9,207
L1-D.access-mru-4.node0,6789
L1-D.access-mru-4.node1,1779
L1-D.access-mru-4.total,8568
L1-D.access-mru-5.c0,2594
L1-D.access-mru-5.c1,71
L1-D.access-mru-5.c10,51
L1-D.access-mru-5.c11,60
L1-D.access-mru-5.c12,53
L1-D.access-mru-5.c13,323
L1-D.access-mru-5.c14,48
L1-D.access-mru-5.c15,54
L1-D.access-mru-5.c2,65
L1-D.access-mru-5.c3,60
L1-D.access-mru-5.c4,66
L1-D.access-mru-5.c5,66
L1-D.access-mru-5.c6,52
L1-D.access-mru-5.c7,49
L1-D.access-mru-5.c8,55
L1-D.access-mru-5.c9,47
L1-D.access-mru-5.node0,3003
L1-D.access-mru-5.node1,711
L1-D.access-mru-5.total,3714
L1-D.access-mru-6.c0,1459
L1-D.access-mru-6.c1,36
L1-D.access-mru-6.c10,25
L1-D.access-mru-6.c11,22
L1-D.access-mru-6.c12,32
L1-D.access-mru-6.c13,158
L1-D.access-mru-6.c14,20
L1-D.access-mru-6.c15,22
L1-D.access-mru-6.c2,19
L1-D.access-mru-6.c3,39
L1-D.access-mru-6.c4,24
L1-D.access-mru-6.c5,30
L1-D.access-mru-6.c6,16
L1-D.access-mru-6.c7,37
L1-D.access-mru-6.c8,27
L1-D.access-mru-6.c9,24
L1-D.access-mru-6.node0,1651
L1-D.access-mru-6.node1,339
L1-D.access-mru-6.total,1990
L1-D.access-mru-7.c0,950
L1-D.access-mru-7.c1,47
L1-D.access-mru-7.c10,28
L1-D.access-mru-7.c11,28
L1-D.access-mru-7.c12,27
L1-D.access-mru-7.c13,43
L1-D.access-mru-7.c14,25
L1-D.access-mru-7.c15,45
L1-D.access-mru-7.c2,31
L1-D.access-mru-7.c3,44
L1-D.access-mru-7.c4,23
L1-D.access-mru-7.c5,36
L1-D.access-mru-7.c6,24
L1-D.access-mru-7.c7,47
L1-D.access-mru-7.c8,38
L1-D.access-mru-7.c9,24
L1-D.access-mru-7.node0,1190
L1-D.access-mru-7.node1,270
L1-D.access-mru-7.total,1460
L1-D.backinval-E,2
L1-D.backinval-M,104
L1-D.backinval-S,2
L1-D.coherency-downgrades.c0,1302
L1-D.coherency-downgrades.c1,804
L1-D.coherency-downgrades.c10,94
L1-D.coherency-downgrades.c11,50
L1-D.coherency-downgrades.c12,57
L1-D.coherency-downgrades.c13,59
L1-D.coherency-downgrades.c14,55
L1-D.coherency-downgrades.c15,111
L1-D.coherency-downgrades.c2,667
L1-D.coherency-downgrades.c3,564
L1-D.coherency-downgrades.c4,724
L1-D.coherency-downgrades.c5,657
L1-D.coherency-downgrades.c6,467
L1-D.coherency-downgrades.c7,532
L1-D.coherency-downgrades.c8,52
L1-D.coherency-downgrades.c9,59
L1-D.coherency-downgrades.node0,3592
L1-D.coherency-downgrades.node1,2662
L1-D.coherency-downgrades.total,6254
L1-D.coherency-invalidates.c0,88
L1-D.coherency-invalidates.c1,25
L1-D.coherency-invalidates.c10,160
L1-D.coherency-invalidates.c11,172
L1-D.coherency-invalidates.c12,173
L1-D.coherency-invalidates.c13,166
L1-D.coherency-invalidates.c14,166
L1-D.coherency-invalidates.c15,196
L1-D.coherency-invalidates.c2,27
L1-D.coherency-invalidates.c3,44
L1-D.coherency-invalidates.c4,21
L1-D.coherency-invalidates.c5,34
L1-D.coherency-invalidates.c6,25
L1-D.coherency-invalidates.c7,38
L1-D.coherency-invalidates.c8,169
L1-D.coherency-invalidates.c9,174
L1-D.coherency-invalidates.node0,859
L1-D.coherency-invalidates.node1,819
L1-D.coherency-invalidates.total,1678
L1-D.coherency-upgrades.c0,22
L1-D.coherency-upgrades.c1,111
L1-D.coherency-upgrades.c10,21
L1-D.coherency-upgrades.c11,15
L1-D.coherency-upgrades.c12,14
L1-D.coherency-upgrades.c13,21
L1-D.coherency-upgrades.c14,19
L1-D.coherency-upgrades.c15,12
L1-D.coherency-upgrades.c2,108
L1-D.coherency-upgrades.c3,106
L1-D.coherency-upgrades.c4,113
L1-D.coherency-upgrades.c5,110
L1-D.coherency-upgrades.c6,111
L1-D.coherency-upgrades.c7,108
L1-D.coherency-upgrades.c8,18
L1-D.coherency-upgrades.c9,16
L1-D.coherency-upgrades.node0,417
L1-D.coherency-upgrades.node1,508
L1-D.coherency-upgrades.total,925
L1-D.coherency-writebacks.c0,11185
L1-D.coherency-writebacks.c1,11277
L1-D.coherency-writebacks.c10,11225
L1-D.coherency-writebacks.c11,11267
L1-D.coherency-writebacks.c12,11212
L1-D.coherency-writebacks.c13,11230
L1-D.coherency-writebacks.c14,11224
L1-D.coherency-writebacks.c15,11139
L1-D.coherency-writebacks.c2,11291
L1-D.coherency-writebacks.c3,11264
L1-D.coherency-writebacks.c4,11329
L1-D.coherency-writebacks.c5,11253
L1-D.coherency-writebacks.c6,11214
L1-D.coherency-writebacks.c7,11297
L1-D.coherency-writebacks.c8,11302
L1-D.coherency-writebacks.c9,11222
L1-D.coherency-writebacks.node0,90033
L1-D.coherency-writebacks.node1,89898
L1-D.coherency-writebacks.total,179931
L1-D.evict-E.c0,13636
L1-D.evict-E.c3,3
L1-D.evict-E.c5,15
L1-D.evict-E.node0,13639
L1-D.evict-E.node1,15
L1-D.evict-E.total,13654
L1-D.evict-M.c0,15697
L1-D.evict-M.c1,1838
L1-D.evict-M.c10,1891
L1-D.evict-M.c11,2036
L1-D.evict-M.c12,2095
L1-D.evict-M.c13,2230
L1-D.evict-M.c14,2374
L1-D.evict-M.c15,1946
L1-D.evict-M.c2,2194
L1-D.evict-M.c3,1929
L1-D.evict-M.c4,2011
L1-D.evict-M.c5,2212
L1-D.evict-M.c6,2098
L1-D.evict-M.c7,1820
L1-D.evict-M.c8,1889
L1-D.evict-M.c9,2097
L1-D.evict-M.node0,29571
L1-D.evict-M.node1,16786
L1-D.evict-M.total,46357
L1-D.evict-S.c0,1272
L1-D.evict-S.c1,390
L1-D.evict-S.c10,398
L1-D.evict-S.c11,351
L1-D.evict-S.c12,354
L1-D.evict-S.c13,355
L1-D.evict-S.c14,348
L1-D.evict-S.c15,296
L1-D.evict-S.c2,384
L1-D.evict-S.c3,320
L1-D.evict-S.c4,405
L1-D.evict-S.c5,366
L1-D.evict-S.c6,329
L1-D.evict-S.c7,262
L1-D.evict-S.c8,358
L1-D.evict-S.c9,356
L1-D.evict-S.node0,3829
L1-D.evict-S.node1,2715
L1-D.evict-S.total,6544
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,28749
L1-D.load-misses-I.c1,9735
L1-D.load-misses-I.c10,9760
L1-D.load-misses-I.c11,9853
L1-D.load-misses-I.c12,9873
L1-D.load-misses-I.c13,9998
L1-D.load-misses-I.c14,10088
L1-D.load-misses-I.c15,9659
L1-D.load-misses-I.c2,10016
L1-D.load-misses-I.c3,9743
L1-D.load-misses-I.c4,9922
L1-D.load-misses-I.c5,9990
L1-D.load-misses-I.c6,9811
L1-D.load-misses-I.c7,9609
L1-D.load-misses-I.c8,9773
L1-D.load-misses-I.c9,9916
L1-D.load-misses-I.node0,97545
L1-D.load-misses-I.node1,78950
L1-D.load-misses-I.total,176495
L1-D.load-misses-S.c10,1
L1-D.load-misses-S.c11,2
L1-D.load-misses-S.c13,1
L1-D.load-misses-S.c14,2
L1-D.load-misses-S.c15,2
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c3,1
