metric,value
timestamp,2026-07-01T18:02:13
workload,SP
strategy,Scatter
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/SP_W_Scatter_16TH_20260630_224009
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13, 6, 14, 7, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,1450.8298
total_instructions,52218401460
avg_ipc,1.4244
avg_ipc_p,0.5501
avg_ipc_e,2.2988
total_power_W,21.6856
dynamic_W,15.6973
leakage_W,5.6
dram_W,0.3883
energy_J,31.462062
node0_reads,30452637
node1_reads,30432862
node0_pct,50.0162
dram_local,20385378
dram_remote,20378144
dram_remote_pct,49.9911
l1d_miss_pct,5.7054
l2_miss_pct,31.3809
l3_miss_pct,17.6808
l1d_mpki,14.0696
l2_mpki,4.4152
l3_mpki,0.7806
l3_miss_count,40763522
cpi_base_frac,0.8847
cpi_branch_frac,0.0021
cpi_l2_frac,0.0004
cpi_l3_frac,0.0564
cpi_dram_local_frac,0.0277
cpi_dram_remote_frac,0.0287
L1-D.access-mru-0.c0,1088315271
L1-D.access-mru-0.c1,1099289512
L1-D.access-mru-0.c10,972314541
L1-D.access-mru-0.c11,971503120
L1-D.access-mru-0.c12,931943640
L1-D.access-mru-0.c13,916427426
L1-D.access-mru-0.c14,911461915
L1-D.access-mru-0.c15,926847764
L1-D.access-mru-0.c2,965962148
L1-D.access-mru-0.c3,969533125
L1-D.access-mru-0.c4,902821482
L1-D.access-mru-0.c5,898904615
L1-D.access-mru-0.c6,922226267
L1-D.access-mru-0.c7,911059333
L1-D.access-mru-0.c8,979526728
L1-D.access-mru-0.c9,968680876
L1-D.access-mru-0.node0,7674571992
L1-D.access-mru-0.node1,7662245771
L1-D.access-mru-0.total,15336817763
L1-D.access-mru-1.c0,57886490
L1-D.access-mru-1.c1,57509399
L1-D.access-mru-1.c10,38365833
L1-D.access-mru-1.c11,38840604
L1-D.access-mru-1.c12,38476751
L1-D.access-mru-1.c13,42192335
L1-D.access-mru-1.c14,41824783
L1-D.access-mru-1.c15,38346311
L1-D.access-mru-1.c2,39172188
L1-D.access-mru-1.c3,38997042
L1-D.access-mru-1.c4,57433284
L1-D.access-mru-1.c5,53917345
L1-D.access-mru-1.c6,40352144
L1-D.access-mru-1.c7,48716427
L1-D.access-mru-1.c8,40600466
L1-D.access-mru-1.c9,37891305
L1-D.access-mru-1.node0,354111939
L1-D.access-mru-1.node1,356410768
L1-D.access-mru-1.total,710522707
L1-D.access-mru-2.c0,6855192
L1-D.access-mru-2.c1,6034701
L1-D.access-mru-2.c10,4050037
L1-D.access-mru-2.c11,4293477
L1-D.access-mru-2.c12,4134852
L1-D.access-mru-2.c13,4106260
L1-D.access-mru-2.c14,4404740
L1-D.access-mru-2.c15,4107314
L1-D.access-mru-2.c2,4306990
L1-D.access-mru-2.c3,4183088
L1-D.access-mru-2.c4,4542323
L1-D.access-mru-2.c5,5736114
L1-D.access-mru-2.c6,4107017
L1-D.access-mru-2.c7,5064791
