                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  112162173 |  211051348 |  257620692 |  170795794 |  206504399 |  138177087 |  113047750 |   26353844 |   20538325 |  101347231 |  238889035 |  188436570 |   96523955 |  126538571 |  149739726 |  124911443
  Cycles                             |  259444440 |  196819920 |  259444440 |  259444440 |  196819920 |  196819920 |  259444440 |  196819920 |  196819920 |  259444440 |  259444440 |  196819920 |  259444440 |  196819920 |  259444440 |  196819920
  IPC                                |       0.43 |       1.07 |       0.99 |       0.66 |       1.05 |       0.70 |       0.44 |       0.13 |       0.10 |       0.39 |       0.92 |       0.96 |       0.37 |       0.64 |       0.58 |       0.63
  Time (ns)                          |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600 |   89463600
  Idle time (ns)                     |   61034307 |   21820125 |   17458060 |   20696938 |   37956356 |   31064482 |   62115831 |   83435561 |   85836704 |   37329895 |   23915306 |    8281208 |   66570118 |   59148873 |   25160029 |   59340701
  Idle time (%)                      |      68.2% |      24.4% |      19.5% |      23.1% |      42.4% |      34.7% |      69.4% |      93.3% |      95.9% |      41.7% |      26.7% |       9.3% |      74.4% |      66.1% |      28.1% |      66.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11351120 |   24972407 |   27899561 |   10996235 |   18696603 |    4769454 |   11254407 |     210188 |      38336 |    4264279 |   26364784 |   16676922 |    9351710 |   10033555 |    9715162 |   10029168
  num incorrect                      |     411849 |    1405363 |    1420678 |     281371 |     767927 |      10156 |     470431 |       1291 |        893 |       1241 |    1294678 |     637260 |     384546 |     415441 |     226911 |     412083
  misprediction rate                 |      3.50% |      5.33% |      4.85% |      2.49% |      3.95% |      0.21% |      4.01% |      0.61% |      2.28% |      0.03% |      4.68% |      3.68% |      3.95% |      3.98% |      2.28% |      3.95%
  mpki                               |       3.67 |       6.66 |       5.51 |       1.65 |       3.72 |       0.07 |       4.16 |       0.05 |       0.04 |       0.01 |       5.42 |       3.38 |       3.98 |       3.28 |       1.52 |       3.30
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   12172176 |   24381105 |   28282833 |   14441935 |   20425176 |    9755585 |   11589213 |    1563756 |    1164592 |    7326135 |   26184221 |   18177427 |    9742793 |   11894931 |   12747587 |   11876342
    num misses                       |        126 |         48 |         50 |         50 |         51 |         45 |         44 |         42 |         42 |         39 |         50 |         45 |         48 |         43 |         47 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   52404998 |   99481453 |  115933249 |   91651760 |   89823024 |   70797803 |   50828224 |    7560445 |    4843354 |   60833488 |  110217845 |  106919292 |   43266966 |   51903057 |   84740251 |   51978072
    num misses                       |      22905 |      17722 |      15112 |       5146 |      11100 |       6745 |       7181 |        567 |        561 |       1016 |      15037 |       8430 |       4906 |       7562 |       4184 |       6005
    miss rate                        |      0.04% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.20 |       0.08 |       0.06 |       0.03 |       0.05 |       0.05 |       0.06 |       0.02 |       0.03 |       0.01 |       0.06 |       0.04 |       0.05 |       0.06 |       0.03 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      23031 |      17770 |      15162 |       5196 |      11151 |       6790 |       7225 |        609 |        603 |       1055 |      15087 |       8475 |       4954 |       7605 |       4231 |       6047
    num misses                       |      10732 |       6596 |       2270 |       1549 |       2599 |       3681 |       1028 |        531 |        512 |        849 |       2195 |       1212 |        928 |       1407 |       1275 |       1426
    miss rate                        |     46.60% |     37.12% |     14.97% |     29.81% |     23.31% |     54.21% |     14.23% |     87.19% |     84.91% |     80.47% |     14.55% |     14.30% |     18.73% |     18.50% |     30.13% |     23.58%
    mpki                             |       0.10 |       0.03 |       0.01 |       0.01 |       0.01 |       0.03 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12172176 |   24381105 |   28282833 |   14441935 |   20425176 |    9755585 |   11589213 |    1563756 |    1164592 |    7326135 |   26184221 |   18177427 |    9742793 |   11894931 |   12747587 |   11876342
    num cache misses                 |       6996 |      17201 |      14905 |       6238 |      15035 |       3202 |       6185 |        975 |       1139 |        893 |      14040 |      10412 |       4900 |       8274 |       4543 |       7934
    miss rate                        |      0.06% |      0.07% |      0.05% |      0.04% |      0.07% |      0.03% |      0.05% |      0.06% |      0.10% |      0.01% |      0.05% |      0.06% |      0.05% |      0.07% |      0.04% |      0.07%
    mpki                             |       0.06 |       0.08 |       0.06 |       0.04 |       0.07 |       0.02 |       0.05 |       0.04 |       0.06 |       0.01 |       0.06 |       0.06 |       0.05 |       0.07 |       0.03 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   52404998 |   99481453 |  115933249 |   91651760 |   89823024 |   70797803 |   50828224 |    7560445 |    4843354 |   60833488 |  110217845 |  106919292 |   43266966 |   51903057 |   84740251 |   51978072
    num cache misses                 |     850950 |    2037213 |    1504914 |     471885 |    1510164 |      87643 |     702601 |      13411 |      10813 |      45577 |    1485173 |     942804 |     592842 |     825529 |     413350 |     842102
    miss rate                        |      1.62% |      2.05% |      1.30% |      0.51% |      1.68% |      0.12% |      1.38% |      0.18% |      0.22% |      0.07% |      1.35% |      0.88% |      1.37% |      1.59% |      0.49% |      1.62%
    mpki                             |       7.59 |       9.65 |       5.84 |       2.76 |       7.31 |       0.63 |       6.22 |       0.51 |       0.53 |       0.45 |       6.22 |       5.00 |       6.14 |       6.52 |       2.76 |       6.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     921995 |    2093370 |    1521621 |     479599 |    1526892 |      96642 |     709940 |      14858 |      12380 |      47046 |    1501676 |     954688 |     598438 |     834703 |     419368 |     850885
    num cache misses                 |     203747 |     415152 |      87290 |      67846 |     126907 |      70475 |      43438 |      14075 |      11429 |      38029 |      81431 |      83020 |      38970 |      58883 |      58756 |      57096
    miss rate                        |     22.10% |     19.83% |      5.74% |     14.15% |      8.31% |     72.92% |      6.12% |     94.73% |     92.32% |     80.83% |      5.42% |      8.70% |      6.51% |      7.05% |     14.01% |      6.71%
    mpki                             |       1.82 |       1.97 |       0.34 |       0.40 |       0.61 |       0.51 |       0.38 |       0.53 |       0.56 |       0.38 |       0.34 |       0.44 |       0.40 |       0.47 |       0.39 |       0.46
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     267949 |     454392 |      90373 |      69943 |     129024 |      76283 |      44609 |      14548 |      11857 |      38625 |      84727 |      84962 |      39864 |      59833 |      60429 |      58095
    num cache misses                 |     194252 |     366938 |      53245 |      55538 |      52210 |      17962 |      37256 |      11785 |       1738 |      36481 |      60705 |      68600 |      20745 |      20989 |      50793 |      20363
    miss rate                        |     72.50% |     80.75% |     58.92% |     79.40% |     40.47% |     23.55% |     83.52% |     81.01% |     14.66% |     94.45% |     71.65% |     80.74% |     52.04% |     35.08% |     84.05% |     35.05%
    mpki                             |       1.73 |       1.74 |       0.21 |       0.33 |       0.25 |       0.13 |       0.33 |       0.45 |       0.08 |       0.36 |       0.25 |       0.36 |       0.21 |       0.17 |       0.34 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     665940 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     662298 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
