                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  171806792 |  171633597 |  153598938 |  159373357 |   47980660 |  168501882 |  161816195 |   96669517 |  163488258 |  218059445 |  214268494 |  178276356 |  129372140 |  104222676 |  105413430 |   38206412
  Cycles                             |  226334270 |  226334270 |  226334270 |  226334270 |  171701860 |  171701860 |  171701860 |  171701860 |  226334270 |  226334270 |  226334270 |  226334270 |  171701860 |  171701860 |  171701860 |  171701860
  IPC                                |       0.76 |       0.76 |       0.68 |       0.70 |       0.28 |       0.98 |       0.94 |       0.56 |       0.72 |       0.96 |       0.95 |       0.79 |       0.75 |       0.61 |       0.61 |       0.22
  Time (ns)                          |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300 |   78046300
  Idle time (ns)                     |   25129538 |   26659204 |   44170772 |   11304426 |   69342140 |    9545687 |   36070243 |   52248171 |    9649248 |   15467674 |   19900476 |   33516474 |   47286625 |   24824163 |   25551279 |   71356051
  Idle time (%)                      |      32.2% |      34.2% |      56.6% |      14.5% |      88.8% |      12.2% |      46.2% |      66.9% |      12.4% |      19.8% |      25.5% |      42.9% |      60.6% |      31.8% |      32.7% |      91.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20704688 |   20169156 |   11718580 |   10783979 |      74486 |   10914738 |   16870867 |    8876402 |   11474868 |   24228357 |   23465168 |   18665545 |   10069654 |    4255606 |    4292790 |      59795
  num incorrect                      |    1105844 |    1055396 |     478774 |     277002 |       1548 |     284510 |     682081 |     351394 |     288988 |    1302003 |    1133947 |     776209 |     407247 |       1297 |       1370 |       1253
  misprediction rate                 |      5.07% |      4.97% |      3.93% |      2.50% |      2.04% |      2.54% |      3.89% |      3.81% |      2.46% |      5.10% |      4.61% |      3.99% |      3.89% |      0.03% |      0.03% |      2.05%
  mpki                               |       6.44 |       6.15 |       3.12 |       1.74 |       0.03 |       1.69 |       4.22 |       3.64 |       1.77 |       5.97 |       5.29 |       4.35 |       3.15 |       0.01 |       0.01 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20212046 |   19642658 |   14211374 |   13639564 |    2700356 |   14206191 |   17162901 |    9734174 |   14393953 |   23995573 |   23447107 |   19057882 |   12128392 |    7481550 |    7566888 |    2150021
    num misses                       |        124 |         49 |         51 |         50 |         41 |         47 |         48 |         55 |         47 |         50 |         48 |         48 |         42 |         37 |         37 |         30
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   80008094 |   82969985 |   61943196 |   88220911 |   11225241 |   90620511 |   75735558 |   43713548 |   92420117 |   98069820 |   98901862 |   83947214 |   53133363 |   61396391 |   61966087 |    8938315
    num misses                       |      24622 |      17039 |       7537 |       4945 |       1117 |       5449 |       9545 |       8818 |       5481 |      11906 |      15452 |      10945 |       6224 |       1156 |       1065 |        933
    miss rate                        |      0.03% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.00% |      0.00% |      0.01%
