metric,value
timestamp,2026-07-12T07:49:07
workload,FT
strategy,Scatter
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/FT_W_Scatter_2TH_20260712_013602
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,113.6632
total_instructions,1611208932
avg_ipc,1.7719
avg_ipc_p,1.7726
avg_ipc_e,1.7712
total_power_W,4.1042
dynamic_W,3.5451
leakage_W,0.5
dram_W,0.0591
energy_J,0.466497
node0_reads,370288
node1_reads,404142
node0_pct,47.8143
node0_writes,172567
node1_writes,217727
dram_local,197058
dram_remote,23013
dram_remote_pct,10.4571
l1d_miss_pct,8.7702
l2_miss_pct,14.4617
l3_miss_pct,6.5283
l1d_mpki,14.4674
l2_mpki,2.0922
l3_mpki,0.1366
l3_miss_count,220071
cpi_base_frac,0.9105
cpi_branch_frac,0.0709
cpi_l2_frac,0.0
cpi_l3_frac,0.0063
cpi_dram_local_frac,0.0118
cpi_dram_remote_frac,0.0005
futex_wake_count,84
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.1042
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,206068030
L1-D.access-mru-0.c8,206811466
L1-D.access-mru-0.node0,206068030
L1-D.access-mru-0.node1,206811466
L1-D.access-mru-0.total,412879496
L1-D.access-mru-1.c0,20023782
L1-D.access-mru-1.c8,18969460
L1-D.access-mru-1.node0,20023782
L1-D.access-mru-1.node1,18969460
L1-D.access-mru-1.total,38993242
L1-D.access-mru-2.c0,1989273
L1-D.access-mru-2.c8,1967620
L1-D.access-mru-2.node0,1989273
L1-D.access-mru-2.node1,1967620
L1-D.access-mru-2.total,3956893
L1-D.access-mru-3.c0,1201128
L1-D.access-mru-3.c8,1140306
L1-D.access-mru-3.node0,1201128
L1-D.access-mru-3.node1,1140306
L1-D.access-mru-3.total,2341434
L1-D.access-mru-4.c0,2176062
L1-D.access-mru-4.c8,2242427
L1-D.access-mru-4.node0,2176062
L1-D.access-mru-4.node1,2242427
L1-D.access-mru-4.total,4418489
L1-D.access-mru-5.c0,2548075
L1-D.access-mru-5.c8,2342343
L1-D.access-mru-5.node0,2548075
L1-D.access-mru-5.node1,2342343
L1-D.access-mru-5.total,4890418
L1-D.access-mru-6.c0,161115
L1-D.access-mru-6.c8,301012
L1-D.access-mru-6.node0,161115
L1-D.access-mru-6.node1,301012
L1-D.access-mru-6.total,462127
L1-D.access-mru-7.c0,35558
L1-D.access-mru-7.c8,36091
L1-D.access-mru-7.node0,35558
L1-D.access-mru-7.node1,36091
L1-D.access-mru-7.total,71649
L1-D.backinval-M.c0,178
L1-D.backinval-M.c8,398
L1-D.backinval-M.node0,178
L1-D.backinval-M.node1,398
L1-D.backinval-M.total,576
L1-D.backinval-S.c0,457
L1-D.backinval-S.c8,458
L1-D.backinval-S.node0,457
L1-D.backinval-S.node1,458
L1-D.backinval-S.total,915
L1-D.coherency-downgrades.c0,424
L1-D.coherency-downgrades.c8,540
L1-D.coherency-downgrades.node0,424
L1-D.coherency-downgrades.node1,540
L1-D.coherency-downgrades.total,964
L1-D.coherency-invalidates.c0,49
L1-D.coherency-invalidates.c8,201
L1-D.coherency-invalidates.node0,49
L1-D.coherency-invalidates.node1,201
L1-D.coherency-invalidates.total,250
L1-D.coherency-writebacks.c0,56
L1-D.coherency-writebacks.c8,131
L1-D.coherency-writebacks.node0,56
L1-D.coherency-writebacks.node1,131
L1-D.coherency-writebacks.total,187
L1-D.evict-E.c0,147628
L1-D.evict-E.c8,101704
L1-D.evict-E.node0,147628
L1-D.evict-E.node1,101704
L1-D.evict-E.total,249332
L1-D.evict-M.c0,23830661
L1-D.evict-M.c8,23844684
L1-D.evict-M.node0,23830661
L1-D.evict-M.node1,23844684
L1-D.evict-M.total,47675345
L1-D.evict-S.c0,541950
L1-D.evict-S.c8,563265
L1-D.evict-S.node0,541950
L1-D.evict-S.node1,563265
L1-D.evict-S.total,1105215
L1-D.load-misses-E,8
L1-D.load-misses-I.c0,12145836
L1-D.load-misses-I.c8,12136469
L1-D.load-misses-I.node0,12145836
L1-D.load-misses-I.node1,12136469
L1-D.load-misses-I.total,24282305
L1-D.load-misses.c0,12145844
L1-D.load-misses.c8,12136469
L1-D.load-misses.node0,12145844
L1-D.load-misses.node1,12136469
L1-D.load-misses.total,24282313
L1-D.loads-E.c0,952999
L1-D.loads-E.c8,773541
L1-D.loads-E.node0,952999
L1-D.loads-E.node1,773541
L1-D.loads-E.total,1726540
L1-D.loads-I.c0,12145836
L1-D.loads-I.c8,12136469
L1-D.loads-I.node0,12145836
L1-D.loads-I.node1,12136469
L1-D.loads-I.total,24282305
L1-D.loads-M.c0,109014890
L1-D.loads-M.c8,108638636
L1-D.loads-M.node0,109014890
L1-D.loads-M.node1,108638636
L1-D.loads-M.total,217653526
L1-D.loads-S.c0,11382168
L1-D.loads-S.c8,11713076
L1-D.loads-S.node0,11382168
L1-D.loads-S.node1,11713076
L1-D.loads-S.total,23095244
L1-D.loads-where-L1.c0,121350049
L1-D.loads-where-L1.c8,121125253
L1-D.loads-where-L1.node0,121350049
L1-D.loads-where-L1.node1,121125253
L1-D.loads-where-L1.total,242475302
L1-D.loads-where-L2.c0,9970531
L1-D.loads-where-L2.c8,9968378
L1-D.loads-where-L2.node0,9970531
L1-D.loads-where-L2.node1,9968378
L1-D.loads-where-L2.total,19938909
L1-D.loads-where-L3.c0,1580547
L1-D.loads-where-L3.c8,1570402
L1-D.loads-where-L3.node0,1580547
L1-D.loads-where-L3.node1,1570402
L1-D.loads-where-L3.total,3150949
L1-D.loads-where-cache-remote.c0,474931
L1-D.loads-where-cache-remote.c8,497453
L1-D.loads-where-cache-remote.node0,474931
L1-D.loads-where-cache-remote.node1,497453
L1-D.loads-where-cache-remote.total,972384
L1-D.loads-where-dram-local.c0,98233
L1-D.loads-where-dram-local.c8,98825
L1-D.loads-where-dram-local.node0,98233
L1-D.loads-where-dram-local.node1,98825
L1-D.loads-where-dram-local.total,197058
L1-D.loads-where-dram-remote.c0,21602
L1-D.loads-where-dram-remote.c8,1411
L1-D.loads-where-dram-remote.node0,21602
L1-D.loads-where-dram-remote.node1,1411
L1-D.loads-where-dram-remote.total,23013
L1-D.loads.c0,133495893
L1-D.loads.c8,133261722
L1-D.loads.node0,133495893
L1-D.loads.node1,133261722
L1-D.loads.total,266757615
L1-D.store-misses-E.c0,37378
L1-D.store-misses-E.c8,52656
L1-D.store-misses-E.node0,37378
L1-D.store-misses-E.node1,52656
L1-D.store-misses-E.total,90034
L1-D.store-misses-I.c0,12375911
L1-D.store-misses-I.c8,12375133
L1-D.store-misses-I.node0,12375911
L1-D.store-misses-I.node1,12375133
L1-D.store-misses-I.total,24751044
L1-D.store-misses-S.c0,33225
L1-D.store-misses-S.c8,33113
L1-D.store-misses-S.node0,33225
L1-D.store-misses-S.node1,33113
L1-D.store-misses-S.total,66338
L1-D.store-misses.c0,12446514
L1-D.store-misses.c8,12460902
L1-D.store-misses.node0,12446514
L1-D.store-misses.node1,12460902
L1-D.store-misses.total,24907416
L1-D.stores-E.c0,37378
L1-D.stores-E.c8,52656
L1-D.stores-E.node0,37378
L1-D.stores-E.node1,52656
L1-D.stores-E.total,90034
L1-D.stores-I.c0,12375911
L1-D.stores-I.c8,12375133
L1-D.stores-I.node0,12375911
L1-D.stores-I.node1,12375133
L1-D.stores-I.total,24751044
L1-D.stores-M.c0,112852974
L1-D.stores-M.c8,112685472
L1-D.stores-M.node0,112852974
L1-D.stores-M.node1,112685472
L1-D.stores-M.total,225538446
L1-D.stores-S.c0,33225
L1-D.stores-S.c8,33113
L1-D.stores-S.node0,33225
L1-D.stores-S.node1,33113
L1-D.stores-S.total,66338
L1-D.stores-where-L1.c0,112852974
L1-D.stores-where-L1.c8,112685472
L1-D.stores-where-L1.node0,112852974
L1-D.stores-where-L1.node1,112685472
L1-D.stores-where-L1.total,225538446
L1-D.stores-where-L2.c0,11052181
L1-D.stores-where-L2.c8,11069497
