metric,value
timestamp,2026-07-13T05:32:49
workload,LU
strategy,Packed
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/LU_W_Packed_2TH_20260713_003303
cpu_map,"[0, 1]"
p_core_count,2
e_core_count,0
node0_threads,2
node1_threads,0
sim_time_ms,3101.0401
total_instructions,31183270106
avg_ipc,1.257
avg_ipc_p,1.257
avg_ipc_e,0.0
total_power_W,6.0281
dynamic_W,5.0279
leakage_W,1.0
dram_W,0.0002
energy_J,18.693398
node0_reads,113026
node1_reads,0
node0_pct,100.0
node0_writes,11
node1_writes,0
dram_local,16412
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,4.1834
l2_miss_pct,24.5736
l3_miss_pct,0.0174
l1d_mpki,12.3021
l2_mpki,3.0231
l3_mpki,0.0005
l3_miss_count,16412
cpi_base_frac,0.9728
cpi_branch_frac,0.0001
cpi_l2_frac,0.0008
cpi_l3_frac,0.0263
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2756
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.1732
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,5974040515
L1-D.access-mru-0.c1,5688804840
L1-D.access-mru-0.node0,11662845355
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,11662845355
L1-D.access-mru-1.c0,243430361
L1-D.access-mru-1.c1,221624590
L1-D.access-mru-1.node0,465054951
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,465054951
L1-D.access-mru-2.c0,44746633
L1-D.access-mru-2.c1,41911110
L1-D.access-mru-2.node0,86657743
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,86657743
L1-D.access-mru-3.c0,13874040
L1-D.access-mru-3.c1,13059223
L1-D.access-mru-3.node0,26933263
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,26933263
L1-D.access-mru-4.c0,4750812
L1-D.access-mru-4.c1,4226391
L1-D.access-mru-4.node0,8977203
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,8977203
L1-D.access-mru-5.c0,3721921
L1-D.access-mru-5.c1,3675201
L1-D.access-mru-5.node0,7397122
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7397122
L1-D.access-mru-6.c0,2760136
L1-D.access-mru-6.c1,2624792
L1-D.access-mru-6.node0,5384928
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,5384928
L1-D.access-mru-7.c0,1054489
L1-D.access-mru-7.c1,891184
L1-D.access-mru-7.node0,1945673
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,1945673
L1-D.backinval-E.c0,1370
L1-D.backinval-E.c1,303
L1-D.backinval-E.node0,1673
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,1673
L1-D.backinval-M.c0,42444
L1-D.backinval-M.c1,36076
L1-D.backinval-M.node0,78520
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,78520
L1-D.backinval-S.c0,1375
L1-D.backinval-S.c1,2133
L1-D.backinval-S.node0,3508
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,3508
L1-D.coherency-downgrades.c0,33449
L1-D.coherency-downgrades.c1,36669
L1-D.coherency-downgrades.node0,70118
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,70118
L1-D.coherency-writebacks.c0,14626
L1-D.coherency-writebacks.c1,6393
L1-D.coherency-writebacks.node0,21019
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,21019
L1-D.evict-E.c0,141003
L1-D.evict-E.c1,33278
L1-D.evict-E.node0,174281
L1-D.evict-E.node1,0
L1-D.evict-E.total,174281
L1-D.evict-M.c0,321657671
L1-D.evict-M.c1,302465590
L1-D.evict-M.node0,624123261
L1-D.evict-M.node1,0
L1-D.evict-M.total,624123261
L1-D.evict-S.c0,1159065
L1-D.evict-S.c1,376507
L1-D.evict-S.node0,1535572
L1-D.evict-S.node1,0
L1-D.evict-S.total,1535572
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,197960682
L1-D.load-misses-I.c1,185659439
L1-D.load-misses-I.node0,383620121
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,383620121
L1-D.load-misses-S,8
L1-D.load-misses.c0,197960693
L1-D.load-misses.c1,185659439
L1-D.load-misses.node0,383620132
L1-D.load-misses.node1,0
L1-D.load-misses.total,383620132
L1-D.loads-E.c0,400459807
L1-D.loads-E.c1,59280804
L1-D.loads-E.node0,459740611
L1-D.loads-E.node1,0
L1-D.loads-E.total,459740611
L1-D.loads-I.c0,197960682
L1-D.loads-I.c1,185659439
L1-D.loads-I.node0,383620121
L1-D.loads-I.node1,0
L1-D.loads-I.total,383620121
L1-D.loads-M.c0,4013251696
L1-D.loads-M.c1,3791755438
L1-D.loads-M.node0,7805007134
