metric,value
timestamp,2026-06-30T18:25:47
workload,MG
strategy,HPO
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/MG_W_HPO_2TH_20260630_175348
cpu_map,"[0, 1]"
p_core_count,2
e_core_count,0
node0_threads,2
node1_threads,0
sim_time_ms,296.4114
total_instructions,1887529117
avg_ipc,0.796
avg_ipc_p,0.796
avg_ipc_e,0.0
total_power_W,4.7727
dynamic_W,3.184
leakage_W,1.0
dram_W,0.5887
energy_J,1.414673
node0_reads,20658280
node1_reads,0
node0_pct,100.0
dram_local,14879014
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.9382
l2_miss_pct,69.9635
l3_miss_pct,60.2041
l1d_mpki,18.7147
l2_mpki,13.0935
l3_mpki,7.8828
l3_miss_count,14879014
cpi_base_frac,0.4638
cpi_branch_frac,0.0001
cpi_l2_frac,0.0
cpi_l3_frac,0.0551
cpi_dram_local_frac,0.4809
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,393780903
L1-D.access-mru-0.c1,393969826
L1-D.access-mru-0.node0,787750729
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,787750729
L1-D.access-mru-1.c0,34430616
L1-D.access-mru-1.c1,35035476
L1-D.access-mru-1.node0,69466092
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,69466092
L1-D.access-mru-2.c0,22884583
L1-D.access-mru-2.c1,22850981
L1-D.access-mru-2.node0,45735564
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,45735564
L1-D.access-mru-3.c0,23879044
L1-D.access-mru-3.c1,23743998
L1-D.access-mru-3.node0,47623042
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,47623042
L1-D.access-mru-4.c0,8401487
L1-D.access-mru-4.c1,8481304
L1-D.access-mru-4.node0,16882791
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,16882791
L1-D.access-mru-5.c0,3604927
L1-D.access-mru-5.c1,3704938
L1-D.access-mru-5.node0,7309865
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7309865
L1-D.access-mru-6.c0,5075999
L1-D.access-mru-6.c1,5048430
L1-D.access-mru-6.node0,10124429
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,10124429
L1-D.access-mru-7.c0,4249790
L1-D.access-mru-7.c1,4142862
L1-D.access-mru-7.node0,8392652
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,8392652
L1-D.backinval-E.c0,312
L1-D.backinval-E.c1,314
L1-D.backinval-E.node0,626
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,626
L1-D.backinval-M.c0,38093
L1-D.backinval-M.c1,36790
L1-D.backinval-M.node0,74883
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,74883
L1-D.backinval-S.c0,1756
L1-D.backinval-S.c1,1672
L1-D.backinval-S.node0,3428
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,3428
L1-D.coherency-downgrades.c0,4757
L1-D.coherency-downgrades.c1,5887
L1-D.coherency-downgrades.node0,10644
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,10644
L1-D.coherency-upgrades.c0,46
L1-D.coherency-upgrades.c1,214
L1-D.coherency-upgrades.node0,260
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,260
L1-D.coherency-writebacks.c0,912
L1-D.coherency-writebacks.c1,2389
L1-D.coherency-writebacks.node0,3301
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,3301
L1-D.evict-E.c0,14697718
