                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7     | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   927270562 |   942756954 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  Cycles                             |  1214231740 |  1214231740 |  1214231740 |  1214231740 |  921141320 |  921141320 |  921141320 |  921141320 |  1214231740 |  1214231740 |  1214231740 |  1214231740 |  921141320 |  921141320 |  921141320 |  921141320
  IPC                                |        0.76 |        0.78 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   418700600 |   418700600 |   418700600 |   418700600 |  418700600 |  418700600 |  418700600 |  418700600 |   418700600 |   418700600 |   418700600 |   418700600 |  418700600 |  418700600 |  418700600 |  418700600
  Idle time (ns)                     |        4386 |     1158893 |   418700600 |   418700600 |  418700600 |  418700600 |  418700600 |  418700600 |   418700600 |   418700600 |   418700600 |   418700600 |  418700600 |  418700600 |  418700600 |  418700600
  Idle time (%)                      |        0.0% |        0.3% |      100.0% |      100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      100.0% |      100.0% |      100.0% |      100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num correct                        |    44862116 |    49911082 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num incorrect                      |       87939 |       84224 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.20% |       0.17% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.09 |        0.09 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  I-TLB                              |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num accesses                     |   101122130 |   100748763 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num misses                       |         266 |          30 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
