metric,value
timestamp,2026-07-12T11:01:38
workload,canneal
strategy,AKARIN
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/canneal_W_AKARIN_2TH_20260712_013602
cpu_map,"[12, 8]"
p_core_count,1
e_core_count,1
node0_threads,0
node1_threads,2
sim_time_ms,2877.4574
total_instructions,7528958898
avg_ipc,0.8511
avg_ipc_p,0.3334
avg_ipc_e,1.3688
total_power_W,0.0211
dynamic_W,0.0
leakage_W,0.0
dram_W,0.0211
energy_J,0.060763
node0_reads,7175983
node1_reads,0
node0_pct,100.0
node0_writes,3293026
node1_writes,4034
dram_local,6308412
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.5981
l2_miss_pct,69.8932
l3_miss_pct,20.3181
l1d_mpki,5.9002
l2_mpki,4.1238
l3_mpki,0.8379
l3_miss_count,6308412
cpi_base_frac,0.6424
cpi_branch_frac,0.1226
cpi_l2_frac,0.0166
cpi_l3_frac,0.1134
cpi_dram_local_frac,0.1049
cpi_dram_remote_frac,0.0
futex_wake_count,35
futex_wait_count,1
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0097
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c12,2220799083
L1-D.access-mru-0.c8,2207428116
L1-D.access-mru-0.node0,0
L1-D.access-mru-0.node1,4428227199
L1-D.access-mru-0.total,4428227199
L1-D.access-mru-1.c12,51100340
L1-D.access-mru-1.c8,33272793
L1-D.access-mru-1.node0,0
L1-D.access-mru-1.node1,84373133
L1-D.access-mru-1.total,84373133
L1-D.access-mru-2.c12,17411265
L1-D.access-mru-2.c8,4079101
L1-D.access-mru-2.node0,0
L1-D.access-mru-2.node1,21490366
L1-D.access-mru-2.total,21490366
L1-D.access-mru-3.c12,8403061
L1-D.access-mru-3.c8,914545
L1-D.access-mru-3.node0,0
L1-D.access-mru-3.node1,9317606
L1-D.access-mru-3.total,9317606
L1-D.access-mru-4.c12,4581883
L1-D.access-mru-4.c8,229799
L1-D.access-mru-4.node0,0
L1-D.access-mru-4.node1,4811682
