metric,value
timestamp,2026-07-01T00:12:49
workload,BT
strategy,Packed
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/BT_W_Packed_4TH_20260630_224009
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,446.2491
total_instructions,20335722827
avg_ipc,2.8481
avg_ipc_p,2.8481
avg_ipc_e,0.0
total_power_W,24.7859
dynamic_W,22.7852
leakage_W,2.0
dram_W,0.0007
energy_J,11.060689
node0_reads,51529
node1_reads,0
node0_pct,100.0
dram_local,9819
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.0037
l2_miss_pct,7.6954
l3_miss_pct,0.0757
l1d_mpki,8.292
l2_mpki,0.6381
l3_mpki,0.0005
l3_miss_count,9819
cpi_base_frac,0.9572
cpi_branch_frac,0.001
cpi_l2_frac,0.0002
cpi_l3_frac,0.0414
cpi_dram_local_frac,0.0001
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,2064861740
L1-D.access-mru-0.c1,2065477216
L1-D.access-mru-0.c2,1874682651
L1-D.access-mru-0.c3,1873265410
L1-D.access-mru-0.node0,7878287017
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,7878287017
L1-D.access-mru-1.c0,146715042
L1-D.access-mru-1.c1,147383355
L1-D.access-mru-1.c2,122966066
L1-D.access-mru-1.c3,122933166
L1-D.access-mru-1.node0,539997629
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,539997629
L1-D.access-mru-2.c0,10867256
L1-D.access-mru-2.c1,11270564
L1-D.access-mru-2.c2,9383052
L1-D.access-mru-2.c3,9347509
L1-D.access-mru-2.node0,40868381
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,40868381
L1-D.access-mru-3.c0,2828700
L1-D.access-mru-3.c1,2707193
L1-D.access-mru-3.c2,2251709
L1-D.access-mru-3.c3,2248630
L1-D.access-mru-3.node0,10036232
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,10036232
L1-D.access-mru-4.c0,1830243
L1-D.access-mru-4.c1,1835282
L1-D.access-mru-4.c2,1525925
L1-D.access-mru-4.c3,1527404
L1-D.access-mru-4.node0,6718854
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,6718854
L1-D.access-mru-5.c0,2132322
L1-D.access-mru-5.c1,2093621
L1-D.access-mru-5.c2,1745231
L1-D.access-mru-5.c3,1753467
L1-D.access-mru-5.node0,7724641
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7724641
L1-D.access-mru-6.c0,3020078
L1-D.access-mru-6.c1,2984496
L1-D.access-mru-6.c2,2498898
L1-D.access-mru-6.c3,2477731
L1-D.access-mru-6.node0,10981203
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,10981203
L1-D.access-mru-7.c0,4441016
L1-D.access-mru-7.c1,4536573
L1-D.access-mru-7.c2,3779475
L1-D.access-mru-7.c3,3813423
L1-D.access-mru-7.node0,16570487
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,16570487
L1-D.backinval-E,401
L1-D.backinval-M.c0,608
L1-D.backinval-M.c1,1413
L1-D.backinval-M.c2,202
L1-D.backinval-M.c3,605
L1-D.backinval-M.node0,2828
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,2828
L1-D.backinval-S.c0,201
L1-D.backinval-S.c1,202
L1-D.backinval-S.c3,201
L1-D.backinval-S.node0,604
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,604
L1-D.coherency-downgrades.c0,16322
L1-D.coherency-downgrades.c1,7301
L1-D.coherency-downgrades.c2,72890
L1-D.coherency-downgrades.c3,53419
L1-D.coherency-downgrades.node0,149932
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,149932
L1-D.coherency-invalidates.c0,6
L1-D.coherency-invalidates.c1,1533
L1-D.coherency-invalidates.c2,2298
L1-D.coherency-invalidates.c3,2027
L1-D.coherency-invalidates.node0,5864
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,5864
L1-D.coherency-writebacks.c0,787
L1-D.coherency-writebacks.c1,5850
L1-D.coherency-writebacks.c2,5932
L1-D.coherency-writebacks.c3,6349
L1-D.coherency-writebacks.node0,18918
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,18918
L1-D.evict-E.c0,73936
L1-D.evict-E.c1,36144
L1-D.evict-E.c2,2994
L1-D.evict-E.c3,10036
L1-D.evict-E.node0,123110
L1-D.evict-E.node1,0
L1-D.evict-E.total,123110
L1-D.evict-M.c0,75521490
L1-D.evict-M.c1,75089588
