metric,value
timestamp,2026-06-30T23:00:50
workload,CG
strategy,HPO
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/CG_W_HPO_4TH_20260630_224009
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,191.5422
total_instructions,2168917936
avg_ipc,0.7077
avg_ipc_p,0.7077
avg_ipc_e,0.0
total_power_W,9.1011
dynamic_W,5.6617
leakage_W,2.0
dram_W,1.4394
energy_J,1.743251
node0_reads,41800941
node1_reads,0
node0_pct,100.0
dram_local,41382548
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,27.0308
l2_miss_pct,21.5191
l3_miss_pct,93.9456
l1d_mpki,94.3786
l2_mpki,20.3094
l3_mpki,19.0798
l3_miss_count,41382548
cpi_base_frac,0.3797
cpi_branch_frac,0.0101
cpi_l2_frac,0.0001
cpi_l3_frac,0.0093
cpi_dram_local_frac,0.6008
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,125774381
L1-D.access-mru-0.c1,133110061
L1-D.access-mru-0.c2,124700517
L1-D.access-mru-0.c3,125740412
L1-D.access-mru-0.node0,509325371
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,509325371
L1-D.access-mru-1.c0,8117675
L1-D.access-mru-1.c1,7985263
L1-D.access-mru-1.c2,8072407
L1-D.access-mru-1.c3,8067915
L1-D.access-mru-1.node0,32243260
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,32243260
L1-D.access-mru-2.c0,2096861
L1-D.access-mru-2.c1,2060161
L1-D.access-mru-2.c2,2045699
L1-D.access-mru-2.c3,2026358
L1-D.access-mru-2.node0,8229079
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,8229079
L1-D.access-mru-3.c0,2107595
L1-D.access-mru-3.c1,2063998
L1-D.access-mru-3.c2,2070458
L1-D.access-mru-3.c3,2090323
L1-D.access-mru-3.node0,8332374
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,8332374
L1-D.access-mru-4.c0,1989633
L1-D.access-mru-4.c1,1975637
L1-D.access-mru-4.c2,1967714
L1-D.access-mru-4.c3,1987073
L1-D.access-mru-4.node0,7920057
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,7920057
L1-D.access-mru-5.c0,1841640
L1-D.access-mru-5.c1,1777970
L1-D.access-mru-5.c2,1837374
L1-D.access-mru-5.c3,1822135
L1-D.access-mru-5.node0,7279119
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7279119
L1-D.access-mru-6.c0,1717189
L1-D.access-mru-6.c1,1642277
L1-D.access-mru-6.c2,1669842
L1-D.access-mru-6.c3,1686138
L1-D.access-mru-6.node0,6715446
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,6715446
L1-D.access-mru-7.c0,1600257
L1-D.access-mru-7.c1,1606958
L1-D.access-mru-7.c2,1632862
L1-D.access-mru-7.c3,1652727
L1-D.access-mru-7.node0,6492804
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,6492804
L1-D.backinval-E.c0,303
L1-D.backinval-E.c1,232
L1-D.backinval-E.c2,246
L1-D.backinval-E.c3,196
L1-D.backinval-E.node0,977
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,977
L1-D.backinval-M.c0,17970
L1-D.backinval-M.c1,19363
L1-D.backinval-M.c2,19416
L1-D.backinval-M.c3,20327
L1-D.backinval-M.node0,77076
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,77076
L1-D.backinval-S.c0,64613
L1-D.backinval-S.c1,65899
L1-D.backinval-S.c2,64682
L1-D.backinval-S.c3,65856
L1-D.backinval-S.node0,261050
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,261050
L1-D.coherency-downgrades.c0,431169
L1-D.coherency-downgrades.c1,418358
L1-D.coherency-downgrades.c2,417808
L1-D.coherency-downgrades.c3,413288
L1-D.coherency-downgrades.node0,1680623
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,1680623
L1-D.coherency-invalidates.c0,223
L1-D.coherency-invalidates.c1,612
L1-D.coherency-invalidates.c2,625
L1-D.coherency-invalidates.c3,590
L1-D.coherency-invalidates.node0,2050
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,2050
L1-D.coherency-upgrades.c0,837
L1-D.coherency-upgrades.c1,522
L1-D.coherency-upgrades.c2,517
L1-D.coherency-upgrades.c3,520
L1-D.coherency-upgrades.node0,2396
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,2396
L1-D.coherency-writebacks.c0,2054
L1-D.coherency-writebacks.c1,2342
L1-D.coherency-writebacks.c2,1784
L1-D.coherency-writebacks.c3,2613
L1-D.coherency-writebacks.node0,8793
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,8793
L1-D.evict-E.c0,13080555
L1-D.evict-E.c1,12499158
L1-D.evict-E.c2,12756143
L1-D.evict-E.c3,12670139
L1-D.evict-E.node0,51005995
L1-D.evict-E.node1,0
L1-D.evict-E.total,51005995
L1-D.evict-M.c0,9058897
L1-D.evict-M.c1,8774962
L1-D.evict-M.c2,8285724
L1-D.evict-M.c3,8130730
L1-D.evict-M.node0,34250313
L1-D.evict-M.node1,0
L1-D.evict-M.total,34250313
L1-D.evict-S.c0,29550607
L1-D.evict-S.c1,29395257
