metric,value
timestamp,2026-06-30T23:50:50
workload,FT
strategy,EPO
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/FT_W_EPO_4TH_20260630_224009
cpu_map,"[4, 5, 6, 7]"
p_core_count,0
e_core_count,4
node0_threads,4
node1_threads,0
sim_time_ms,149.254
total_instructions,1685596643
avg_ipc,2.8234
avg_ipc_p,0.0
avg_ipc_e,2.8234
total_power_W,5.4761
dynamic_W,4.2351
leakage_W,0.8
dram_W,0.441
energy_J,0.817328
node0_reads,6338301
node1_reads,0
node0_pct,100.0
dram_local,4336812
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,10.9466
l2_miss_pct,14.3591
l3_miss_pct,95.0202
l1d_mpki,18.857
l2_mpki,2.7077
l3_mpki,2.5729
l3_miss_count,4336812
cpi_base_frac,0.8367
cpi_branch_frac,0.0217
cpi_l2_frac,0.0
cpi_l3_frac,0.0019
cpi_dram_local_frac,0.1398
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,111047213
L1-D.access-mru-0.c1,110966807
L1-D.access-mru-0.c2,110828097
L1-D.access-mru-0.c3,111006145
L1-D.access-mru-0.node0,443848262
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,443848262
L1-D.access-mru-1.c0,10245793
L1-D.access-mru-1.c1,10678062
L1-D.access-mru-1.c2,10678764
L1-D.access-mru-1.c3,10676248
L1-D.access-mru-1.node0,42278867
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,42278867
L1-D.access-mru-2.c0,398848
L1-D.access-mru-2.c1,403409
L1-D.access-mru-2.c2,403439
L1-D.access-mru-2.c3,403283
L1-D.access-mru-2.node0,1608979
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,1608979
L1-D.access-mru-3.c0,164577
L1-D.access-mru-3.c1,146281
L1-D.access-mru-3.c2,146201
L1-D.access-mru-3.c3,145264
L1-D.access-mru-3.node0,602323
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,602323
L1-D.access-mru-4.c0,1521790
L1-D.access-mru-4.c1,1510330
L1-D.access-mru-4.c2,1510332
L1-D.access-mru-4.c3,1512322
L1-D.access-mru-4.node0,6054774
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,6054774
L1-D.access-mru-5.c0,106537
L1-D.access-mru-5.c1,104906
L1-D.access-mru-5.c2,104897
L1-D.access-mru-5.c3,105153
L1-D.access-mru-5.node0,421493
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,421493
L1-D.access-mru-6.c0,58781
L1-D.access-mru-6.c1,59668
L1-D.access-mru-6.c2,59672
L1-D.access-mru-6.c3,59812
L1-D.access-mru-6.node0,237933
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,237933
L1-D.access-mru-7.c0,232511
L1-D.access-mru-7.c1,221222
L1-D.access-mru-7.c2,220561
L1-D.access-mru-7.c3,218622
L1-D.access-mru-7.node0,892916
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,892916
L1-D.backinval-E.c0,131
L1-D.backinval-E.c1,43
L1-D.backinval-E.c2,53
L1-D.backinval-E.c3,37
L1-D.backinval-E.node0,264
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,264
L1-D.backinval-M.c0,8670
L1-D.backinval-M.c1,7724
L1-D.backinval-M.c2,11445
L1-D.backinval-M.c3,7860
L1-D.backinval-M.node0,35699
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,35699
L1-D.backinval-S.c0,692
L1-D.backinval-S.c1,849
L1-D.backinval-S.c2,711
L1-D.backinval-S.c3,822
L1-D.backinval-S.node0,3074
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,3074
L1-D.coherency-downgrades.c0,12211
L1-D.coherency-downgrades.c1,15410
L1-D.coherency-downgrades.c2,22359
L1-D.coherency-downgrades.c3,18738
L1-D.coherency-downgrades.node0,68718
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,68718
L1-D.coherency-invalidates.c0,8
L1-D.coherency-invalidates.c1,74
L1-D.coherency-invalidates.c2,75
L1-D.coherency-invalidates.c3,51
L1-D.coherency-invalidates.node0,208
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,208
L1-D.coherency-upgrades.c0,25
L1-D.coherency-upgrades.c1,148
L1-D.coherency-upgrades.c2,143
L1-D.coherency-upgrades.c3,140
L1-D.coherency-upgrades.node0,456
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,456
L1-D.coherency-writebacks.c0,39
L1-D.coherency-writebacks.c1,176
L1-D.coherency-writebacks.c2,166
L1-D.coherency-writebacks.c3,187
L1-D.coherency-writebacks.node0,568
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,568
L1-D.evict-E.c0,938971
L1-D.evict-E.c1,902607
L1-D.evict-E.c2,903655
L1-D.evict-E.c3,908867
L1-D.evict-E.node0,3654100
L1-D.evict-E.node1,0
L1-D.evict-E.total,3654100
L1-D.evict-M.c0,14787117
L1-D.evict-M.c1,14809426
L1-D.evict-M.c2,14796635
L1-D.evict-M.c3,14808839
L1-D.evict-M.node0,59202017
L1-D.evict-M.node1,0
L1-D.evict-M.total,59202017
L1-D.evict-S.c0,59228
L1-D.evict-S.c1,76085
L1-D.evict-S.c2,84221
L1-D.evict-S.c3,71988
L1-D.evict-S.node0,291522
L1-D.evict-S.node1,0
L1-D.evict-S.total,291522
L1-D.load-misses-E,61
L1-D.load-misses-I.c0,7948468
L1-D.load-misses-I.c1,7945712
L1-D.load-misses-I.c2,7945453
L1-D.load-misses-I.c3,7945641
L1-D.load-misses-I.node0,31785274
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,31785274
L1-D.load-misses-S.c1,1
L1-D.load-misses-S.c3,2
L1-D.load-misses-S.node0,3
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,3
L1-D.load-misses.c0,7948529
L1-D.load-misses.c1,7945713
L1-D.load-misses.c2,7945453
L1-D.load-misses.c3,7945643
L1-D.load-misses.node0,31785338
L1-D.load-misses.node1,0
L1-D.load-misses.total,31785338
