metric,value
timestamp,2026-06-30T22:47:09
workload,FT
strategy,Packed
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/FT_W_Packed_4TH_20260630_224009
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,48.3929
total_instructions,1702339064
avg_ipc,2.1986
avg_ipc_p,2.1986
avg_ipc_e,0.0
total_power_W,20.9618
dynamic_W,17.5887
leakage_W,2.0
dram_W,1.373
energy_J,1.0144
node0_reads,6395723
node1_reads,0
node0_pct,100.0
dram_local,4349353
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,10.8447
l2_miss_pct,14.1108
l3_miss_pct,96.9511
l1d_mpki,18.6756
l2_mpki,2.6353
l3_mpki,2.5549
l3_miss_count,4349353
cpi_base_frac,0.667
cpi_branch_frac,0.019
cpi_l2_frac,0.0
cpi_l3_frac,0.0037
cpi_dram_local_frac,0.3103
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,110471136
L1-D.access-mru-0.c1,111144508
L1-D.access-mru-0.c2,111265845
L1-D.access-mru-0.c3,111152423
L1-D.access-mru-0.node0,444033912
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,444033912
L1-D.access-mru-1.c0,10724354
L1-D.access-mru-1.c1,11074756
L1-D.access-mru-1.c2,11075041
L1-D.access-mru-1.c3,11071492
L1-D.access-mru-1.node0,43945643
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,43945643
L1-D.access-mru-2.c0,1095914
L1-D.access-mru-2.c1,457557
L1-D.access-mru-2.c2,457570
L1-D.access-mru-2.c3,458839
L1-D.access-mru-2.node0,2469880
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,2469880
L1-D.access-mru-3.c0,220725
L1-D.access-mru-3.c1,146425
L1-D.access-mru-3.c2,146408
L1-D.access-mru-3.c3,146481
L1-D.access-mru-3.node0,660039
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,660039
L1-D.access-mru-4.c0,1395230
L1-D.access-mru-4.c1,1510708
L1-D.access-mru-4.c2,1510379
L1-D.access-mru-4.c3,1510813
L1-D.access-mru-4.node0,5927130
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,5927130
L1-D.access-mru-5.c0,241668
L1-D.access-mru-5.c1,106762
L1-D.access-mru-5.c2,106793
L1-D.access-mru-5.c3,106803
L1-D.access-mru-5.node0,562026
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,562026
L1-D.access-mru-6.c0,70344
L1-D.access-mru-6.c1,60926
L1-D.access-mru-6.c2,60821
L1-D.access-mru-6.c3,61223
L1-D.access-mru-6.node0,253314
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,253314
L1-D.access-mru-7.c0,210399
L1-D.access-mru-7.c1,222096
L1-D.access-mru-7.c2,221931
L1-D.access-mru-7.c3,220876
L1-D.access-mru-7.node0,875302
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,875302
L1-D.backinval-E.c0,115
L1-D.backinval-E.c1,68
L1-D.backinval-E.c2,50
L1-D.backinval-E.c3,47
L1-D.backinval-E.node0,280
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,280
L1-D.backinval-M.c0,11213
L1-D.backinval-M.c1,9627
L1-D.backinval-M.c2,9422
L1-D.backinval-M.c3,9091
L1-D.backinval-M.node0,39353
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,39353
L1-D.backinval-S.c0,295
L1-D.backinval-S.c1,341
L1-D.backinval-S.c2,330
L1-D.backinval-S.c3,371
L1-D.backinval-S.node0,1337
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,1337
L1-D.coherency-downgrades.c0,4310
L1-D.coherency-downgrades.c1,4887
L1-D.coherency-downgrades.c2,4550
L1-D.coherency-downgrades.c3,4295
L1-D.coherency-downgrades.node0,18042
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,18042
L1-D.coherency-invalidates.c0,11
L1-D.coherency-invalidates.c1,57
L1-D.coherency-invalidates.c2,54
L1-D.coherency-invalidates.c3,47
L1-D.coherency-invalidates.node0,169
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,169
L1-D.coherency-upgrades.c0,38
L1-D.coherency-upgrades.c1,117
L1-D.coherency-upgrades.c2,121
L1-D.coherency-upgrades.c3,129
L1-D.coherency-upgrades.node0,405
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,405
L1-D.coherency-writebacks.c0,59
L1-D.coherency-writebacks.c1,140
L1-D.coherency-writebacks.c2,168
L1-D.coherency-writebacks.c3,182
L1-D.coherency-writebacks.node0,549
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,549
L1-D.evict-E.c0,925533
L1-D.evict-E.c1,916419
L1-D.evict-E.c2,910172
L1-D.evict-E.c3,911007
L1-D.evict-E.node0,3663131
L1-D.evict-E.node1,0
L1-D.evict-E.total,3663131
L1-D.evict-M.c0,14799151
L1-D.evict-M.c1,14789712
L1-D.evict-M.c2,14789690
L1-D.evict-M.c3,14798469
L1-D.evict-M.node0,59177022
L1-D.evict-M.node1,0
L1-D.evict-M.total,59177022
L1-D.evict-S.c0,80321
L1-D.evict-S.c1,76089
L1-D.evict-S.c2,82951
L1-D.evict-S.c3,74959
L1-D.evict-S.node0,314320
L1-D.evict-S.node1,0
L1-D.evict-S.total,314320
L1-D.load-misses-E,61
L1-D.load-misses-I.c0,7961806
L1-D.load-misses-I.c1,7943409
L1-D.load-misses-I.c2,7943420
L1-D.load-misses-I.c3,7943526
L1-D.load-misses-I.node0,31792161
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,31792161
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.node0,2
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,2
L1-D.load-misses.c0,7961868
L1-D.load-misses.c1,7943409
L1-D.load-misses.c2,7943421
L1-D.load-misses.c3,7943526
L1-D.load-misses.node0,31792224
L1-D.load-misses.node1,0
L1-D.load-misses.total,31792224
L1-D.loads-E.c0,8137567
L1-D.loads-E.c1,7180745
L1-D.loads-E.c2,8112905
L1-D.loads-E.c3,8362601
L1-D.loads-E.node0,31793818
L1-D.loads-E.node1,0
L1-D.loads-E.total,31793818
L1-D.loads-I.c0,7961806
L1-D.loads-I.c1,7943409
L1-D.loads-I.c2,7943420
L1-D.loads-I.c3,7943526
L1-D.loads-I.node0,31792161
L1-D.loads-I.node1,0
L1-D.loads-I.total,31792161
L1-D.loads-M.c0,53189321
L1-D.loads-M.c1,53007494
L1-D.loads-M.c2,52860152
L1-D.loads-M.c3,53127593
L1-D.loads-M.node0,212184560
L1-D.loads-M.node1,0
L1-D.loads-M.total,212184560
L1-D.loads-S.c0,3673194
L1-D.loads-S.c1,5224329
L1-D.loads-S.c2,4560890
L1-D.loads-S.c3,3929302
L1-D.loads-S.node0,17387715
L1-D.loads-S.node1,0
L1-D.loads-S.total,17387715
L1-D.loads-where-L1.c0,65000020
L1-D.loads-where-L1.c1,65412568
L1-D.loads-where-L1.c2,65533946
L1-D.loads-where-L1.c3,65419496
L1-D.loads-where-L1.node0,261366030
L1-D.loads-where-L1.node1,0
