                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  149147561 |  148599574 |  149960230 |  148281883
  Cycles                             |  213166000 |  213166000 |  213166000 |  213166000
  IPC                                |       0.70 |       0.70 |       0.70 |       0.70
  Time (ns)                          |   53291500 |   53291500 |   53291500 |   53291500
  Idle time (ns)                     |       2269 |     498203 |     803586 |     806538
  Idle time (%)                      |       0.0% |       0.9% |       1.5% |       1.5%
Branch predictor stats               |            |            |            |           
  num correct                        |   13127196 |   13008549 |   13475498 |   12893382
  num incorrect                      |       4758 |       3242 |       3402 |       4300
  misprediction rate                 |      0.04% |      0.02% |      0.03% |      0.03%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20637705 |   20621821 |   20611631 |   20702126
    num misses                       |        116 |         24 |         24 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   53996547 |   53805805 |   53996395 |   53766327
    num misses                       |    2592817 |    2569004 |    2566616 |    2565998
    miss rate                        |      4.80% |      4.77% |      4.75% |      4.77%
    mpki                             |      17.38 |      17.29 |      17.12 |      17.30
  L2 TLB                             |            |            |            |           
    num accesses                     |    2592933 |    2569028 |    2566640 |    2566022
    num misses                       |    1050168 |    1050905 |    1047889 |    1044431
    miss rate                        |     40.50% |     40.91% |     40.83% |     40.70%
    mpki                             |       7.04 |       7.07 |       6.99 |       7.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20637705 |   20621821 |   20611631 |   20702126
    num cache misses                 |       5425 |       1496 |       1461 |       1642
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   53996547 |   53805805 |   53996395 |   53766327
    num cache misses                 |    2853976 |    2848320 |    2839678 |    2838653
    miss rate                        |      5.29% |      5.29% |      5.26% |      5.28%
    mpki                             |      19.14 |      19.17 |      18.94 |      19.14
  Cache L2                           |            |            |            |           
    num cache accesses               |    2990680 |    2985216 |    2970616 |    2976263
    num cache misses                 |     991480 |     981677 |     975527 |     971177
    miss rate                        |     33.15% |     32.88% |     32.84% |     32.63%
    mpki                             |       6.65 |       6.61 |       6.51 |       6.55
  Cache L3                           |            |            |            |           
    num cache accesses               |    1122781 |    1117078 |    1105004 |    1107145
    num cache misses                 |     765723 |     760984 |     756617 |     752512
    miss rate                        |     68.20% |     68.12% |     68.47% |     67.97%
    mpki                             |       5.13 |       5.12 |       5.05 |       5.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4032716 |          0 |          0 |          0
  average dram access latency (ns)   |    1311.47 |        inf |        inf |        inf
  average dram queueing delay        |    1250.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |     528701 |     525150 |     521520 |     508664
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
