metric,value
timestamp,2026-07-01T00:15:02
workload,TC
strategy,EPO
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/TC_W_EPO_4TH_20260630_224009
cpu_map,"[4, 5, 6, 7]"
p_core_count,0
e_core_count,4
node0_threads,4
node1_threads,0
sim_time_ms,16.3837
total_instructions,38478680
avg_ipc,0.5872
avg_ipc_p,0.0
avg_ipc_e,0.5872
total_power_W,1.6915
dynamic_W,0.8807
leakage_W,0.8
dram_W,0.0107
energy_J,0.027713
node0_reads,27193
node1_reads,0
node0_pct,100.0
dram_local,14554
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.0469
l2_miss_pct,81.6361
l3_miss_pct,12.1192
l1d_mpki,3.823
l2_mpki,3.1209
l3_mpki,0.3782
l3_miss_count,14554
cpi_base_frac,0.5525
cpi_branch_frac,0.2161
cpi_l2_frac,0.0001
cpi_l3_frac,0.2116
cpi_dram_local_frac,0.0197
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,5151164
L1-D.access-mru-0.c1,1239699
L1-D.access-mru-0.c2,1220566
L1-D.access-mru-0.c3,1138276
L1-D.access-mru-0.node0,8749705
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,8749705
L1-D.access-mru-1.c0,200567
L1-D.access-mru-1.c1,24103
L1-D.access-mru-1.c2,24612
L1-D.access-mru-1.c3,27792
L1-D.access-mru-1.node0,277074
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,277074
L1-D.access-mru-2.c0,80195
L1-D.access-mru-2.c1,5841
L1-D.access-mru-2.c2,6171
L1-D.access-mru-2.c3,6338
L1-D.access-mru-2.node0,98545
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,98545
L1-D.access-mru-3.c0,18570
L1-D.access-mru-3.c1,2877
L1-D.access-mru-3.c2,2988
L1-D.access-mru-3.c3,3192
L1-D.access-mru-3.node0,27627
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,27627
L1-D.access-mru-4.c0,5709
L1-D.access-mru-4.c1,1409
L1-D.access-mru-4.c2,1596
L1-D.access-mru-4.c3,1899
L1-D.access-mru-4.node0,10613
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,10613
L1-D.access-mru-5.c0,3021
L1-D.access-mru-5.c1,653
L1-D.access-mru-5.c2,855
L1-D.access-mru-5.c3,1020
L1-D.access-mru-5.node0,5549
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,5549
