                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   23072364 |    5567027 |    5370765 |    4468067
  Cycles                             |   16383700 |   16383700 |   16383700 |   16383700
  IPC                                |       1.41 |       0.34 |       0.33 |       0.27
  Time (ns)                          |   16383700 |   16383700 |   16383700 |   16383700
  Idle time (ns)                     |       1252 |   12119715 |   12120503 |   12120447
  Idle time (%)                      |       0.0% |      74.0% |      74.0% |      74.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2772757 |    1581643 |    1495130 |    1101457
  num incorrect                      |     177580 |      24835 |      26980 |      40433
  misprediction rate                 |      6.02% |      1.55% |      1.77% |      3.54%
  mpki                               |       7.70 |       4.46 |       5.02 |       9.05
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2618225 |     168029 |     185242 |     259023
    num misses                       |        180 |         31 |         48 |         48
    miss rate                        |      0.01% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    5537310 |    1321428 |    1304232 |    1227641
    num misses                       |       3840 |       1536 |       1607 |       1537
    miss rate                        |      0.07% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.17 |       0.28 |       0.30 |       0.34
  L2 TLB                             |            |            |            |           
    num accesses                     |       4020 |       1567 |       1655 |       1585
    num misses                       |        700 |        224 |        244 |        252
    miss rate                        |     17.41% |     14.29% |     14.74% |     15.90%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2618225 |     168029 |     185242 |     259023
    num cache misses                 |       3374 |        216 |        444 |        496
    miss rate                        |      0.13% |      0.13% |      0.24% |      0.19%
    mpki                             |       0.15 |       0.04 |       0.08 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5537310 |    1321428 |    1304232 |    1227641
    num cache misses                 |      72897 |      46024 |      46617 |      48128
    miss rate                        |      1.32% |      3.48% |      3.57% |      3.92%
    mpki                             |       3.16 |       8.27 |       8.68 |      10.77
  Cache L2                           |            |            |            |           
    num cache accesses               |      78401 |      46247 |      47064 |      48636
    num cache misses                 |      61867 |      40552 |      41274 |      41619
    miss rate                        |     78.91% |     87.69% |     87.70% |     85.57%
    mpki                             |       2.68 |       7.28 |       7.68 |       9.31
  Cache L3                           |            |            |            |           
    num cache accesses               |      64201 |      40579 |      41309 |      41635
    num cache misses                 |      20533 |       2022 |       2205 |       2480
    miss rate                        |     31.98% |      4.98% |      5.34% |      5.96%
    mpki                             |       0.89 |       0.36 |       0.41 |       0.56
DRAM summary                         |            |            |            |           
  num dram accesses                  |      27193 |          0 |          0 |          0
  average dram access latency (ns)   |      61.34 |        inf |        inf |        inf
  average dram queueing delay        |       0.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      11185 |       1044 |       1142 |       1183
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
