                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   21971936 |    4754211 |    4478406 |    4565012 |    5547927 |    5051175
  Cycles                             |   14924000 |   14924000 |   14924000 |   14924000 |   14924000 |   14924000
  IPC                                |       1.47 |       0.32 |       0.30 |       0.31 |       0.37 |       0.34
  Time (ns)                          |   14924000 |   14924000 |   14924000 |   14924000 |   14924000 |   14924000
  Idle time (ns)                     |       1386 |   12005773 |   12006652 |   12006897 |   12007031 |   12007197
  Idle time (%)                      |       0.0% |      80.4% |      80.5% |      80.5% |      80.5% |      80.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2502547 |    1424983 |    1310145 |    1345905 |    1640778 |    1433639
  num incorrect                      |     168136 |      13757 |      17681 |      16488 |      22025 |      29331
  misprediction rate                 |      6.30% |      0.96% |      1.33% |      1.21% |      1.32% |      2.00%
  mpki                               |       7.65 |       2.89 |       3.95 |       3.61 |       3.97 |       5.81
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3388825 |     125503 |     148598 |     143786 |     176115 |     217245
    num misses                       |        170 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5224881 |    1037477 |    1010712 |    1019406 |    1210103 |    1158761
    num misses                       |       3650 |       1241 |       1310 |       1291 |       1302 |       1306
    miss rate                        |      0.07% |      0.12% |      0.13% |      0.13% |      0.11% |      0.11%
    mpki                             |       0.17 |       0.26 |       0.29 |       0.28 |       0.23 |       0.26
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       3820 |       1269 |       1336 |       1317 |       1328 |       1332
    num misses                       |        698 |        184 |        203 |        195 |        189 |        192
    miss rate                        |     18.27% |     14.50% |     15.19% |     14.81% |     14.23% |     14.41%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.04 |       0.03 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3388825 |     125503 |     148598 |     143786 |     176115 |     217245
    num cache misses                 |       3262 |        187 |        177 |        175 |        174 |        176
    miss rate                        |      0.10% |      0.15% |      0.12% |      0.12% |      0.10% |      0.08%
    mpki                             |       0.15 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5224881 |    1037477 |    1010712 |    1019406 |    1210103 |    1158761
    num cache misses                 |      59898 |      32738 |      33087 |      32925 |      31731 |      31901
    miss rate                        |      1.15% |      3.16% |      3.27% |      3.23% |      2.62% |      2.75%
    mpki                             |       2.73 |       6.89 |       7.39 |       7.21 |       5.72 |       6.32
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65518 |      33019 |      33410 |      33224 |      33209 |      33534
    num cache misses                 |      50895 |      29563 |      29795 |      29656 |      28348 |      28427
    miss rate                        |     77.68% |     89.53% |     89.18% |     89.26% |     85.36% |     84.77%
    mpki                             |       2.32 |       6.22 |       6.65 |       6.50 |       5.11 |       5.63
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      53529 |      29682 |      29974 |      29810 |      29655 |      29885
    num cache misses                 |      29487 |      10506 |      10534 |      10589 |      21129 |      21053
    miss rate                        |     55.09% |     35.40% |     35.14% |     35.52% |     71.25% |     70.45%
    mpki                             |       1.34 |       2.21 |       2.35 |       2.32 |       3.81 |       4.17
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13585 |          0 |          0 |          0 |      13528 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10694 |        429 |        416 |        390 |        213 |        209
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3241 |       3125 |       3098 |       3159 |       5024 |       5100
