                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   21983869 |    4907122 |    4622170 |    4691798 |    4306985 |    3826589
  Cycles                             |   17192400 |   17192400 |   17192400 |   17192400 |   17192400 |   17192400
  IPC                                |       1.28 |       0.29 |       0.27 |       0.27 |       0.25 |       0.22
  Time (ns)                          |    4298100 |    4298100 |    4298100 |    4298100 |    4298100 |    4298100
  Idle time (ns)                     |       1561 |    3417684 |    3418026 |    3418098 |    3418165 |    3417858
  Idle time (%)                      |       0.0% |      79.5% |      79.5% |      79.5% |      79.5% |      79.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2507130 |    1474941 |    1357011 |    1388437 |    1226617 |    1024072
  num incorrect                      |     168467 |      13746 |      17453 |      16543 |      22036 |      28632
  misprediction rate                 |      6.30% |      0.92% |      1.27% |      1.18% |      1.76% |      2.72%
  mpki                               |       7.66 |       2.80 |       3.78 |       3.53 |       5.12 |       7.48
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3385695 |     127805 |     151496 |     144447 |     174745 |     223218
    num misses                       |        174 |         26 |         26 |         26 |         26 |         28
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5227344 |    1063040 |    1034437 |    1040576 |    1003047 |     954338
    num misses                       |       3203 |       1338 |       1332 |       1420 |       1344 |       1259
    miss rate                        |      0.06% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13%
    mpki                             |       0.15 |       0.27 |       0.29 |       0.30 |       0.31 |       0.33
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       3377 |       1364 |       1358 |       1446 |       1370 |       1287
    num misses                       |        701 |        207 |        205 |        203 |        212 |        187
    miss rate                        |     20.76% |     15.18% |     15.10% |     14.04% |     15.47% |     14.53%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3385695 |     127805 |     151496 |     144447 |     174745 |     223218
    num cache misses                 |       2777 |        172 |        173 |        173 |        173 |        180
    miss rate                        |      0.08% |      0.13% |      0.11% |      0.12% |      0.10% |      0.08%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5227344 |    1063040 |    1034437 |    1040576 |    1003047 |     954338
    num cache misses                 |      60268 |      33162 |      33438 |      33462 |      33631 |      33773
    miss rate                        |      1.15% |      3.12% |      3.23% |      3.22% |      3.35% |      3.54%
    mpki                             |       2.74 |       6.76 |       7.23 |       7.13 |       7.81 |       8.83
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65649 |      33612 |      33922 |      34640 |      34893 |      35118
    num cache misses                 |      49162 |      30082 |      30259 |      30278 |      30380 |      30492
    miss rate                        |     74.89% |     89.50% |     89.20% |     87.41% |     87.07% |     86.83%
    mpki                             |       2.24 |       6.13 |       6.55 |       6.45 |       7.05 |       7.97
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      52049 |      30385 |      30600 |      31310 |      31474 |      31659
    num cache misses                 |      36994 |      17868 |      17963 |      19133 |      19135 |      19075
    miss rate                        |     71.08% |     58.81% |     58.70% |     61.11% |     60.80% |     60.25%
    mpki                             |       1.68 |       3.64 |       3.89 |       4.08 |       4.44 |       4.98
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13598 |          0 |          0 |      13538 |          0 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |      61.42 |        inf |        inf
  average dram queueing delay        |       0.21 |       0.00 |       0.00 |       0.17 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10564 |        325 |        392 |        260 |        261 |        242
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4893 |       4657 |       4605 |       5703 |       5733 |       5761
