                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  3397768261 |  3407470678 |  3409485286 |  3410749618 |  3207787283 |  3230327502
  Cycles                             |  4647121200 |  4647121200 |  4647121200 |  4647121200 |  1161780300 |  1161780300
  IPC                                |        0.73 |        0.73 |        0.73 |        0.73 |        2.76 |        2.78
  Time (ns)                          |  1161780300 |  1161780300 |  1161780300 |  1161780300 |  1161780300 |  1161780300
  Idle time (ns)                     |         572 |      502696 |      507003 |      511015 |      514871 |      518740
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |    31226499 |    34913421 |    35586001 |    36007234 |   238952022 |   246465872
  num incorrect                      |       64572 |       53462 |       53647 |       53255 |       44771 |       45136
  misprediction rate                 |       0.21% |       0.15% |       0.15% |       0.15% |       0.02% |       0.02%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   315252961 |   314954114 |   314953923 |   314953923 |   237626556 |   237626555
    num misses                       |         286 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |  1548866424 |  1549705724 |  1550039381 |  1550251108 |  1275435013 |  1279190299
    num misses                       |     1849982 |     1949426 |     1888691 |     1864785 |     1435517 |     1422263
    miss rate                        |       0.12% |       0.13% |       0.12% |       0.12% |       0.11% |       0.11%
    mpki                             |        0.54 |        0.57 |        0.55 |        0.55 |        0.45 |        0.44
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |     1850268 |     1949464 |     1888729 |     1864823 |     1435555 |     1422301
    num misses                       |       44606 |       51285 |       40612 |       44345 |       32960 |       40819
    miss rate                        |       2.41% |       2.63% |       2.15% |       2.38% |       2.30% |       2.87%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   315252961 |   314954114 |   314953923 |   314953923 |   237626556 |   237626555
    num cache misses                 |      270096 |      204309 |      213253 |      219882 |      263379 |      263176
    miss rate                        |       0.09% |       0.06% |       0.07% |       0.07% |       0.11% |       0.11%
    mpki                             |        0.08 |        0.06 |        0.06 |        0.06 |        0.08 |        0.08
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |  1548866424 |  1549705724 |  1550039381 |  1550251108 |  1275435013 |  1279190299
    num cache misses                 |    51943445 |    51755405 |    51754544 |    51762425 |    39417300 |    39359541
    miss rate                        |       3.35% |       3.34% |       3.34% |       3.34% |       3.09% |       3.08%
    mpki                             |       15.29 |       15.19 |       15.18 |       15.18 |       12.29 |       12.18
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |    52492302 |    52256658 |    52261207 |    52349891 |    39733943 |    39656195
    num cache misses                 |     2406259 |     2139302 |     2132243 |     2352653 |     4217507 |     4285846
    miss rate                        |       4.58% |       4.09% |       4.08% |       4.49% |      10.61% |      10.81%
    mpki                             |        0.71 |        0.63 |        0.63 |        0.69 |        1.31 |        1.33
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |     2849623 |     2633241 |     2632134 |     2914631 |     4271991 |     4324634
    num cache misses                 |       19767 |        6667 |        6653 |        6623 |        6536 |        6519
    miss rate                        |       0.69% |       0.25% |       0.25% |       0.23% |       0.15% |       0.15%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |       52526 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       64.38 |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        3.13 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |        6752 |         180 |         169 |         168 |        1310 |        1209
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0
