metric,value
timestamp,2026-07-02T04:44:03
workload,lavaMD
strategy,MPO
bench_class,W
num_threads,6
output_dir,Outputs/sizeW/6TH/lavaMD_W_MPO_6TH_20260702_031742
cpu_map,"[0, 8, 1, 9, 2, 10]"
p_core_count,6
e_core_count,0
node0_threads,3
node1_threads,3
sim_time_ms,0.1783
total_instructions,353586
avg_ipc,0.4955
avg_ipc_p,0.4955
avg_ipc_e,0.0
total_power_W,1.8065
dynamic_W,0.991
leakage_W,0.5
dram_W,0.3155
energy_J,0.000322
node0_reads,4422
node1_reads,4367
node0_pct,50.3129
dram_local,3083
dram_remote,3069
dram_remote_pct,49.8862
l1d_miss_pct,7.7277
l2_miss_pct,79.6845
l3_miss_pct,99.8377
l1d_mpki,21.8702
l2_mpki,17.4272
l3_mpki,17.3989
l3_miss_count,6152
cpi_base_frac,0.2692
cpi_branch_frac,0.1974
cpi_l2_frac,0.0001
cpi_l3_frac,0.0004
cpi_dram_local_frac,0.2183
cpi_dram_remote_frac,0.3146
futex_wake_count,1
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.8298
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0,111742
L1-D.access-mru-1,18496
L1-D.access-mru-2,3247
L1-D.access-mru-3,1711
L1-D.access-mru-4,911
L1-D.access-mru-5,555
L1-D.access-mru-6,381
L1-D.access-mru-7,274
L1-D.evict-E,5070
L1-D.evict-M,4062
L1-D.load-misses,7733
L1-D.load-misses-I,7733
L1-D.loads,100069
L1-D.loads-E,47783
L1-D.loads-I,7733
L1-D.loads-M,44553
L1-D.loads-where-L1,92336
L1-D.loads-where-L2,1571
L1-D.loads-where-L3,10
L1-D.loads-where-dram-local,3083
L1-D.loads-where-dram-remote,3069
L1-D.store-misses,3530
L1-D.store-misses-E,1875
L1-D.store-misses-I,1655
L1-D.stores,48511
L1-D.stores-E,1875
L1-D.stores-I,1655
L1-D.stores-M,44981
L1-D.stores-where-L1,44981
L1-D.stores-where-L2,125
L1-D.stores-where-L3,3405
L1-D.total-latency,534149687210
L1-I.access-mru-0,39335
L1-I.access-mru-1,1221
L1-I.access-mru-2,236
L1-I.access-mru-3,49
L1-I.backinval-E,87
L1-I.coherency-downgrades,1
L1-I.evict-E,580
L1-I.load-misses,1157
L1-I.load-misses-I,1157
L1-I.loads,41998
L1-I.loads-E,40840
L1-I.loads-I,1157
L1-I.loads-S,1
L1-I.loads-where-L1I,40841
L1-I.loads-where-L2,29
L1-I.loads-where-L3,11
L1-I.loads-where-dram-local,563
L1-I.loads-where-dram-remote,554
L1-I.total-latency,76737828700
L2.access-mru-0,722
L2.access-mru-1,476
L2.access-mru-2,164
L2.access-mru-3,56
L2.access-mru-4,149
L2.access-mru-5,76
L2.access-mru-6,54
L2.access-mru-7,28
L2.evict-E,790
L2.evict-M,215
L2.load-misses,7290
L2.load-misses-I,7290
L2.loads,8890
L2.loads-E,836
L2.loads-I,7290
L2.loads-M,764
L2.store-misses,3405
L2.store-misses-E,1883
L2.store-misses-I,1522
L2.stores,3530
L2.stores-E,1883
L2.stores-I,1522
L2.stores-M,125
L3.access-mru-2,10
L3.access-mru-3,6
L3.access-mru-4,7
L3.load-misses,7269
L3.load-misses-I,7269
L3.loads,7290
L3.loads-E,18
L3.loads-I,7269
L3.loads-M,3
L3.store-misses,3403
L3.store-misses-E,1883
L3.store-misses-I,1520
L3.store-overlapping-misses,27
L3.stores,3405
L3.stores-E,1883
L3.stores-I,1520
L3.stores-M,2
L3.uncore-requests,8789
L3.uncore-time-dram-bus,10996972580
L3.uncore-time-dram-device,527340000000
L3.uncore-time-dram-queue,1643512080
L3.uncore-time-noc-base,7505781250
L3.uncore-time-td-access,21972500000
L3.uncore-totaltime,569458765910
barrier.global_time,178300000000
branch_predictor.num-correct,52674
branch_predictor.num-incorrect,3454
bus-queue.num-requests,8734
bus-queue.requests-out-of-order,3462
core.bbv-0,10752696792
core.bbv-1,11435320354
core.bbv-10,12040284078
core.bbv-11,11038030856
core.bbv-12,10735991556
core.bbv-13,12238291286
core.bbv-14,11557259176
core.bbv-15,11949510138
core.bbv-2,12007712364
core.bbv-3,12489795766
core.bbv-4,10941882770
core.bbv-5,11564504852
core.bbv-6,12084169878
core.bbv-7,11962630680
core.bbv-8,12362743546
core.bbv-9,11714974548
core.instructions,353586
directory.entries-allocated.c0,62624
directory.entries-allocated.c3,61712
directory.entries-allocated.node0,62624
directory.entries-allocated.node1,61712
directory.entries-allocated.total,124336
dram-queue.num-requests.c0,4422
dram-queue.num-requests.c3,4367
dram-queue.num-requests.node0,4422
dram-queue.num-requests.node1,4367
dram-queue.num-requests.total,8789
dram-queue.total-queue-delay.c0,952207900
dram-queue.total-queue-delay.c3,691304180
dram-queue.total-queue-delay.node0,952207900
dram-queue.total-queue-delay.node1,691304180
dram-queue.total-queue-delay.total,1643512080
