metric,value
timestamp,2026-07-07T03:50:13
workload,BT
strategy,EPO
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/BT_W_EPO_8TH_20260706_200005
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,0
e_core_count,8
node0_threads,4
node1_threads,4
sim_time_ms,448.0087
total_instructions,20331847027
avg_ipc,5.6728
avg_ipc_p,0.0
avg_ipc_e,5.6728
total_power_W,13.6008
dynamic_W,12.0
leakage_W,1.6
dram_W,0.0008
energy_J,6.093261
node0_reads,26770
node1_reads,26748
node0_pct,50.0206
node0_writes,2
node1_writes,9
dram_local,3851
dram_remote,3867
dram_remote_pct,50.1037
l1d_miss_pct,1.1226
l2_miss_pct,11.2259
l3_miss_pct,0.1092
l1d_mpki,3.0974
l2_mpki,0.3477
l3_mpki,0.0004
l3_miss_count,7718
cpi_base_frac,0.9795
cpi_branch_frac,0.0009
cpi_l2_frac,0.0002
cpi_l3_frac,0.0194
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2840
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.125
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1076112959
L1-D.access-mru-0.c1,1073313884
L1-D.access-mru-0.c2,1073782860
L1-D.access-mru-0.c3,1075539525
L1-D.access-mru-0.c4,1074126303
L1-D.access-mru-0.c5,1073985283
L1-D.access-mru-0.c6,859760833
L1-D.access-mru-0.c7,858901812
L1-D.access-mru-0.node0,4298749228
L1-D.access-mru-0.node1,3866774231
L1-D.access-mru-0.total,8165523459
L1-D.access-mru-1.c0,37836666
L1-D.access-mru-1.c1,40784345
L1-D.access-mru-1.c2,40427673
L1-D.access-mru-1.c3,40367719
L1-D.access-mru-1.c4,40691369
L1-D.access-mru-1.c5,40496552
L1-D.access-mru-1.c6,26916359
L1-D.access-mru-1.c7,27063405
L1-D.access-mru-1.node0,159416403
L1-D.access-mru-1.node1,135167685
L1-D.access-mru-1.total,294584088
L1-D.access-mru-2.c0,3684416
L1-D.access-mru-2.c1,3356605
L1-D.access-mru-2.c2,3409598
L1-D.access-mru-2.c3,3397411
L1-D.access-mru-2.c4,3341593
L1-D.access-mru-2.c5,3366130
L1-D.access-mru-2.c6,2326399
L1-D.access-mru-2.c7,2217647
L1-D.access-mru-2.node0,13848030
L1-D.access-mru-2.node1,11251769
L1-D.access-mru-2.total,25099799
L1-D.access-mru-3.c0,5029682
L1-D.access-mru-3.c1,4682126
L1-D.access-mru-3.c2,4654204
L1-D.access-mru-3.c3,4590597
L1-D.access-mru-3.c4,4658023
L1-D.access-mru-3.c5,4671038
L1-D.access-mru-3.c6,3063277
L1-D.access-mru-3.c7,3137993
L1-D.access-mru-3.node0,18956609
L1-D.access-mru-3.node1,15530331
L1-D.access-mru-3.total,34486940
L1-D.access-mru-4.c0,6382087
L1-D.access-mru-4.c1,6825715
L1-D.access-mru-4.c2,6757340
L1-D.access-mru-4.c3,6844269
L1-D.access-mru-4.c4,6837726
L1-D.access-mru-4.c5,6734952
L1-D.access-mru-4.c6,4545625
L1-D.access-mru-4.c7,4541860
L1-D.access-mru-4.node0,26809411
L1-D.access-mru-4.node1,22660163
L1-D.access-mru-4.total,49469574
L1-D.access-mru-5.c0,7304398
L1-D.access-mru-5.c1,6820038
L1-D.access-mru-5.c2,6824349
L1-D.access-mru-5.c3,6857925
L1-D.access-mru-5.c4,6859179
L1-D.access-mru-5.c5,6851068
L1-D.access-mru-5.c6,4579541
L1-D.access-mru-5.c7,4483819
L1-D.access-mru-5.node0,27806710
L1-D.access-mru-5.node1,22773607
L1-D.access-mru-5.total,50580317
L1-D.access-mru-6.c0,5559374
L1-D.access-mru-6.c1,6170370
L1-D.access-mru-6.c2,6297216
L1-D.access-mru-6.c3,6181781
L1-D.access-mru-6.c4,6155082
L1-D.access-mru-6.c5,6292442
L1-D.access-mru-6.c6,4085940
L1-D.access-mru-6.c7,4177537
L1-D.access-mru-6.node0,24208741
L1-D.access-mru-6.node1,20711001
L1-D.access-mru-6.total,44919742
L1-D.access-mru-7.c0,4845249
L1-D.access-mru-7.c1,4530722
L1-D.access-mru-7.c2,4529487
L1-D.access-mru-7.c3,4490938
L1-D.access-mru-7.c4,4513288
L1-D.access-mru-7.c5,4466202
L1-D.access-mru-7.c6,2945876
L1-D.access-mru-7.c7,3014988
L1-D.access-mru-7.node0,18396396
L1-D.access-mru-7.node1,14940354
L1-D.access-mru-7.total,33336750
L1-D.backinval-M.c0,1609
L1-D.backinval-M.c1,808
L1-D.backinval-M.c2,1307
L1-D.backinval-M.c3,202
L1-D.backinval-M.c4,402
L1-D.backinval-M.c5,403
L1-D.backinval-M.c6,202
L1-D.backinval-M.c7,202
L1-D.backinval-M.node0,3926
L1-D.backinval-M.node1,1209
L1-D.backinval-M.total,5135
L1-D.coherency-downgrades.c0,67842
L1-D.coherency-downgrades.c1,16089
L1-D.coherency-downgrades.c2,185206
L1-D.coherency-downgrades.c3,82168
L1-D.coherency-downgrades.c4,122610
L1-D.coherency-downgrades.c5,132995
L1-D.coherency-downgrades.c6,224360
L1-D.coherency-downgrades.c7,78345
L1-D.coherency-downgrades.node0,351305
L1-D.coherency-downgrades.node1,558310
L1-D.coherency-downgrades.total,909615
L1-D.coherency-invalidates.c0,16834
L1-D.coherency-invalidates.c1,11391
L1-D.coherency-invalidates.c2,8272
L1-D.coherency-invalidates.c3,6406
L1-D.coherency-invalidates.c4,3473
L1-D.coherency-invalidates.c5,4378
L1-D.coherency-invalidates.c6,4744
L1-D.coherency-invalidates.c7,4766
L1-D.coherency-invalidates.node0,42903
L1-D.coherency-invalidates.node1,17361
L1-D.coherency-invalidates.total,60264
L1-D.coherency-upgrades.c0,638
L1-D.coherency-upgrades.c1,2497
L1-D.coherency-upgrades.c2,2307
L1-D.coherency-upgrades.c3,2740
L1-D.coherency-upgrades.c4,694
L1-D.coherency-upgrades.c5,216
L1-D.coherency-upgrades.c6,910
L1-D.coherency-upgrades.c7,906
L1-D.coherency-upgrades.node0,8182
L1-D.coherency-upgrades.node1,2726
L1-D.coherency-upgrades.total,10908
L1-D.coherency-writebacks.c0,2071
L1-D.coherency-writebacks.c1,2906
L1-D.coherency-writebacks.c2,3084
L1-D.coherency-writebacks.c3,3485
L1-D.coherency-writebacks.c4,7177
L1-D.coherency-writebacks.c5,6664
L1-D.coherency-writebacks.c6,7697
L1-D.coherency-writebacks.c7,4321
L1-D.coherency-writebacks.node0,11546
L1-D.coherency-writebacks.node1,25859
L1-D.coherency-writebacks.total,37405
L1-D.evict-E.c0,6138
L1-D.evict-E.c1,19
L1-D.evict-E.node0,6157
L1-D.evict-E.node1,0
L1-D.evict-E.total,6157
L1-D.evict-M.c0,11191834
L1-D.evict-M.c1,10716233
L1-D.evict-M.c2,10225025
L1-D.evict-M.c3,9553790
L1-D.evict-M.c4,9986116
L1-D.evict-M.c5,10161687
L1-D.evict-M.c6,7072431
L1-D.evict-M.c7,7510563
L1-D.evict-M.node0,41686882
L1-D.evict-M.node1,34730797
L1-D.evict-M.total,76417679
L1-D.evict-S.c0,2200952
L1-D.evict-S.c1,2635234
L1-D.evict-S.c2,2668957
L1-D.evict-S.c3,3419728
L1-D.evict-S.c4,2986808
L1-D.evict-S.c5,2798270
L1-D.evict-S.c6,2227743
L1-D.evict-S.c7,1698949
L1-D.evict-S.node0,10924871
L1-D.evict-S.node1,9711770
L1-D.evict-S.total,20636641
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,9250911
L1-D.load-misses-I.c1,9192530
L1-D.load-misses-I.c2,8795971
L1-D.load-misses-I.c3,8790483
L1-D.load-misses-I.c4,8813702
L1-D.load-misses-I.c5,8815790
L1-D.load-misses-I.c6,6283573
L1-D.load-misses-I.c7,6264295
L1-D.load-misses-I.node0,36029895
L1-D.load-misses-I.node1,30177360
L1-D.load-misses-I.total,66207255
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c1,3
L1-D.load-misses-S.c2,3
L1-D.load-misses-S.c3,6
L1-D.load-misses-S.c4,1
L1-D.load-misses-S.c5,1
L1-D.load-misses-S.c6,1
