                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2524139867 |  2528770384 |  2547335221 |  2553858787 |  2545722853 |  2553646679 |  2536154179 |  2529830255
  Cycles                             |   847592860 |   847592860 |   847592860 |   847592860 |   847592860 |   847592860 |   847592860 |   847592860
  IPC                                |        2.98 |        2.98 |        3.01 |        3.01 |        3.00 |        3.01 |        2.99 |        2.98
  Time (ns)                          |   292273400 |   292273400 |   292273400 |   292273400 |   292273400 |   292273400 |   292273400 |   292273400
  Idle time (ns)                     |         311 |      258282 |      259835 |      261203 |      262534 |      263815 |      265183 |      266470
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    12429563 |    14474801 |    24317727 |    26492240 |    23780173 |    26421208 |   291190239 |   289086502
  num incorrect                      |       55220 |       45503 |       41186 |       41302 |       40362 |       40719 |       32838 |       28598
  misprediction rate                 |       0.44% |       0.31% |       0.17% |       0.16% |       0.17% |       0.15% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   237288156 |   236970771 |   235978559 |   235978558 |   235978593 |   235978582 |   158651337 |   158651337
    num misses                       |         261 |          38 |          38 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1160520246 |  1160406424 |  1160062281 |  1161149356 |  1159795039 |  1161115526 |   917208436 |   916154452
    num misses                       |     1421088 |     1442326 |     1400094 |     1423886 |     1376550 |     1396378 |      944226 |      915596
    miss rate                        |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.10% |       0.10%
    mpki                             |        0.56 |        0.57 |        0.55 |        0.56 |        0.54 |        0.55 |        0.37 |        0.36
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1421349 |     1442364 |     1400132 |     1423924 |     1376588 |     1396416 |      944264 |      915634
    num misses                       |       32847 |       45345 |       34967 |       31141 |       28936 |       30744 |       24005 |       28632
    miss rate                        |       2.31% |       3.14% |       2.50% |       2.19% |       2.10% |       2.20% |       2.54% |       3.13%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   237288156 |   236970771 |   235978559 |   235978558 |   235978593 |   235978582 |   158651337 |   158651337
    num cache misses                 |      231360 |      186168 |      186009 |      185963 |      186207 |      186204 |      184761 |      184761
    miss rate                        |       0.10% |       0.08% |       0.08% |       0.08% |       0.08% |       0.08% |       0.12% |       0.12%
    mpki                             |        0.09 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1160520246 |  1160406424 |  1160062281 |  1161149356 |  1159795039 |  1161115526 |   917208436 |   916154452
    num cache misses                 |     8131376 |     8017525 |     7644824 |     7692329 |     7689496 |     7665884 |     5755917 |     5639903
    miss rate                        |       0.70% |       0.69% |       0.66% |       0.66% |       0.66% |       0.66% |       0.63% |       0.62%
    mpki                             |        3.22 |        3.17 |        3.00 |        3.01 |        3.02 |        3.00 |        2.27 |        2.23
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8757094 |     8653004 |     8279730 |     8337534 |     8204966 |     8320126 |     6360938 |     6157092
    num cache misses                 |     1260224 |     1246137 |     1142418 |     1012192 |     1152532 |     1163858 |      888657 |      955747
    miss rate                        |      14.39% |      14.40% |      13.80% |      12.14% |      14.05% |      13.99% |      13.97% |      15.52%
    mpki                             |        0.50 |        0.49 |        0.45 |        0.40 |        0.45 |        0.46 |        0.35 |        0.38
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     1887407 |     2050198 |     1947168 |     1827488 |     1800465 |     1984332 |     1724670 |     1563576
    num cache misses                 |      427600 |      318193 |      318505 |      702829 |      561816 |      386395 |      261615 |      372852
    miss rate                        |      22.66% |      15.52% |      16.36% |      38.46% |      31.20% |      19.47% |      15.17% |      23.85%
    mpki                             |        0.17 |        0.13 |        0.13 |        0.28 |        0.22 |        0.15 |        0.10 |        0.15
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       26770 |           0 |           0 |           0 |       26748 |           0 |           0 |           0
  average dram access latency (ns)   |      528.74 |         inf |         inf |         inf |      529.70 |         inf |         inf |         inf
  average dram queueing delay        |      467.49 |        0.00 |        0.00 |        0.00 |      468.45 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6692 |         203 |         198 |         194 |           5 |         188 |         200 |          33
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      372631 |      312773 |      313178 |      696797 |      509161 |      379575 |      254812 |      330636
