                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   21609461 |    3836290 |    3901486 |    4130218 |    3911619 |    4006414 |    3400080 |    3533550
  Cycles                             |   16736400 |   16736400 |   16736400 |   16736400 |   16736400 |   16736400 |   16736400 |   16736400
  IPC                                |       1.29 |       0.23 |       0.23 |       0.25 |       0.23 |       0.24 |       0.20 |       0.21
  Time (ns)                          |    4184100 |    4184100 |    4184100 |    4184100 |    4184100 |    4184100 |    4184100 |    4184100
  Idle time (ns)                     |       1288 |    3465456 |    3465850 |    3465942 |    3465918 |    3465989 |    3466090 |    3466117
  Idle time (%)                      |       0.0% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8% |      82.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2447642 |    1128786 |    1158371 |    1252859 |    1160955 |    1199907 |     946846 |    1004281
  num incorrect                      |     164675 |      15090 |      14063 |      11134 |      14120 |      13037 |      21330 |      19342
  misprediction rate                 |      6.30% |      1.32% |      1.20% |      0.88% |      1.20% |      1.07% |      2.20% |      1.89%
  mpki                               |       7.62 |       3.93 |       3.60 |       2.70 |       3.61 |       3.25 |       6.27 |       5.47
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2810727 |     131443 |     125088 |     104949 |     126537 |     116700 |     172633 |     159797
    num misses                       |        171 |         26 |         26 |         26 |         26 |         26 |         24 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5081807 |     846220 |     852289 |     875686 |     855107 |     863995 |     801530 |     816719
    num misses                       |       2715 |        989 |        925 |        901 |        956 |        988 |        915 |        946
    miss rate                        |      0.05% |      0.12% |      0.11% |      0.10% |      0.11% |      0.11% |      0.11% |      0.12%
    mpki                             |       0.13 |       0.26 |       0.24 |       0.22 |       0.24 |       0.25 |       0.27 |       0.27
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2886 |       1015 |        951 |        927 |        982 |       1014 |        939 |        972
    num misses                       |        671 |        176 |        178 |        176 |        178 |        172 |        171 |        171
    miss rate                        |     23.25% |     17.34% |     18.72% |     18.99% |     18.13% |     16.96% |     18.21% |     17.59%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2810727 |     131443 |     125088 |     104949 |     126537 |     116700 |     172633 |     159797
    num cache misses                 |       2758 |        172 |        171 |        172 |        169 |        169 |        164 |        169
    miss rate                        |      0.10% |      0.13% |      0.14% |      0.16% |      0.13% |      0.14% |      0.09% |      0.11%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5081807 |     846220 |     852289 |     875686 |     855107 |     863995 |     801530 |     816719
    num cache misses                 |      52882 |      26199 |      26198 |      25968 |      26114 |      25973 |      26246 |      26337
    miss rate                        |      1.04% |      3.10% |      3.07% |      2.97% |      3.05% |      3.01% |      3.27% |      3.22%
    mpki                             |       2.45 |       6.83 |       6.71 |       6.29 |       6.68 |       6.48 |       7.72 |       7.45
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58076 |      26632 |      26605 |      26339 |      27074 |      26892 |      27292 |      27355
    num cache misses                 |      42721 |      23882 |      23898 |      23732 |      23875 |      23765 |      23967 |      24000
    miss rate                        |     73.56% |     89.67% |     89.83% |     90.10% |     88.18% |     88.37% |     87.82% |     87.74%
    mpki                             |       1.98 |       6.23 |       6.13 |       5.75 |       6.10 |       5.93 |       7.05 |       6.79
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      45509 |      24165 |      24151 |      23954 |      24681 |      24518 |      24851 |      24851
    num cache misses                 |      32447 |      13628 |      13424 |      13391 |      14578 |      14123 |      14391 |      14365
    miss rate                        |     71.30% |     56.40% |     55.58% |     55.90% |     59.07% |     57.60% |     57.91% |     57.80%
    mpki                             |       1.50 |       3.55 |       3.44 |       3.24 |       3.73 |       3.53 |       4.23 |       4.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13666 |          0 |          0 |          0 |      13624 |          0 |          0 |          0
  average dram access latency (ns)   |      61.50 |        inf |        inf |        inf |      61.47 |        inf |        inf |        inf
  average dram queueing delay        |       0.24 |       0.00 |       0.00 |       0.00 |       0.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10525 |        267 |        280 |        279 |        208 |        215 |        205 |        184
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3881 |       3756 |       3767 |       3744 |       4613 |       4482 |       4726 |       4549
