                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  315535318 |  310249155 |  311128805 |  311326123 |  266457009 |          0 |          0 |          0 |  314607736 |          0 |          0 |          0 |  264026620 |  267589661 |          0 |          0
  Cycles                             |  264681550 |  264681550 |  264681550 |  264681550 |  200792900 |  200792900 |  200792900 |  200792900 |  264681550 |  264681550 |  264681550 |  264681550 |  200792900 |  200792900 |  200792900 |  200792900
  IPC                                |       1.19 |       1.17 |       1.18 |       1.18 |       1.33 |       0.00 |       0.00 |       0.00 |       1.19 |       0.00 |       0.00 |       0.00 |       1.31 |       1.33 |       0.00 |       0.00
  Time (ns)                          |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500 |   91269500
  Idle time (ns)                     |    1834247 |    2252692 |    2805777 |    1084452 |     427748 |   91269500 |   91269500 |   91269500 |    3886354 |   91269500 |   91269500 |   91269500 |    2035875 |     424664 |   91269500 |   91269500
  Idle time (%)                      |       2.0% |       2.5% |       3.1% |       1.2% |       0.5% |     100.0% |     100.0% |     100.0% |       4.3% |     100.0% |     100.0% |     100.0% |       2.2% |       0.5% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   58658540 |   57204988 |   57650237 |   56753994 |   44234693 |          0 |          0 |          0 |   58137466 |          0 |          0 |          0 |   43550770 |   44586652 |          0 |          0
  num incorrect                      |    1275652 |    1282366 |    1256719 |    1299080 |    1278726 |          0 |          0 |          0 |    1170605 |          0 |          0 |          0 |    1247038 |    1249048 |          0 |          0
  misprediction rate                 |      2.13% |      2.19% |      2.13% |      2.24% |      2.81% |      0.00% |      0.00% |      0.00% |      1.97% |      0.00% |      0.00% |      0.00% |      2.78% |      2.73% |      0.00% |      0.00%
  mpki                               |       4.04 |       4.13 |       4.04 |       4.17 |       4.80 |       0.00 |       0.00 |       0.00 |       3.72 |       0.00 |       0.00 |       0.00 |       4.72 |       4.67 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10250045 |   10117701 |    9969802 |   10676423 |   10537663 |          0 |          0 |          0 |   10198341 |          0 |          0 |          0 |   10219519 |   10706945 |          0 |          0
    num misses                       |         29 |         29 |         29 |         29 |         29 |          0 |          0 |          0 |        347 |          0 |          0 |          0 |         29 |         29 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |  105032122 |  104130188 |  103888383 |  105901446 |   98857981 |          0 |          0 |          0 |  105691026 |          0 |          0 |          0 |   98569230 |   99031621 |          0 |          0
    num misses                       |      96563 |      97977 |      96665 |      99965 |      98093 |          0 |          0 |          0 |     100134 |          0 |          0 |          0 |      99416 |      96991 |          0 |          0
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.09% |      0.10% |      0.00% |      0.00% |      0.00% |      0.09% |      0.00% |      0.00% |      0.00% |      0.10% |      0.10% |      0.00% |      0.00%
    mpki                             |       0.31 |       0.32 |       0.31 |       0.32 |       0.37 |       0.00 |       0.00 |       0.00 |       0.32 |       0.00 |       0.00 |       0.00 |       0.38 |       0.36 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      96592 |      98006 |      96694 |      99994 |      98122 |          0 |          0 |          0 |     100481 |          0 |          0 |          0 |      99445 |      97020 |          0 |          0
    num misses                       |       2696 |       2920 |       2721 |       3521 |       4340 |          0 |          0 |          0 |       3592 |          0 |          0 |          0 |       4044 |       2666 |          0 |          0
    miss rate                        |      2.79% |      2.98% |      2.81% |      3.52% |      4.42% |      0.00% |      0.00% |      0.00% |      3.57% |      0.00% |      0.00% |      0.00% |      4.07% |      2.75% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.02 |       0.01 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10250045 |   10117701 |    9969802 |   10676423 |   10537663 |          0 |          0 |          0 |   10198341 |          0 |          0 |          0 |   10219519 |   10706945 |          0 |          0
    num cache misses                 |        522 |        503 |        485 |        484 |      11072 |          0 |          0 |          0 |      12732 |          0 |          0 |          0 |      11204 |      10737 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.11% |       inf% |       inf% |       inf% |      0.12% |       inf% |       inf% |       inf% |      0.11% |      0.10% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.04 |        inf |        inf |        inf |       0.04 |        inf |        inf |        inf |       0.04 |       0.04 |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |  105032122 |  104130188 |  103888383 |  105901446 |   98857981 |          0 |          0 |          0 |  105691026 |          0 |          0 |          0 |   98569230 |   99031621 |          0 |          0
    num cache misses                 |   14102981 |   14077796 |   14079969 |   14508239 |   19592291 |          0 |          0 |          0 |   14351150 |          0 |          0 |          0 |   19820337 |   19649700 |          0 |          0
    miss rate                        |     13.43% |     13.52% |     13.55% |     13.70% |     19.82% |       inf% |       inf% |       inf% |     13.58% |       inf% |       inf% |       inf% |     20.11% |     19.84% |       inf% |       inf%
    mpki                             |      44.70 |      45.38 |      45.25 |      46.60 |      73.53 |        inf |        inf |        inf |      45.62 |        inf |        inf |        inf |      75.07 |      73.43 |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14149742 |   14124857 |   14127511 |   14554892 |   19650296 |          0 |          0 |          0 |   14411497 |          0 |          0 |          0 |   19879660 |   19707644 |          0 |          0
    num cache misses                 |     378461 |     376390 |     375505 |     383324 |    5548591 |          0 |          0 |          0 |     387538 |          0 |          0 |          0 |    5606223 |    5546395 |          0 |          0
    miss rate                        |      2.67% |      2.66% |      2.66% |      2.63% |     28.24% |       inf% |       inf% |       inf% |      2.69% |       inf% |       inf% |       inf% |     28.20% |     28.14% |       inf% |       inf%
    mpki                             |       1.20 |       1.21 |       1.21 |       1.23 |      20.82 |        inf |        inf |        inf |       1.23 |        inf |        inf |        inf |      21.23 |      20.73 |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     425115 |     423378 |     422991 |     429521 |    5595869 |          0 |          0 |          0 |     435962 |          0 |          0 |          0 |    5654711 |    5593949 |          0 |          0
    num cache misses                 |      60775 |      54908 |      69804 |      60466 |      52378 |          0 |          0 |          0 |     128348 |          0 |          0 |          0 |     104600 |     108410 |          0 |          0
    miss rate                        |     14.30% |     12.97% |     16.50% |     14.08% |      0.94% |       inf% |       inf% |       inf% |     29.44% |       inf% |       inf% |       inf% |      1.85% |      1.94% |       inf% |       inf%
    mpki                             |       0.19 |       0.18 |       0.22 |       0.19 |       0.20 |        inf |        inf |        inf |       0.41 |        inf |        inf |        inf |       0.40 |       0.41 |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     136913 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      92395 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    8790.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      68.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    8729.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       3849 |       3389 |       3149 |       3590 |       9236 |          0 |          0 |          0 |       8685 |          0 |          0 |          0 |       9265 |       9620 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      32905 |      26927 |      41631 |      32081 |      22574 |          0 |          0 |          0 |      89312 |          0 |          0 |          0 |      74734 |      78767 |          0 |          0
