                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   468793390 |   479685565 |   490170707 |   468218299 |  283794256 |  269598522 |  275425586 |  269236432
  Cycles                             |  1138672000 |  1138672000 |  1138672000 |  1138672000 |  284668000 |  284668000 |  284668000 |  284668000
  IPC                                |        0.41 |        0.42 |        0.43 |        0.41 |       1.00 |       0.95 |       0.97 |       0.95
  Time (ns)                          |   284668000 |   284668000 |   284668000 |   284668000 |  284668000 |  284668000 |  284668000 |  284668000
  Idle time (ns)                     |     4324060 |     3281431 |     2958737 |     1964551 |    1511084 |     931827 |     467550 |     469014
  Idle time (%)                      |        1.5% |        1.2% |        1.0% |        0.7% |       0.5% |       0.3% |       0.2% |       0.2%
Branch predictor stats               |             |             |             |             |            |            |            |           
  num correct                        |   113257540 |   116725463 |   121157187 |   113567099 |   51966473 |   46209704 |   48582167 |   46491209
  num incorrect                      |      174182 |      180103 |      187433 |      193547 |     195019 |     193637 |     190098 |     180441
  misprediction rate                 |       0.15% |       0.15% |       0.15% |       0.17% |      0.37% |      0.42% |      0.39% |      0.39%
  mpki                               |        0.37 |        0.38 |        0.38 |        0.41 |       0.69 |       0.72 |       0.69 |       0.67
TLB Summary                          |             |             |             |             |            |            |            |           
  I-TLB                              |             |             |             |             |            |            |            |           
    num accesses                     |    10223938 |    10257169 |    10008131 |    10156006 |   10288260 |   10715339 |   10576063 |   10745144
    num misses                       |         227 |          27 |          27 |          27 |         27 |         27 |         27 |         27
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |             |             |             |            |            |            |           
    num accesses                     |   132783592 |   134704251 |   135192852 |   131852478 |  101231549 |  100170703 |  100573411 |   99535270
    num misses                       |       97296 |       99437 |       96148 |       97220 |      96144 |      99247 |      98111 |      96979
    miss rate                        |       0.07% |       0.07% |       0.07% |       0.07% |      0.09% |      0.10% |      0.10% |      0.10%
    mpki                             |        0.21 |        0.21 |        0.20 |        0.21 |       0.34 |       0.37 |       0.36 |       0.36
  L2 TLB                             |             |             |             |             |            |            |            |           
    num accesses                     |       97523 |       99464 |       96175 |       97247 |      96171 |      99274 |      98138 |      97006
    num misses                       |        3188 |        4255 |        2117 |        2833 |       2128 |       3228 |       5010 |       2145
    miss rate                        |       3.27% |       4.28% |       2.20% |       2.91% |      2.21% |      3.25% |      5.11% |      2.21%
    mpki                             |        0.01 |        0.01 |        0.00 |        0.01 |       0.01 |       0.01 |       0.02 |       0.01
Cache Summary                        |             |             |             |             |            |            |            |           
  Cache L1-I                         |             |             |             |             |            |            |            |           
    num cache accesses               |    10223938 |    10257169 |    10008131 |    10156006 |   10288260 |   10715339 |   10576063 |   10745144
    num cache misses                 |       27306 |       11128 |       10967 |       10460 |      13095 |      13371 |      13274 |      12979
    miss rate                        |       0.27% |       0.11% |       0.11% |       0.10% |      0.13% |      0.12% |      0.13% |      0.12%
    mpki                             |        0.06 |        0.02 |        0.02 |        0.02 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |             |             |             |             |            |            |            |           
    num cache accesses               |   132783592 |   134704251 |   135192852 |   131852478 |  101231549 |  100170703 |  100573411 |   99535270
    num cache misses                 |    25752975 |    25994808 |    25346941 |    25380320 |   25430573 |   26069402 |   25688331 |   25654695
    miss rate                        |      19.39% |      19.30% |      18.75% |      19.25% |     25.12% |     26.02% |     25.54% |     25.77%
    mpki                             |       54.93 |       54.19 |       51.71 |       54.21 |      89.61 |      96.70 |      93.27 |      95.29
  Cache L2                           |             |             |             |             |            |            |            |           
    num cache accesses               |    25938647 |    26165793 |    25516583 |    25550339 |   25596953 |   26238817 |   25855642 |   25823117
    num cache misses                 |     5974000 |     5981164 |     5831214 |     5868737 |    5924871 |    6045052 |    5982109 |    5973149
    miss rate                        |      23.03% |      22.86% |      22.85% |      22.97% |     23.15% |     23.04% |     23.14% |     23.13%
    mpki                             |       12.74 |       12.47 |       11.90 |       12.53 |      20.88 |      22.42 |      21.72 |      22.19
  Cache L3                           |             |             |             |             |            |            |            |           
    num cache accesses               |     6175117 |     6164888 |     6016578 |     6057529 |    6090993 |    6214898 |    6148679 |    6139879
    num cache misses                 |     5300464 |     5311663 |     5185976 |     5201288 |    5174097 |    5289314 |    5226440 |    5217390
    miss rate                        |      85.84% |      86.16% |      86.19% |      85.86% |     84.95% |     85.11% |     85.00% |     84.98%
    mpki                             |       11.31 |       11.07 |       10.58 |       11.11 |      18.23 |      19.62 |      18.98 |      19.38
DRAM summary                         |             |             |             |             |            |            |            |           
  num dram accesses                  |    43776308 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |       89.31 |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       28.06 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      19.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |            |            |            |           
  num loads from dram                |     5243811 |     5254612 |     5127894 |     5149491 |    5117488 |    5233950 |    5166903 |    5157117
  num loads from dram cache          |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
