                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   84294269 |   85222022 |   85065556 |   84814376 |   73248769 |   72134302 |   73117486 |   73125699
  Cycles                             |  101295550 |  101295550 |  101295550 |  101295550 |   76844900 |   76844900 |   76844900 |   76844900
  IPC                                |       0.83 |       0.84 |       0.84 |       0.84 |       0.95 |       0.94 |       0.95 |       0.95
  Time (ns)                          |   34929500 |   34929500 |   34929500 |   34929500 |   34929500 |   34929500 |   34929500 |   34929500
  Idle time (ns)                     |        274 |     315430 |     319516 |     322163 |     324771 |     327409 |     330016 |     332655
  Idle time (%)                      |       0.0% |       0.9% |       0.9% |       0.9% |       0.9% |       0.9% |       0.9% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    8944409 |    9341016 |    9285868 |    9233449 |    6027796 |    5727184 |    5984296 |    5960779
  num incorrect                      |      16169 |       5794 |       7611 |       7833 |       7048 |       7206 |       7784 |       8389
  misprediction rate                 |      0.18% |      0.06% |      0.08% |      0.08% |      0.12% |      0.13% |      0.13% |      0.14%
  mpki                               |       0.19 |       0.07 |       0.09 |       0.09 |       0.10 |       0.10 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10513563 |   10360169 |   10414113 |   10350048 |   10189812 |   10163158 |   10241300 |   10324272
    num misses                       |        131 |         23 |         23 |         23 |         21 |         23 |         21 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   28990275 |   28745464 |   28769593 |   28612430 |   26678985 |   26449264 |   26676370 |   26777156
    num misses                       |    1292806 |    1282668 |    1285537 |    1284822 |    1282790 |    1283663 |    1286058 |    1282504
    miss rate                        |      4.46% |      4.46% |      4.47% |      4.49% |      4.81% |      4.85% |      4.82% |      4.79%
    mpki                             |      15.34 |      15.05 |      15.11 |      15.15 |      17.51 |      17.80 |      17.59 |      17.54
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1292937 |    1282691 |    1285560 |    1284845 |    1282811 |    1283686 |    1286079 |    1282527
    num misses                       |     526932 |     520936 |     523600 |     528331 |     523520 |     525511 |     526711 |     519664
    miss rate                        |     40.75% |     40.61% |     40.73% |     41.12% |     40.81% |     40.94% |     40.95% |     40.52%
    mpki                             |       6.25 |       6.11 |       6.16 |       6.23 |       7.15 |       7.29 |       7.20 |       7.11
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10513563 |   10360169 |   10414113 |   10350048 |   10189812 |   10163158 |   10241300 |   10324272
    num cache misses                 |       3664 |        569 |        681 |        621 |       1107 |       1059 |       1085 |       1228
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   28990275 |   28745464 |   28769593 |   28612430 |   26678985 |   26449264 |   26676370 |   26777156
    num cache misses                 |     747232 |     742503 |     731264 |     743294 |     972752 |     972899 |     972536 |     958733
    miss rate                        |      2.58% |      2.58% |      2.54% |      2.60% |      3.65% |      3.68% |      3.65% |      3.58%
    mpki                             |       8.86 |       8.71 |       8.60 |       8.76 |      13.28 |      13.49 |      13.30 |      13.11
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     824235 |     807225 |     799755 |     807451 |    1037178 |    1033188 |    1043042 |    1034721
    num cache misses                 |     348319 |     334606 |     335137 |     333924 |     497001 |     497175 |     491922 |     489206
    miss rate                        |     42.26% |     41.45% |     41.90% |     41.36% |     47.92% |     48.12% |     47.16% |     47.28%
    mpki                             |       4.13 |       3.93 |       3.94 |       3.94 |       6.79 |       6.89 |       6.73 |       6.69
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     436738 |     414266 |     418038 |     412798 |     560320 |     556406 |     561343 |     563967
    num cache misses                 |      27128 |      16970 |      16997 |      17004 |      16951 |      16971 |      17039 |      17094
    miss rate                        |      6.21% |      4.10% |      4.07% |      4.12% |      3.03% |      3.05% |      3.04% |      3.03%
    mpki                             |       0.32 |       0.20 |       0.20 |       0.20 |       0.23 |       0.24 |       0.23 |       0.23
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     146146 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   15153.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   15092.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6677 |        130 |        143 |        140 |        135 |        136 |        159 |        141
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
