metric,value
timestamp,2026-07-13T08:19:42
workload,LU
strategy,HPO
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/LU_W_HPO_8TH_20260713_003303
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,903.2089
total_instructions,34097491255
avg_ipc,1.1797
avg_ipc_p,1.2328
avg_ipc_e,1.1267
total_power_W,11.8629
dynamic_W,9.8621
leakage_W,2.0
dram_W,0.0008
energy_J,10.714649
node0_reads,63754
node1_reads,50032
node0_pct,56.0297
node0_writes,781
node1_writes,665
dram_local,8283
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.641
l2_miss_pct,7.3104
l3_miss_pct,0.0321
l1d_mpki,10.3464
l2_mpki,0.7564
l3_mpki,0.0002
l3_miss_count,8283
cpi_base_frac,0.9762
cpi_branch_frac,0.0001
cpi_l2_frac,0.001
cpi_l3_frac,0.0227
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2756
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.6065
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1589779875
L1-D.access-mru-0.c1,1578247380
L1-D.access-mru-0.c10,1530481921
L1-D.access-mru-0.c11,1278198086
L1-D.access-mru-0.c2,1560021616
L1-D.access-mru-0.c3,1565579112
L1-D.access-mru-0.c8,1548816207
L1-D.access-mru-0.c9,1529322377
L1-D.access-mru-0.node0,6293627983
L1-D.access-mru-0.node1,5886818591
L1-D.access-mru-0.total,12180446574
L1-D.access-mru-1.c0,60461296
L1-D.access-mru-1.c1,59121017
L1-D.access-mru-1.c10,59461860
L1-D.access-mru-1.c11,44463899
L1-D.access-mru-1.c2,68300044
L1-D.access-mru-1.c3,59193173
L1-D.access-mru-1.c8,58712170
L1-D.access-mru-1.c9,68177401
L1-D.access-mru-1.node0,247075530
L1-D.access-mru-1.node1,230815330
L1-D.access-mru-1.total,477890860
L1-D.access-mru-2.c0,11038599
L1-D.access-mru-2.c1,10859964
L1-D.access-mru-2.c10,11065218
L1-D.access-mru-2.c11,8310604
L1-D.access-mru-2.c2,12333369
L1-D.access-mru-2.c3,10943889
L1-D.access-mru-2.c8,11135915
L1-D.access-mru-2.c9,12452443
L1-D.access-mru-2.node0,45175821
L1-D.access-mru-2.node1,42964180
L1-D.access-mru-2.total,88140001
L1-D.access-mru-3.c0,3267130
L1-D.access-mru-3.c1,3415367
L1-D.access-mru-3.c10,3331039
L1-D.access-mru-3.c11,2599892
L1-D.access-mru-3.c2,3170303
L1-D.access-mru-3.c3,3296696
L1-D.access-mru-3.c8,3248084
L1-D.access-mru-3.c9,3139413
L1-D.access-mru-3.node0,13149496
L1-D.access-mru-3.node1,12318428
L1-D.access-mru-3.total,25467924
L1-D.access-mru-4.c0,1252493
L1-D.access-mru-4.c1,1279592
L1-D.access-mru-4.c10,1204325
L1-D.access-mru-4.c11,1148625
L1-D.access-mru-4.c2,1008306
L1-D.access-mru-4.c3,1203562
L1-D.access-mru-4.c8,1051108
L1-D.access-mru-4.c9,1079331
L1-D.access-mru-4.node0,4743953
L1-D.access-mru-4.node1,4483389
L1-D.access-mru-4.total,9227342
L1-D.access-mru-5.c0,1059995
L1-D.access-mru-5.c1,1040784
L1-D.access-mru-5.c10,969401
L1-D.access-mru-5.c11,1142492
L1-D.access-mru-5.c2,1098279
L1-D.access-mru-5.c3,1120340
L1-D.access-mru-5.c8,1034619
L1-D.access-mru-5.c9,1231775
L1-D.access-mru-5.node0,4319398
L1-D.access-mru-5.node1,4378287
L1-D.access-mru-5.total,8697685
L1-D.access-mru-6.c0,1128187
L1-D.access-mru-6.c1,1149347
L1-D.access-mru-6.c10,1111840
L1-D.access-mru-6.c11,1046961
L1-D.access-mru-6.c2,1199540
L1-D.access-mru-6.c3,1098691
L1-D.access-mru-6.c8,1204304
L1-D.access-mru-6.c9,1117462
L1-D.access-mru-6.node0,4575765
L1-D.access-mru-6.node1,4480567
L1-D.access-mru-6.total,9056332
L1-D.access-mru-7.c0,861792
L1-D.access-mru-7.c1,917357
L1-D.access-mru-7.c10,1092831
L1-D.access-mru-7.c11,825931
L1-D.access-mru-7.c2,926656
L1-D.access-mru-7.c3,843313
L1-D.access-mru-7.c8,933481
L1-D.access-mru-7.c9,808682
L1-D.access-mru-7.node0,3549118
L1-D.access-mru-7.node1,3660925
L1-D.access-mru-7.total,7210043
L1-D.backinval-M.c0,2107
L1-D.backinval-M.c10,1204
L1-D.backinval-M.c3,903
L1-D.backinval-M.node0,3010
L1-D.backinval-M.node1,1204
L1-D.backinval-M.total,4214
L1-D.backinval-S.c0,301
L1-D.backinval-S.c1,301
L1-D.backinval-S.node0,602
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,602
L1-D.coherency-downgrades.c0,124148
L1-D.coherency-downgrades.c1,124695
L1-D.coherency-downgrades.c10,377864
L1-D.coherency-downgrades.c11,76680
L1-D.coherency-downgrades.c2,219303
L1-D.coherency-downgrades.c3,224340
L1-D.coherency-downgrades.c8,242027
L1-D.coherency-downgrades.c9,260371
L1-D.coherency-downgrades.node0,692486
L1-D.coherency-downgrades.node1,956942
L1-D.coherency-downgrades.total,1649428
L1-D.coherency-invalidates.c0,27568
L1-D.coherency-invalidates.c1,24031
L1-D.coherency-invalidates.c10,29134
L1-D.coherency-invalidates.c11,60135
L1-D.coherency-invalidates.c2,24358
L1-D.coherency-invalidates.c3,35752
L1-D.coherency-invalidates.c8,44723
L1-D.coherency-invalidates.c9,34074
L1-D.coherency-invalidates.node0,111709
L1-D.coherency-invalidates.node1,168066
L1-D.coherency-invalidates.total,279775
L1-D.coherency-upgrades.c0,9899
L1-D.coherency-upgrades.c1,14002
L1-D.coherency-upgrades.c10,5330
L1-D.coherency-upgrades.c11,23970
L1-D.coherency-upgrades.c2,13914
L1-D.coherency-upgrades.c3,11666
L1-D.coherency-upgrades.c8,1786
L1-D.coherency-upgrades.c9,7679
L1-D.coherency-upgrades.node0,49481
L1-D.coherency-upgrades.node1,38765
L1-D.coherency-upgrades.total,88246
L1-D.coherency-writebacks.c0,9004
L1-D.coherency-writebacks.c1,8816
L1-D.coherency-writebacks.c10,14618
L1-D.coherency-writebacks.c11,8337
L1-D.coherency-writebacks.c2,8764
L1-D.coherency-writebacks.c3,6631
L1-D.coherency-writebacks.c8,8069
L1-D.coherency-writebacks.c9,10588
L1-D.coherency-writebacks.node0,33215
L1-D.coherency-writebacks.node1,41612
L1-D.coherency-writebacks.total,74827
L1-D.evict-E.c0,5867
L1-D.evict-E.c11,6
L1-D.evict-E.c3,18
L1-D.evict-E.node0,5885
L1-D.evict-E.node1,6
L1-D.evict-E.total,5891
L1-D.evict-M.c0,74967287
L1-D.evict-M.c1,73907862
L1-D.evict-M.c10,73494185
L1-D.evict-M.c11,54899974
L1-D.evict-M.c2,74086952
L1-D.evict-M.c3,73849309
L1-D.evict-M.c8,73388642
L1-D.evict-M.c9,73524239
L1-D.evict-M.node0,296811410
L1-D.evict-M.node1,275307040
L1-D.evict-M.total,572118450
L1-D.evict-S.c0,6150699
L1-D.evict-S.c1,6206974
L1-D.evict-S.c10,6825853
L1-D.evict-S.c11,4958203
L1-D.evict-S.c2,6274993
L1-D.evict-S.c3,6337019
L1-D.evict-S.c8,7020452
L1-D.evict-S.c9,6595051
L1-D.evict-S.node0,24969685
L1-D.evict-S.node1,25399559
L1-D.evict-S.total,50369244
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,49482652
L1-D.load-misses-I.c1,48907786
L1-D.load-misses-I.c10,49005547
L1-D.load-misses-I.c11,36190259
L1-D.load-misses-I.c2,49044293
L1-D.load-misses-I.c3,48985212
L1-D.load-misses-I.c8,49098881
L1-D.load-misses-I.c9,48918497
L1-D.load-misses-I.node0,196419943
L1-D.load-misses-I.node1,183213184
L1-D.load-misses-I.total,379633127
L1-D.load-misses-S.c0,6
L1-D.load-misses-S.c1,7
L1-D.load-misses-S.c10,5
L1-D.load-misses-S.c11,7
L1-D.load-misses-S.c2,12
L1-D.load-misses-S.c3,8
L1-D.load-misses-S.c8,5
L1-D.load-misses-S.c9,8
L1-D.load-misses-S.node0,33
L1-D.load-misses-S.node1,25
L1-D.load-misses-S.total,58
L1-D.load-misses.c0,49482661
L1-D.load-misses.c1,48907793
L1-D.load-misses.c10,49005552
L1-D.load-misses.c11,36190266
L1-D.load-misses.c2,49044305
L1-D.load-misses.c3,48985220
L1-D.load-misses.c8,49098886
L1-D.load-misses.c9,48918505
L1-D.load-misses.node0,196419979
L1-D.load-misses.node1,183213209
L1-D.load-misses.total,379633188
L1-D.loads-E.c0,68709
L1-D.loads-E.c1,67
L1-D.loads-E.c10,22
L1-D.loads-E.c11,35
L1-D.loads-E.c2,113
L1-D.loads-E.c3,104
L1-D.loads-E.c8,23
L1-D.loads-E.c9,22
L1-D.loads-E.node0,68993
L1-D.loads-E.node1,102
L1-D.loads-E.total,69095
L1-D.loads-I.c0,49482652
L1-D.loads-I.c1,48907786
L1-D.loads-I.c10,49005547
L1-D.loads-I.c11,36190259
L1-D.loads-I.c2,49044293
L1-D.loads-I.c3,48985212
L1-D.loads-I.c8,49098881
L1-D.loads-I.c9,48918497
L1-D.loads-I.node0,196419943
L1-D.loads-I.node1,183213184
L1-D.loads-I.total,379633127
L1-D.loads-M.c0,946605874
L1-D.loads-M.c1,943154873
L1-D.loads-M.c10,943698758
L1-D.loads-M.c11,730096147
L1-D.loads-M.c2,943528970
L1-D.loads-M.c3,942982772
L1-D.loads-M.c8,936269459
L1-D.loads-M.c9,941311901
L1-D.loads-M.node0,3776272489
L1-D.loads-M.node1,3551376265
L1-D.loads-M.total,7327648754
L1-D.loads-S.c0,272737156
L1-D.loads-S.c1,265745568
L1-D.loads-S.c10,218034302
L1-D.loads-S.c11,269763372
L1-D.loads-S.c2,257504850
L1-D.loads-S.c3,253166199
L1-D.loads-S.c8,242898615
L1-D.loads-S.c9,228927179
L1-D.loads-S.node0,1049153773
L1-D.loads-S.node1,959623468
L1-D.loads-S.total,2008777241
L1-D.loads-where-L1.c0,1219411730
L1-D.loads-where-L1.c1,1208900501
L1-D.loads-where-L1.c10,1161733077
L1-D.loads-where-L1.c11,999859547
L1-D.loads-where-L1.c2,1201033921
L1-D.loads-where-L1.c3,1196149067
L1-D.loads-where-L1.c8,1179168092
L1-D.loads-where-L1.c9,1170239094
L1-D.loads-where-L1.node0,4825495219
L1-D.loads-where-L1.node1,4510999810
L1-D.loads-where-L1.total,9336495029
L1-D.loads-where-L2.c0,42119826
L1-D.loads-where-L2.c1,42004829
L1-D.loads-where-L2.c10,42283387
L1-D.loads-where-L2.c11,30895017
L1-D.loads-where-L2.c2,42241197
L1-D.loads-where-L2.c3,42755422
L1-D.loads-where-L2.c8,42569692
L1-D.loads-where-L2.c9,42126517
L1-D.loads-where-L2.node0,169121274
L1-D.loads-where-L2.node1,157874613
L1-D.loads-where-L2.total,326995887
L1-D.loads-where-L3.c0,2285203
L1-D.loads-where-L3.c1,1804760
L1-D.loads-where-L3.c10,1574108
L1-D.loads-where-L3.c11,1177960
L1-D.loads-where-L3.c2,1678124
L1-D.loads-where-L3.c3,1407574
L1-D.loads-where-L3.c8,1295619
