metric,value
timestamp,2026-07-05T07:56:53
workload,SP
strategy,MPO
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/SP_W_MPO_8TH_20260705_025404
cpu_map,"[1, 0, 2, 3, 10, 8, 11, 9]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,720.7586
total_instructions,45009734361
avg_ipc,1.9515
avg_ipc_p,1.9515
avg_ipc_e,0.0
total_power_W,35.7035
dynamic_W,31.2239
leakage_W,4.0
dram_W,0.4796
energy_J,25.733598
node0_reads,19519010
node1_reads,19480169
node0_pct,50.0498
node0_writes,10697914
node1_writes,10658063
dram_local,14409570
dram_remote,14416525
dram_remote_pct,50.0121
l1d_miss_pct,6.2965
l2_miss_pct,31.0802
l3_miss_pct,12.6175
l1d_mpki,16.3313
l2_mpki,5.0758
l3_mpki,0.6404
l3_miss_count,28826095
cpi_base_frac,0.8157
cpi_branch_frac,0.0018
cpi_l2_frac,0.0003
cpi_l3_frac,0.1045
cpi_dram_local_frac,0.038
cpi_dram_remote_frac,0.0396
futex_wake_count,8848
futex_wait_count,4
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.8385
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1779687833
L1-D.access-mru-0.c1,1854999602
L1-D.access-mru-0.c2,1710371328
L1-D.access-mru-0.c3,1699351368
L1-D.access-mru-0.c4,1769685516
L1-D.access-mru-0.c5,1788596032
L1-D.access-mru-0.c6,1777476023
L1-D.access-mru-0.c7,1759313541
L1-D.access-mru-0.node0,7044410131
L1-D.access-mru-0.node1,7095071112
L1-D.access-mru-0.total,14139481243
L1-D.access-mru-1.c0,96671100
L1-D.access-mru-1.c1,96675262
L1-D.access-mru-1.c2,111820510
L1-D.access-mru-1.c3,89525760
L1-D.access-mru-1.c4,78487076
L1-D.access-mru-1.c5,77198377
L1-D.access-mru-1.c6,79786353
L1-D.access-mru-1.c7,81041310
L1-D.access-mru-1.node0,394692632
L1-D.access-mru-1.node1,316513116
L1-D.access-mru-1.total,711205748
L1-D.access-mru-2.c0,10953938
L1-D.access-mru-2.c1,10470326
L1-D.access-mru-2.c2,10288625
L1-D.access-mru-2.c3,9183683
L1-D.access-mru-2.c4,8863886
L1-D.access-mru-2.c5,8346560
L1-D.access-mru-2.c6,8245047
L1-D.access-mru-2.c7,8524017
L1-D.access-mru-2.node0,40896572
L1-D.access-mru-2.node1,33979510
L1-D.access-mru-2.total,74876082
L1-D.access-mru-3.c0,19027652
L1-D.access-mru-3.c1,18940562
L1-D.access-mru-3.c2,16022118
L1-D.access-mru-3.c3,15408481
L1-D.access-mru-3.c4,15057537
L1-D.access-mru-3.c5,14920375
L1-D.access-mru-3.c6,15310073
L1-D.access-mru-3.c7,15888561
L1-D.access-mru-3.node0,69398813
L1-D.access-mru-3.node1,61176546
L1-D.access-mru-3.total,130575359
L1-D.access-mru-4.c0,15050459
L1-D.access-mru-4.c1,15190040
L1-D.access-mru-4.c2,11317099
L1-D.access-mru-4.c3,12028667
L1-D.access-mru-4.c4,12389210
L1-D.access-mru-4.c5,12352395
L1-D.access-mru-4.c6,11746220
L1-D.access-mru-4.c7,11366994
L1-D.access-mru-4.node0,53586265
L1-D.access-mru-4.node1,47854819
L1-D.access-mru-4.total,101441084
L1-D.access-mru-5.c0,15602156
L1-D.access-mru-5.c1,16118643
L1-D.access-mru-5.c2,13484362
L1-D.access-mru-5.c3,13609740
L1-D.access-mru-5.c4,12981556
L1-D.access-mru-5.c5,12523362
L1-D.access-mru-5.c6,12737275
L1-D.access-mru-5.c7,12890511
L1-D.access-mru-5.node0,58814901
L1-D.access-mru-5.node1,51132704
L1-D.access-mru-5.total,109947605
L1-D.access-mru-6.c0,6953817
L1-D.access-mru-6.c1,6265205
L1-D.access-mru-6.c2,4346125
L1-D.access-mru-6.c3,4136418
L1-D.access-mru-6.c4,4789461
L1-D.access-mru-6.c5,5366748
L1-D.access-mru-6.c6,5413017
L1-D.access-mru-6.c7,5149189
L1-D.access-mru-6.node0,21701565
L1-D.access-mru-6.node1,20718415
L1-D.access-mru-6.total,42419980
L1-D.access-mru-7.c0,1564476
L1-D.access-mru-7.c1,1506770
L1-D.access-mru-7.c2,1190983
L1-D.access-mru-7.c3,1208637
L1-D.access-mru-7.c4,1190933
L1-D.access-mru-7.c5,1234231
L1-D.access-mru-7.c6,1164482
L1-D.access-mru-7.c7,1202183
L1-D.access-mru-7.node0,5470866
L1-D.access-mru-7.node1,4791829
L1-D.access-mru-7.total,10262695
L1-D.backinval-M.c0,15964
L1-D.backinval-M.c1,9000
L1-D.backinval-M.c2,9246
L1-D.backinval-M.c3,6976
L1-D.backinval-M.c4,6434
L1-D.backinval-M.c5,6030
L1-D.backinval-M.c6,10453
L1-D.backinval-M.c7,11094
L1-D.backinval-M.node0,41186
L1-D.backinval-M.node1,34011
L1-D.backinval-M.total,75197
L1-D.backinval-S.c0,806
L1-D.backinval-S.c1,416
L1-D.backinval-S.c2,402
L1-D.backinval-S.c3,406
L1-D.backinval-S.c4,402
L1-D.backinval-S.c5,402
L1-D.backinval-S.c6,3
L1-D.backinval-S.node0,2030
L1-D.backinval-S.node1,807
L1-D.backinval-S.total,2837
L1-D.coherency-downgrades.c0,195375
L1-D.coherency-downgrades.c1,229737
L1-D.coherency-downgrades.c2,188145
L1-D.coherency-downgrades.c3,124045
L1-D.coherency-downgrades.c4,217629
L1-D.coherency-downgrades.c5,69837
L1-D.coherency-downgrades.c6,160683
L1-D.coherency-downgrades.c7,84389
L1-D.coherency-downgrades.node0,737302
L1-D.coherency-downgrades.node1,532538
L1-D.coherency-downgrades.total,1269840
L1-D.coherency-invalidates.c0,3939
L1-D.coherency-invalidates.c1,303
L1-D.coherency-invalidates.c2,295
L1-D.coherency-invalidates.c3,312
L1-D.coherency-invalidates.c4,12990
L1-D.coherency-invalidates.c5,13641
L1-D.coherency-invalidates.c6,13677
L1-D.coherency-invalidates.c7,13821
L1-D.coherency-invalidates.node0,4849
L1-D.coherency-invalidates.node1,54129
L1-D.coherency-invalidates.total,58978
L1-D.coherency-upgrades.c0,495
L1-D.coherency-upgrades.c1,10178
L1-D.coherency-upgrades.c2,10714
L1-D.coherency-upgrades.c3,10717
L1-D.coherency-upgrades.c4,4
L1-D.coherency-upgrades.c5,3
L1-D.coherency-upgrades.c6,5
L1-D.coherency-upgrades.c7,3
L1-D.coherency-upgrades.node0,32104
L1-D.coherency-upgrades.node1,15
L1-D.coherency-upgrades.total,32119
L1-D.coherency-writebacks.c0,1242
L1-D.coherency-writebacks.c1,10719
L1-D.coherency-writebacks.c2,11540
L1-D.coherency-writebacks.c3,12501
L1-D.coherency-writebacks.c4,11753
L1-D.coherency-writebacks.c5,12082
L1-D.coherency-writebacks.c6,12131
L1-D.coherency-writebacks.c7,12349
L1-D.coherency-writebacks.node0,36002
L1-D.coherency-writebacks.node1,48315
L1-D.coherency-writebacks.total,84317
L1-D.evict-E.c0,15421863
L1-D.evict-E.c1,10317001
L1-D.evict-E.c2,8908718
L1-D.evict-E.c3,10550701
L1-D.evict-E.c4,5353308
L1-D.evict-E.c5,3191552
L1-D.evict-E.c6,3181468
L1-D.evict-E.c7,4706321
L1-D.evict-E.node0,45198283
L1-D.evict-E.node1,16432649
L1-D.evict-E.total,61630932
L1-D.evict-M.c0,107732921
L1-D.evict-M.c1,114700500
L1-D.evict-M.c2,92712479
L1-D.evict-M.c3,86812373
L1-D.evict-M.c4,88553622
L1-D.evict-M.c5,96865761
L1-D.evict-M.c6,95742702
L1-D.evict-M.c7,95446376
L1-D.evict-M.node0,401958273
L1-D.evict-M.node1,376608461
L1-D.evict-M.total,778566734
L1-D.evict-S.c0,5582611
L1-D.evict-S.c1,3375207
L1-D.evict-S.c2,4034655
L1-D.evict-S.c3,8294277
L1-D.evict-S.c4,10271030
L1-D.evict-S.c5,4128552
L1-D.evict-S.c6,3456778
L1-D.evict-S.c7,2221524
L1-D.evict-S.node0,21286750
L1-D.evict-S.node1,20077884
L1-D.evict-S.total,41364634
L1-D.load-misses-E,477
L1-D.load-misses-I.c0,109933598
L1-D.load-misses-I.c1,109810635
L1-D.load-misses-I.c2,89976201
L1-D.load-misses-I.c3,89975982
L1-D.load-misses-I.c4,89306240
L1-D.load-misses-I.c5,89312200
L1-D.load-misses-I.c6,87513200
L1-D.load-misses-I.c7,87507883
L1-D.load-misses-I.node0,399696416
L1-D.load-misses-I.node1,353639523
L1-D.load-misses-I.total,753335939
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c3,3
L1-D.load-misses-S.c5,3
L1-D.load-misses-S.c6,1
L1-D.load-misses-S.node0,4
L1-D.load-misses-S.node1,4
L1-D.load-misses-S.total,8
L1-D.load-misses.c0,109934075
L1-D.load-misses.c1,109810635
L1-D.load-misses.c2,89976202
L1-D.load-misses.c3,89975985
L1-D.load-misses.c4,89306240
L1-D.load-misses.c5,89312203
L1-D.load-misses.c6,87513201
L1-D.load-misses.c7,87507883
L1-D.load-misses.node0,399696897
L1-D.load-misses.node1,353639527
L1-D.load-misses.total,753336424
L1-D.loads-E.c0,142760630
L1-D.loads-E.c1,95291204
L1-D.loads-E.c2,75562209
L1-D.loads-E.c3,112569602
L1-D.loads-E.c4,46873564
L1-D.loads-E.c5,27129802
L1-D.loads-E.c6,30686235
L1-D.loads-E.c7,35307772
L1-D.loads-E.node0,426183645
L1-D.loads-E.node1,139997373
L1-D.loads-E.total,566181018
L1-D.loads-I.c0,109933598
L1-D.loads-I.c1,109810635
L1-D.loads-I.c2,89976201
L1-D.loads-I.c3,89975982
L1-D.loads-I.c4,89306240
L1-D.loads-I.c5,89312200
L1-D.loads-I.c6,87513200
L1-D.loads-I.c7,87507883
L1-D.loads-I.node0,399696416
L1-D.loads-I.node1,353639523
L1-D.loads-I.total,753335939
L1-D.loads-M.c0,1090469571
L1-D.loads-M.c1,1152189394
L1-D.loads-M.c2,936036085
L1-D.loads-M.c3,869157287
L1-D.loads-M.c4,892762963
L1-D.loads-M.c5,975587178
L1-D.loads-M.c6,957496387
L1-D.loads-M.c7,960688757
L1-D.loads-M.node0,4047852337
L1-D.loads-M.node1,3786535285
L1-D.loads-M.total,7834387622
L1-D.loads-S.c0,70493964
L1-D.loads-S.c1,131506868
L1-D.loads-S.c2,345310755
L1-D.loads-S.c3,341592680
L1-D.loads-S.c4,448121105
L1-D.loads-S.c5,401538314
L1-D.loads-S.c6,411820004
L1-D.loads-S.c7,388196059
L1-D.loads-S.node0,888904267
L1-D.loads-S.node1,1649675482
L1-D.loads-S.total,2538579749
L1-D.loads-where-L1.c0,1303723688
L1-D.loads-where-L1.c1,1378987466
L1-D.loads-where-L1.c2,1356909048
L1-D.loads-where-L1.c3,1323319566
L1-D.loads-where-L1.c4,1387757632
L1-D.loads-where-L1.c5,1404255291
L1-D.loads-where-L1.c6,1400002625
L1-D.loads-where-L1.c7,1384192588
L1-D.loads-where-L1.node0,5362939768
L1-D.loads-where-L1.node1,5576208136
L1-D.loads-where-L1.total,10939147904
L1-D.loads-where-L2.c0,71260216
L1-D.loads-where-L2.c1,70856597
L1-D.loads-where-L2.c2,61558006
L1-D.loads-where-L2.c3,61237550
L1-D.loads-where-L2.c4,61504232
L1-D.loads-where-L2.c5,60607448
L1-D.loads-where-L2.c6,59298980
L1-D.loads-where-L2.c7,60285421
L1-D.loads-where-L2.node0,264912369
L1-D.loads-where-L2.node1,241696081
L1-D.loads-where-L2.total,506608450
L1-D.loads-where-L3.c0,28369331
L1-D.loads-where-L3.c1,30349916
L1-D.loads-where-L3.c2,20706940
L1-D.loads-where-L3.c3,19116747
L1-D.loads-where-L3.c4,19627960
L1-D.loads-where-L3.c5,21009807
L1-D.loads-where-L3.c6,20352779
L1-D.loads-where-L3.c7,18971291
L1-D.loads-where-L3.node0,98542934
L1-D.loads-where-L3.node1,79961837
L1-D.loads-where-L3.total,178504771
L1-D.loads-where-L3_S.c0,1838308
L1-D.loads-where-L3_S.c1,2509990
L1-D.loads-where-L3_S.c2,2564264
L1-D.loads-where-L3_S.c3,1974381
L1-D.loads-where-L3_S.c4,1866250
L1-D.loads-where-L3_S.c5,3593204
L1-D.loads-where-L3_S.c6,3790971
L1-D.loads-where-L3_S.c7,2992586
L1-D.loads-where-L3_S.node0,8886943
L1-D.loads-where-L3_S.node1,12243011
L1-D.loads-where-L3_S.total,21129954
L1-D.loads-where-cache-remote.c0,2408582
L1-D.loads-where-cache-remote.c1,2131714
L1-D.loads-where-cache-remote.c2,1705960
L1-D.loads-where-cache-remote.c3,2409943
L1-D.loads-where-cache-remote.c4,3536424
L1-D.loads-where-cache-remote.c5,1909581
L1-D.loads-where-cache-remote.c6,1910167
L1-D.loads-where-cache-remote.c7,2254783
L1-D.loads-where-cache-remote.node0,8656199
L1-D.loads-where-cache-remote.node1,9610955
L1-D.loads-where-cache-remote.total,18267154
L1-D.loads-where-dram-local.c0,3027141
L1-D.loads-where-dram-local.c1,1988494
L1-D.loads-where-dram-local.c2,1723932
L1-D.loads-where-dram-local.c3,2618567
