                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   24510749 |    6520431 |    6566655 |    6853482 |    6608066 |    6707508 |    5861898 |    6161576
  Cycles                             |   17721600 |   17721600 |   17721600 |   17721600 |   17721600 |   17721600 |   17721600 |   17721600
  IPC                                |       1.38 |       0.37 |       0.37 |       0.39 |       0.37 |       0.38 |       0.33 |       0.35
  Time (ns)                          |    4430400 |    4430400 |    4430400 |    4430400 |    4430400 |    4430400 |    4430400 |    4430400
  Idle time (ns)                     |       2634 |    3475364 |    3475858 |    3475899 |    3475962 |    3476094 |    3476326 |    3476158
  Idle time (%)                      |       0.1% |      78.4% |      78.5% |      78.5% |      78.5% |      78.5% |      78.5% |      78.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2890527 |    1963000 |    1990555 |    2117753 |    2001778 |    2048308 |    1668672 |    1797547
  num incorrect                      |     170125 |      15661 |      14673 |      10885 |      14752 |      13520 |      25143 |      21010
  misprediction rate                 |      5.56% |      0.79% |      0.73% |      0.51% |      0.73% |      0.66% |      1.48% |      1.16%
  mpki                               |       6.94 |       2.40 |       2.23 |       1.59 |       2.23 |       2.02 |       4.29 |       3.41
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3167572 |      95584 |      89778 |      71857 |      86759 |      81923 |     125738 |     113788
    num misses                       |        172 |         24 |         24 |         24 |         24 |         22 |         22 |         24
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5697084 |    1313397 |    1315005 |    1344464 |    1322894 |    1332245 |    1244673 |    1277908
    num misses                       |       5525 |       3913 |       4005 |       3947 |       4064 |       4003 |       3929 |       3859
    miss rate                        |      0.10% |      0.30% |      0.30% |      0.29% |      0.31% |      0.30% |      0.32% |      0.30%
    mpki                             |       0.23 |       0.60 |       0.61 |       0.58 |       0.62 |       0.60 |       0.67 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       5697 |       3937 |       4029 |       3971 |       4088 |       4025 |       3951 |       3883
    num misses                       |        812 |        286 |        284 |        283 |        287 |        272 |        261 |        272
    miss rate                        |     14.25% |      7.26% |      7.05% |      7.13% |      7.02% |      6.76% |      6.61% |      7.00%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3167572 |      95584 |      89778 |      71857 |      86759 |      81923 |     125738 |     113788
    num cache misses                 |       3047 |        155 |        157 |        156 |        155 |        152 |        152 |        155
    miss rate                        |      0.10% |      0.16% |      0.17% |      0.22% |      0.18% |      0.19% |      0.12% |      0.14%
    mpki                             |       0.12 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5697084 |    1313397 |    1315005 |    1344464 |    1322894 |    1332245 |    1244673 |    1277908
    num cache misses                 |      63467 |      28532 |      28434 |      27948 |      28461 |      28266 |      29849 |      28808
    miss rate                        |      1.11% |      2.17% |      2.16% |      2.08% |      2.15% |      2.12% |      2.40% |      2.25%
    mpki                             |       2.59 |       4.38 |       4.33 |       4.08 |       4.31 |       4.21 |       5.09 |       4.68
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      69074 |      29237 |      29107 |      28525 |      29651 |      29423 |      31230 |      30113
    num cache misses                 |      49894 |      25735 |      25677 |      25285 |      25701 |      25535 |      26090 |      25870
    miss rate                        |     72.23% |     88.02% |     88.22% |     88.64% |     86.68% |     86.79% |     83.54% |     85.91%
    mpki                             |       2.04 |       3.95 |       3.91 |       3.69 |       3.89 |       3.81 |       4.45 |       4.20
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      54354 |      26295 |      26203 |      25725 |      26752 |      26554 |      27335 |      27035
    num cache misses                 |      38545 |      14408 |      14290 |      13942 |      16179 |      16010 |      16380 |      16197
    miss rate                        |     70.91% |     54.79% |     54.54% |     54.20% |     60.48% |     60.29% |     59.92% |     59.91%
    mpki                             |       1.57 |       2.21 |       2.18 |       2.03 |       2.45 |       2.39 |       2.79 |       2.63
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      18199 |          0 |          0 |          0 |      18151 |          0 |          0 |          0
  average dram access latency (ns)   |      71.03 |        inf |        inf |        inf |      70.86 |        inf |        inf |        inf
  average dram queueing delay        |       9.78 |       0.00 |       0.00 |       0.00 |       9.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10645 |        497 |        484 |        490 |        436 |        385 |        349 |        414
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3997 |       4177 |       4100 |       4057 |       5325 |       5251 |       5456 |       5345
