                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |           0 |           0 |           0 |           0 |  3938547644 |   514059965 |   512835841 |   514040424 |           0 |           0 |           0 |           0 |   513187089 |   514038499 |   512996176 |   513952561
  Cycles                             |  4977555070 |  4977555070 |  4977555070 |  4977555070 |  3776076260 |  3776076260 |  3776076260 |  3776076260 |  4977555070 |  4977555070 |  4977555070 |  4977555070 |  3776076260 |  3776076260 |  3776076260 |  3776076260
  IPC                                |        0.00 |        0.00 |        0.00 |        0.00 |        1.04 |        0.14 |        0.14 |        0.14 |        0.00 |        0.00 |        0.00 |        0.00 |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                          |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1716398300
  Idle time (ns)                     |  1716398300 |  1716398300 |  1716398300 |  1716398300 |   206983430 |  1511426499 |  1511829942 |  1511343281 |  1716398300 |  1716398300 |  1716398300 |  1716398300 |  1511710558 |  1511380517 |  1511759518 |  1511480878
  Idle time (%)                      |      100.0% |      100.0% |      100.0% |      100.0% |       12.1% |       88.1% |       88.1% |       88.1% |      100.0% |      100.0% |      100.0% |      100.0% |       88.1% |       88.1% |       88.1% |       88.1%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |           0 |           0 |           0 |           0 |   169513285 |     9978671 |     9954217 |     9969872 |           0 |           0 |           0 |           0 |     9951261 |     9970027 |     9947990 |     9964794
  num incorrect                      |           0 |           0 |           0 |           0 |     6164725 |      332497 |      332215 |      331809 |           0 |           0 |           0 |           0 |      331573 |      332282 |      331853 |      331139
  misprediction rate                 |       0.00% |       0.00% |       0.00% |       0.00% |       3.51% |       3.22% |       3.23% |       3.22% |       0.00% |       0.00% |       0.00% |       0.00% |       3.22% |       3.23% |       3.23% |       3.22%
  mpki                               |        0.00 |        0.00 |        0.00 |        0.00 |        1.57 |        0.65 |        0.65 |        0.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.65 |        0.65 |        0.65 |        0.64
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |           0 |           0 |           0 |           0 |   773980825 |    79632043 |    79442937 |    79631290 |           0 |           0 |           0 |           0 |    79496680 |    79628089 |    79470632 |    79616487
    num misses                       |           0 |           0 |           0 |           0 |         191 |          48 |          49 |          49 |           0 |           0 |           0 |           0 |          47 |          48 |          48 |          48
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |           0 |           0 |           0 |           0 |  2331212692 |   324902127 |   324118079 |   324915889 |           0 |           0 |           0 |           0 |   324366095 |   324899323 |   324251518 |   324861822
    num misses                       |           0 |           0 |           0 |           0 |    15977514 |     3502949 |     3449484 |     3460154 |           0 |           0 |           0 |           0 |     3483974 |     3496092 |     3473306 |     3586228
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.69% |       1.08% |       1.06% |       1.06% |       0.00% |       0.00% |       0.00% |       0.00% |       1.07% |       1.08% |       1.07% |       1.10%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        4.06 |        6.81 |        6.73 |        6.73 |        0.00 |        0.00 |        0.00 |        0.00 |        6.79 |        6.80 |        6.77 |        6.98
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |           0 |           0 |           0 |           0 |    15977705 |     3502997 |     3449533 |     3460203 |           0 |           0 |           0 |           0 |     3484021 |     3496140 |     3473354 |     3586276
    num misses                       |           0 |           0 |           0 |           0 |     6629173 |     1834327 |     1826728 |     1831965 |           0 |           0 |           0 |           0 |     1829738 |     1831747 |     1829338 |     1839099
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |      41.49% |      52.36% |      52.96% |      52.94% |       0.00% |       0.00% |       0.00% |       0.00% |      52.52% |      52.39% |      52.67% |      51.28%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        1.68 |        3.57 |        3.56 |        3.56 |        0.00 |        0.00 |        0.00 |        0.00 |        3.57 |        3.56 |        3.57 |        3.58
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |           0 |           0 |           0 |           0 |   773980825 |    79632043 |    79442937 |    79631290 |           0 |           0 |           0 |           0 |    79496680 |    79628089 |    79470632 |    79616487
    num cache misses                 |           0 |           0 |           0 |           0 |     1855629 |       29404 |       29150 |       29202 |           0 |           0 |           0 |           0 |       29090 |       29141 |       29126 |       29136
    miss rate                        |        inf% |        inf% |        inf% |        inf% |       0.24% |       0.04% |       0.04% |       0.04% |        inf% |        inf% |        inf% |        inf% |       0.04% |       0.04% |       0.04% |       0.04%
    mpki                             |         inf |         inf |         inf |         inf |        0.47 |        0.06 |        0.06 |        0.06 |         inf |         inf |         inf |         inf |        0.06 |        0.06 |        0.06 |        0.06
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |           0 |           0 |           0 |           0 |  2331212692 |   324902127 |   324118079 |   324915889 |           0 |           0 |           0 |           0 |   324366095 |   324899323 |   324251518 |   324861822
    num cache misses                 |           0 |           0 |           0 |           0 |    22382532 |     3359449 |     3349717 |     3360285 |           0 |           0 |           0 |           0 |     3352114 |     3356732 |     3350884 |     3356792
    miss rate                        |        inf% |        inf% |        inf% |        inf% |       0.96% |       1.03% |       1.03% |       1.03% |        inf% |        inf% |        inf% |        inf% |       1.03% |       1.03% |       1.03% |       1.03%
    mpki                             |         inf |         inf |         inf |         inf |        5.68 |        6.54 |        6.53 |        6.54 |         inf |         inf |         inf |         inf |        6.53 |        6.53 |        6.53 |        6.53
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |           0 |           0 |           0 |           0 |    25455018 |     3389393 |     3379398 |     3389952 |           0 |           0 |           0 |           0 |     3382011 |     3386668 |     3380821 |     3386718
    num cache misses                 |           0 |           0 |           0 |           0 |    15703522 |     2871706 |     2861491 |     2871690 |           0 |           0 |           0 |           0 |     2862903 |     2868558 |     2864104 |     2867766
    miss rate                        |        inf% |        inf% |        inf% |        inf% |      61.69% |      84.73% |      84.67% |      84.71% |        inf% |        inf% |        inf% |        inf% |      84.65% |      84.70% |      84.72% |      84.68%
    mpki                             |         inf |         inf |         inf |         inf |        3.99 |        5.59 |        5.58 |        5.59 |         inf |         inf |         inf |         inf |        5.58 |        5.58 |        5.58 |        5.58
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |           0 |           0 |           0 |           0 |    16921489 |     2872246 |     2862022 |     2872155 |           0 |           0 |           0 |           0 |     2863707 |     2869352 |     2864914 |     2868556
    num cache misses                 |           0 |           0 |           0 |           0 |     4157360 |     1135407 |     1130541 |     1135131 |           0 |           0 |           0 |           0 |      956003 |      955068 |      955725 |      956924
    miss rate                        |        inf% |        inf% |        inf% |        inf% |      24.57% |      39.53% |      39.50% |      39.52% |        inf% |        inf% |        inf% |        inf% |      33.38% |      33.29% |      33.36% |      33.36%
