metric,value
timestamp,2026-07-13T14:03:00
workload,dedup
strategy,EPO
bench_class,W
num_threads,9
output_dir,Outputs/sizeW/9TH/dedup_W_EPO_9TH_20260713_003303
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0]"
p_core_count,1
e_core_count,8
node0_threads,5
node1_threads,4
sim_time_ms,462.7523
total_instructions,4239421256
avg_ipc,1.353
avg_ipc_p,1.8338
avg_ipc_e,0.9684
total_power_W,2.8424
dynamic_W,1.8157
leakage_W,1.0
dram_W,0.0267
energy_J,1.315314
node0_reads,1176093
node1_reads,311100
node0_pct,79.0814
node0_writes,423092
node1_writes,204874
dram_local,784646
dram_remote,16448
dram_remote_pct,2.0532
l1d_miss_pct,1.2044
l2_miss_pct,6.6951
l3_miss_pct,69.3237
l1d_mpki,4.0714
l2_mpki,0.2726
l3_mpki,0.189
l3_miss_count,801094
cpi_base_frac,0.8408
cpi_branch_frac,0.1379
cpi_l2_frac,0.0
cpi_l3_frac,0.0007
cpi_dram_local_frac,0.0197
cpi_dram_remote_frac,0.0009
futex_wake_count,915
futex_wait_count,814
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,101.2237
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4757397
L1-D.access-mru-0.c12,92364400
L1-D.access-mru-0.c13,90746550
L1-D.access-mru-0.c14,583149313
L1-D.access-mru-0.c15,570320715
L1-D.access-mru-0.c4,4657052
L1-D.access-mru-0.c5,7149315
L1-D.access-mru-0.c6,509513990
L1-D.access-mru-0.c7,56188200
L1-D.access-mru-0.node0,582265954
L1-D.access-mru-0.node1,1336580978
L1-D.access-mru-0.total,1918846932
L1-D.access-mru-1.c0,121736
L1-D.access-mru-1.c12,299837
L1-D.access-mru-1.c13,298874
L1-D.access-mru-1.c14,37139177
L1-D.access-mru-1.c15,36362543
L1-D.access-mru-1.c4,90818
L1-D.access-mru-1.c5,765155
L1-D.access-mru-1.c6,5397575
L1-D.access-mru-1.c7,605548
L1-D.access-mru-1.node0,6980832
L1-D.access-mru-1.node1,74100431
L1-D.access-mru-1.total,81081263
L1-D.access-mru-2.c0,20619
L1-D.access-mru-2.c12,23050
L1-D.access-mru-2.c13,22992
L1-D.access-mru-2.c14,5388455
L1-D.access-mru-2.c15,5443933
L1-D.access-mru-2.c4,14656
L1-D.access-mru-2.c5,553
L1-D.access-mru-2.c6,125400
L1-D.access-mru-2.c7,13977
L1-D.access-mru-2.node0,175205
L1-D.access-mru-2.node1,10878430
L1-D.access-mru-2.total,11053635
L1-D.access-mru-3.c0,6309
L1-D.access-mru-3.c12,9997
L1-D.access-mru-3.c13,9652
L1-D.access-mru-3.c14,1536646
L1-D.access-mru-3.c15,1649721
L1-D.access-mru-3.c4,5603
L1-D.access-mru-3.c5,118
L1-D.access-mru-3.c6,28793
L1-D.access-mru-3.c7,2976
L1-D.access-mru-3.node0,43799
L1-D.access-mru-3.node1,3206016
L1-D.access-mru-3.total,3249815
L1-D.access-mru-4.c0,3709
L1-D.access-mru-4.c12,3759
L1-D.access-mru-4.c13,3733
L1-D.access-mru-4.c14,1027053
L1-D.access-mru-4.c15,1106315
L1-D.access-mru-4.c4,2971
L1-D.access-mru-4.c5,65
L1-D.access-mru-4.c6,10074
L1-D.access-mru-4.c7,1051
L1-D.access-mru-4.node0,17870
L1-D.access-mru-4.node1,2140860
L1-D.access-mru-4.total,2158730
L1-D.access-mru-5.c0,2986
L1-D.access-mru-5.c12,1406
L1-D.access-mru-5.c13,1567
L1-D.access-mru-5.c14,874219
L1-D.access-mru-5.c15,925537
L1-D.access-mru-5.c4,1538
L1-D.access-mru-5.c5,28
L1-D.access-mru-5.c6,3762
L1-D.access-mru-5.c7,483
L1-D.access-mru-5.node0,8797
L1-D.access-mru-5.node1,1802729
L1-D.access-mru-5.total,1811526
L1-D.access-mru-6.c0,2388
L1-D.access-mru-6.c12,553
L1-D.access-mru-6.c13,588
L1-D.access-mru-6.c14,803090
L1-D.access-mru-6.c15,834837
L1-D.access-mru-6.c4,910
L1-D.access-mru-6.c5,17
L1-D.access-mru-6.c6,1483
L1-D.access-mru-6.c7,204
L1-D.access-mru-6.node0,5002
L1-D.access-mru-6.node1,1639068
L1-D.access-mru-6.total,1644070
L1-D.access-mru-7.c0,2105
L1-D.access-mru-7.c12,266
L1-D.access-mru-7.c13,265
L1-D.access-mru-7.c14,751356
L1-D.access-mru-7.c15,775475
L1-D.access-mru-7.c4,680
L1-D.access-mru-7.c5,4
L1-D.access-mru-7.c6,640
L1-D.access-mru-7.c7,77
L1-D.access-mru-7.node0,3506
L1-D.access-mru-7.node1,1527362
L1-D.access-mru-7.total,1530868
L1-D.backinval-E.c0,15
L1-D.backinval-E.c12,15
L1-D.backinval-E.c13,20
L1-D.backinval-E.c14,22
L1-D.backinval-E.c15,11
L1-D.backinval-E.c4,97
L1-D.backinval-E.c5,69
L1-D.backinval-E.c6,137
L1-D.backinval-E.c7,44
L1-D.backinval-E.node0,362
L1-D.backinval-E.node1,68
L1-D.backinval-E.total,430
L1-D.backinval-M.c0,333
L1-D.backinval-M.c12,434
L1-D.backinval-M.c13,416
L1-D.backinval-M.c14,22
L1-D.backinval-M.c15,21
L1-D.backinval-M.c4,447
L1-D.backinval-M.c5,334
L1-D.backinval-M.c6,1607
L1-D.backinval-M.c7,335
L1-D.backinval-M.node0,3056
L1-D.backinval-M.node1,893
L1-D.backinval-M.total,3949
L1-D.backinval-S.c0,68
L1-D.backinval-S.c12,267
L1-D.backinval-S.c13,269
L1-D.backinval-S.c14,17
L1-D.backinval-S.c15,11
L1-D.backinval-S.c4,153
L1-D.backinval-S.c5,92
L1-D.backinval-S.c6,389
L1-D.backinval-S.c7,496
L1-D.backinval-S.node0,1198
L1-D.backinval-S.node1,564
L1-D.backinval-S.total,1762
L1-D.coherency-downgrades.c0,4524
L1-D.coherency-downgrades.c12,1512
L1-D.coherency-downgrades.c13,1884
L1-D.coherency-downgrades.c14,1665
L1-D.coherency-downgrades.c15,1838
L1-D.coherency-downgrades.c4,422
L1-D.coherency-downgrades.c5,287
L1-D.coherency-downgrades.c6,34548
L1-D.coherency-downgrades.c7,4234
L1-D.coherency-downgrades.node0,44015
L1-D.coherency-downgrades.node1,6899
L1-D.coherency-downgrades.total,50914
L1-D.coherency-invalidates.c0,4219
L1-D.coherency-invalidates.c12,654
L1-D.coherency-invalidates.c13,904
L1-D.coherency-invalidates.c14,530
L1-D.coherency-invalidates.c15,574
L1-D.coherency-invalidates.c4,25
L1-D.coherency-invalidates.c5,13
L1-D.coherency-invalidates.c6,6601
L1-D.coherency-invalidates.c7,662
L1-D.coherency-invalidates.node0,11520
L1-D.coherency-invalidates.node1,2662
L1-D.coherency-invalidates.total,14182
L1-D.coherency-upgrades.c0,44
L1-D.coherency-upgrades.c12,490
L1-D.coherency-upgrades.c13,473
L1-D.coherency-upgrades.c14,39
L1-D.coherency-upgrades.c15,48
L1-D.coherency-upgrades.c4,7
L1-D.coherency-upgrades.c5,10
L1-D.coherency-upgrades.c6,39
L1-D.coherency-upgrades.c7,24
L1-D.coherency-upgrades.node0,124
L1-D.coherency-upgrades.node1,1050
L1-D.coherency-upgrades.total,1174
L1-D.coherency-writebacks.c0,1189
L1-D.coherency-writebacks.c12,447
L1-D.coherency-writebacks.c13,609
L1-D.coherency-writebacks.c14,593
L1-D.coherency-writebacks.c15,618
L1-D.coherency-writebacks.c4,32
L1-D.coherency-writebacks.c5,17
L1-D.coherency-writebacks.c6,4096
L1-D.coherency-writebacks.c7,533
L1-D.coherency-writebacks.node0,5867
L1-D.coherency-writebacks.node1,2267
L1-D.coherency-writebacks.total,8134
L1-D.evict-E.c0,551
L1-D.evict-E.c12,1137
L1-D.evict-E.c13,1182
L1-D.evict-E.c14,77724
L1-D.evict-E.c15,66980
L1-D.evict-E.c4,15757
L1-D.evict-E.c5,332032
L1-D.evict-E.c6,269772
L1-D.evict-E.c7,29447
L1-D.evict-E.node0,647559
L1-D.evict-E.node1,147023
L1-D.evict-E.total,794582
L1-D.evict-M.c0,18973
L1-D.evict-M.c12,16397
L1-D.evict-M.c13,16673
L1-D.evict-M.c14,11744117
L1-D.evict-M.c15,11540799
L1-D.evict-M.c4,167155
L1-D.evict-M.c5,334717
L1-D.evict-M.c6,13716
L1-D.evict-M.c7,1466
L1-D.evict-M.node0,536027
L1-D.evict-M.node1,23317986
L1-D.evict-M.total,23854013
L1-D.evict-S.c0,11441
L1-D.evict-S.c12,168956
L1-D.evict-S.c13,165946
L1-D.evict-S.c14,272396
L1-D.evict-S.c15,273864
L1-D.evict-S.c4,1836
L1-D.evict-S.c5,178
L1-D.evict-S.c6,30896
L1-D.evict-S.c7,3330
L1-D.evict-S.node0,47681
L1-D.evict-S.node1,881162
L1-D.evict-S.total,928843
L1-D.load-misses-E.c0,980
L1-D.load-misses-E.c12,2016
L1-D.load-misses-E.c13,1950
L1-D.load-misses-E.c14,4
L1-D.load-misses-E.c15,4
